type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027014_ses-2_connectome.csv,24,252,0.913,5.196,33,33,33,23,23,23,0.002,0.002,0.004,0.002,0.002,0.004
Undirected,N/A,sub-0027014_ses-1_connectome.csv,18,134,0.876,5.701,22,22,22,17,17,17,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0027015_ses-2_connectome.csv,23,193,0.763,4.278,27,27,27,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027015_ses-1_connectome.csv,24,249,0.902,6.986,34,34,34,23,23,23,0.002,0.002,0.004,0.002,0.002,0.004
Undirected,N/A,sub-0027018_ses-1_connectome.csv,28,323,0.854,5.091,33,33,33,27,27,27,0.002,0.002,0.006,0.002,0.002,0.006
Undirected,N/A,sub-0027021_ses-2_connectome.csv,3,2,0.667,1.0,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027012_ses-1_connectome.csv,25,261,0.87,5.01,38,38,38,26,26,26,0.002,0.002,0.004,0.002,0.002,0.004
Undirected,N/A,sub-0027019_ses-1_connectome.csv,5,8,0.8,2.646,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027017_ses-1_connectome.csv,6,14,0.933,3.606,5,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027022_ses-2_connectome.csv,5,7,0.7,2.449,4,4,4,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0027010_ses-2_connectome.csv,23,239,0.945,4.553,32,32,32,22,22,22,0.002,0.002,0.004,0.002,0.002,0.004
Undirected,N/A,sub-0027028_ses-2_connectome.csv,21,188,0.895,5.508,28,28,28,20,20,20,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027024_ses-1_connectome.csv,26,283,0.871,5.518,37,37,37,25,25,25,0.002,0.002,0.005,0.002,0.002,0.005
Undirected,N/A,sub-0027032_ses-1_connectome.csv,23,230,0.909,15.133,36,36,36,23,23,23,0.002,0.002,0.004,0.001,0.002,0.004
Undirected,N/A,sub-0027019_ses-2_connectome.csv,21,153,0.729,4.257,28,28,28,22,22,22,0.001,0.001,0.003,0.001,0.001,0.002
Undirected,N/A,sub-0027022_ses-1_connectome.csv,4,6,1.0,2.236,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.001,0.0
Undirected,N/A,sub-0027021_ses-1_connectome.csv,23,201,0.794,3.803,28,28,28,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0027040_ses-1_connectome.csv,23,229,0.905,6.096,33,33,33,22,22,22,0.001,0.002,0.004,0.001,0.002,0.004
Undirected,N/A,sub-0027010_ses-1_connectome.csv,24,240,0.87,4.796,30,30,30,24,24,24,0.002,0.002,0.004,0.002,0.002,0.004
