type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-1_connectome.csv,400,35205,0.441,2.197,949,949,949,401,401,401,3.502,3.93,10.325,3.563,3.938,10.548
Undirected,N/A,sub-0027010_ses-2_connectome.csv,399,32689,0.412,2.164,922,922,922,409,409,409,3.435,3.804,9.476,3.53,3.931,9.99
Undirected,N/A,sub-0027019_ses-1_connectome.csv,400,32228,0.404,2.239,911,911,911,413,413,413,3.897,3.952,9.967,3.707,3.988,10.369
Undirected,N/A,sub-0027015_ses-2_connectome.csv,395,19280,0.248,2.073,962,962,962,432,432,432,2.194,2.565,5.127,2.28,2.33,5.247
Undirected,N/A,sub-0027019_ses-2_connectome.csv,398,27870,0.353,2.201,952,952,952,418,418,418,3.023,3.426,7.982,3.273,3.407,8.33
Undirected,N/A,sub-0027012_ses-1_connectome.csv,399,38615,0.486,2.267,916,916,916,404,404,404,3.888,4.196,11.944,4.021,3.295,7.906
Undirected,N/A,sub-0027017_ses-1_connectome.csv,400,45182,0.566,2.385,986,986,986,401,401,401,3.102,3.122,9.376,3.029,3.064,9.754
Undirected,N/A,sub-0027014_ses-2_connectome.csv,400,36815,0.461,2.196,975,975,975,405,405,405,2.835,2.901,7.013,3.33,3.569,10.716
Undirected,N/A,sub-0027015_ses-1_connectome.csv,400,35536,0.445,2.131,972,972,972,412,412,412,4.15,3.115,11.161,8.302,8.331,22.179
Undirected,N/A,sub-0027014_ses-1_connectome.csv,400,38228,0.479,2.244,946,946,946,406,406,406,8.452,9.002,34.242,18.724,20.975,54.543
Undirected,N/A,sub-0027021_ses-1_connectome.csv,400,31699,0.397,2.241,966,966,966,405,405,405,21.51,20.42,28.645,19.997,15.669,51.352
Undirected,N/A,sub-0027022_ses-1_connectome.csv,398,33216,0.42,2.244,936,936,936,421,421,421,14.266,23.617,38.913,21.702,15.543,39.998
Undirected,N/A,sub-0027028_ses-2_connectome.csv,397,34311,0.436,2.107,949,949,949,413,413,413,15.14,15.18,43.64,22.06,24.244,55.3
Undirected,N/A,sub-0027024_ses-1_connectome.csv,397,30468,0.388,2.053,926,926,926,402,402,402,22.482,24.794,39.885,15.105,14.07,31.503
Undirected,N/A,sub-0027018_ses-1_connectome.csv,400,36154,0.453,2.162,915,915,915,405,405,405,15.058,16.27,55.071,24.262,26.539,62.485
Undirected,N/A,sub-0027021_ses-2_connectome.csv,400,39314,0.493,2.352,947,947,947,404,404,404,16.321,17.844,42.919,16.39,25.74,49.876
Undirected,N/A,sub-0027022_ses-2_connectome.csv,399,34102,0.429,2.251,914,914,914,405,405,405,18.419,30.987,64.064,20.412,26.701,60.932
Undirected,N/A,sub-0027032_ses-1_connectome.csv,400,38323,0.48,2.158,960,960,960,399,399,399,21.749,20.272,60.823,29.413,30.502,73.269
Undirected,N/A,sub-0027040_ses-1_connectome.csv,400,39698,0.497,2.324,955,955,955,401,401,401,27.86,28.849,70.999,26.38,25.902,66.951
