type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-1_connectome.csv,780,54254,0.179,1.685,1559,1559,1559,879,879,879,130.646,143.108,172.313,87.269,109.363,241.551
Undirected,N/A,sub-0027014_ses-1_connectome.csv,757,58711,0.205,1.688,1541,1541,1541,874,874,874,143.002,146.679,262.881,126.075,137.31,192.045
Undirected,N/A,sub-0027012_ses-1_connectome.csv,757,57514,0.201,1.674,1431,1431,1431,869,869,869,98.953,102.372,177.93,89.823,94.369,165.677
Undirected,N/A,sub-0027015_ses-2_connectome.csv,706,24263,0.097,1.694,1454,1454,1454,851,851,851,40.641,42.473,70.948,37.287,39.427,66.285
Undirected,N/A,sub-0027018_ses-1_connectome.csv,780,57154,0.188,1.678,1465,1465,1465,882,882,882,98.221,103.659,182.398,86.141,125.383,173.142
Undirected,N/A,sub-0027019_ses-2_connectome.csv,772,43339,0.146,1.715,1511,1511,1511,889,889,889,94.032,75.217,139.409,70.546,74.785,127.668
Undirected,N/A,sub-0027019_ses-1_connectome.csv,776,53901,0.179,1.771,1481,1481,1481,875,875,875,92.21,97.579,170.583,87.135,91.629,158.904
Undirected,N/A,sub-0027021_ses-2_connectome.csv,780,60163,0.198,1.799,1569,1569,1569,856,856,856,103.011,106.468,193.046,93.427,98.221,181.327
Undirected,N/A,sub-0027021_ses-1_connectome.csv,784,51508,0.168,1.726,1560,1560,1560,889,889,889,92.492,96.525,195.557,100.225,104.937,223.119
Undirected,N/A,sub-0027024_ses-1_connectome.csv,805,46247,0.143,1.589,1588,1588,1588,913,913,913,117.253,126.701,135.059,67.182,111.592,189.452
Undirected,N/A,sub-0027017_ses-1_connectome.csv,824,86970,0.256,1.738,1666,1666,1666,900,900,900,209.048,193.207,371.883,195.466,210.803,399.759
Undirected,N/A,sub-0027028_ses-2_connectome.csv,745,48777,0.176,1.609,1456,1456,1456,840,840,840,114.345,121.848,210.867,104.802,113.714,196.932
Undirected,N/A,sub-0027032_ses-1_connectome.csv,817,64040,0.192,1.645,1593,1593,1593,886,886,886,163.165,169.855,310.072,152.416,159.044,280.721
Undirected,N/A,sub-0027014_ses-2_connectome.csv,741,52012,0.19,1.672,1507,1507,1507,821,821,821,83.93,88.127,156.306,79.408,82.218,147.705
Undirected,N/A,sub-0027022_ses-1_connectome.csv,784,56965,0.186,1.72,1544,1544,1544,884,884,884,102.277,107.096,184.477,95.729,99.917,172.76
Undirected,N/A,sub-0027010_ses-2_connectome.csv,764,50483,0.173,1.658,1468,1468,1468,850,850,850,86.777,92.318,161.316,106.707,115.725,164.133
Undirected,N/A,sub-0027022_ses-2_connectome.csv,764,51851,0.178,1.68,1439,1439,1439,849,849,849,131.285,100.119,147.937,76.382,128.106,222.07
Undirected,N/A,sub-0027040_ses-1_connectome.csv,813,68201,0.207,1.757,1536,1536,1536,881,881,881,167.277,181.306,323.966,134.467,134.535,170.459
Undirected,N/A,sub-0027015_ses-1_connectome.csv,790,57441,0.184,1.633,1588,1588,1588,902,902,902,104.627,85.726,151.904,84.453,81.155,147.274
