type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-1_connectome.csv,689,111369,0.47,2.373,1377,1377,1377,793,793,793,137.881,154.17,411.001,147.819,152.498,369.805
Undirected,N/A,sub-0027014_ses-2_connectome.csv,663,104893,0.478,2.423,1329,1329,1329,774,774,774,75.281,132.608,362.372,119.424,134.407,350.222
Undirected,N/A,sub-0027015_ses-1_connectome.csv,682,113680,0.49,2.466,1428,1428,1428,802,802,802,140.624,148.736,409.752,111.697,84.837,278.201
Undirected,N/A,sub-0027017_ses-1_connectome.csv,679,140085,0.609,2.784,1288,1288,1288,782,782,782,104.375,154.422,496.557,151.92,159.344,478.527
Undirected,N/A,sub-0027019_ses-1_connectome.csv,695,117440,0.487,2.495,1422,1422,1422,823,823,823,156.94,164.221,446.441,150.023,155.34,351.761
Undirected,N/A,sub-0027014_ses-1_connectome.csv,676,119952,0.526,2.458,1309,1309,1309,766,766,766,146.475,151.922,330.471,99.732,88.048,353.919
Undirected,N/A,sub-0027015_ses-2_connectome.csv,655,68728,0.321,2.23,1528,1528,1528,903,903,903,83.827,118.565,239.564,104.86,111.152,190.939
Undirected,N/A,sub-0027010_ses-2_connectome.csv,671,105166,0.468,2.424,1391,1391,1391,794,794,794,132.743,143.544,362.681,83.408,111.214,278.279
Undirected,N/A,sub-0027022_ses-1_connectome.csv,675,115010,0.506,2.527,1411,1411,1411,846,846,846,137.153,100.905,366.547,132.677,142.176,382.018
Undirected,N/A,sub-0027018_ses-1_connectome.csv,668,113100,0.508,2.422,1386,1386,1386,746,746,746,91.461,85.998,388.715,115.043,103.122,292.076
Undirected,N/A,sub-0027012_ses-1_connectome.csv,671,116467,0.518,2.483,1432,1432,1432,792,792,792,136.398,147.515,352.929,143.735,143.494,241.625
Undirected,N/A,sub-0027021_ses-1_connectome.csv,687,104651,0.444,2.479,1476,1476,1476,823,823,823,94.46,127.855,369.177,155.547,118.343,298.103
Undirected,N/A,sub-0027032_ses-1_connectome.csv,658,109491,0.507,2.436,1327,1327,1327,759,759,759,135.847,126.863,273.977,132.224,138.177,303.395
Undirected,N/A,sub-0027028_ses-2_connectome.csv,668,109720,0.493,2.328,1345,1345,1345,824,824,824,135.225,143.564,391.574,124.647,84.351,236.742
Undirected,N/A,sub-0027019_ses-2_connectome.csv,675,106529,0.468,2.536,1428,1428,1428,830,830,830,91.305,98.788,382.065,138.231,141.049,362.794
Undirected,N/A,sub-0027022_ses-2_connectome.csv,687,118133,0.501,2.446,1293,1293,1293,751,751,751,116.857,125.245,369.1,135.733,107.461,288.39
Undirected,N/A,sub-0027021_ses-2_connectome.csv,679,117395,0.51,2.598,1382,1382,1382,773,773,773,103.971,107.828,303.741,100.381,105.336,282.592
Undirected,N/A,sub-0027024_ses-1_connectome.csv,662,90698,0.415,2.266,1316,1316,1316,867,867,867,92.504,97.272,226.739,85.429,91.616,210.387
Undirected,N/A,sub-0027040_ses-1_connectome.csv,705,139430,0.562,2.634,1398,1398,1398,784,784,784,119.692,152.216,496.348,171.488,180.39,523.288
