type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0027010_ses-1_connectome.csv,17,136,1.0,11.619,35,35,35,16,16,16,0.003,0.003,0.009,0.002,0.004,0.006
Undirected,N/A,sub-0027012_ses-1_connectome.csv,17,136,1.0,11.619,28,28,28,16,16,16,0.003,0.003,0.007,0.003,0.004,0.01
Undirected,N/A,sub-0027014_ses-2_connectome.csv,17,136,1.0,11.619,31,31,31,16,16,16,0.002,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0027014_ses-1_connectome.csv,17,136,1.0,11.619,26,26,26,16,16,16,0.003,0.004,0.006,0.003,0.003,0.008
Undirected,N/A,sub-0027019_ses-1_connectome.csv,17,136,1.0,11.619,35,35,35,16,16,16,0.002,0.012,0.008,0.003,0.003,0.007
Undirected,N/A,sub-0027010_ses-2_connectome.csv,17,136,1.0,11.619,33,33,33,16,16,16,0.002,0.004,0.006,0.003,0.003,0.009
Undirected,N/A,sub-0027017_ses-1_connectome.csv,17,136,1.0,11.619,32,32,32,16,16,16,0.003,0.005,0.008,0.002,0.003,0.007
Undirected,N/A,sub-0027021_ses-2_connectome.csv,17,136,1.0,11.619,33,33,33,16,16,16,0.002,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0027021_ses-1_connectome.csv,17,136,1.0,11.619,33,33,33,16,16,16,0.003,0.005,0.007,0.002,0.003,0.007
Undirected,N/A,sub-0027015_ses-2_connectome.csv,17,136,1.0,11.619,33,33,33,16,16,16,0.002,0.003,0.008,0.003,0.004,0.008
Undirected,N/A,sub-0027015_ses-1_connectome.csv,17,136,1.0,11.619,29,29,29,16,16,16,0.003,0.013,0.012,0.003,0.003,0.009
Undirected,N/A,sub-0027040_ses-1_connectome.csv,17,136,1.0,11.619,36,36,36,16,16,16,0.005,0.004,0.011,0.003,0.004,0.007
Undirected,N/A,sub-0027032_ses-1_connectome.csv,17,136,1.0,11.619,30,30,30,16,16,16,0.003,0.003,0.005,0.003,0.003,0.008
Undirected,N/A,sub-0027028_ses-2_connectome.csv,17,136,1.0,11.619,28,28,28,16,16,16,0.003,0.004,0.008,0.003,0.003,0.007
Undirected,N/A,sub-0027019_ses-2_connectome.csv,17,136,1.0,11.619,34,34,34,16,16,16,0.002,0.004,0.006,0.003,0.003,0.009
Undirected,N/A,sub-0027022_ses-1_connectome.csv,17,136,1.0,11.619,35,35,35,16,16,16,0.003,0.005,0.008,0.002,0.003,0.007
Undirected,N/A,sub-0027018_ses-1_connectome.csv,17,136,1.0,11.619,33,33,33,16,16,16,0.002,0.013,0.008,0.003,0.003,0.006
Undirected,N/A,sub-0027022_ses-2_connectome.csv,17,136,1.0,11.619,34,34,34,16,16,16,0.003,0.003,0.006,0.004,0.003,0.009
Undirected,N/A,sub-0027024_ses-1_connectome.csv,17,136,1.0,11.619,28,28,28,16,16,16,0.003,0.004,0.009,0.003,0.003,0.006
