type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021002_ses-1_connectome.csv,200,9353,0.47,2.844,451,451,451,200,200,200,3.452,2.452,8.911,2.191,3.508,8.837
Undirected,N/A,sub-0021002_ses-2_connectome.csv,200,9032,0.454,2.857,469,469,469,199,199,199,3.175,3.528,5.827,2.101,2.064,5.728
Undirected,N/A,sub-0021006_ses-2_connectome.csv,200,9597,0.482,2.778,494,494,494,199,199,199,2.203,2.363,5.207,2.369,2.406,8.033
Undirected,N/A,sub-0021006_ses-1_connectome.csv,200,9836,0.494,2.805,492,492,492,200,200,200,1.884,1.939,7.508,2.418,2.338,5.235
Undirected,N/A,sub-0021018_ses-2_connectome.csv,200,12267,0.616,2.966,450,450,450,200,200,200,2.405,2.484,8.088,2.421,2.514,8.139
Undirected,N/A,sub-0021024_ses-1_connectome.csv,200,8902,0.447,2.643,427,427,427,199,199,199,2.607,2.284,5.861,2.086,2.221,5.726
Undirected,N/A,sub-0021001_ses-2_connectome.csv,200,9728,0.489,2.842,556,556,556,199,199,199,2.384,2.733,7.85,3.187,3.405,8.821
Undirected,N/A,sub-0021024_ses-2_connectome.csv,200,9359,0.47,2.7,419,419,419,200,200,200,3.383,3.671,8.782,3.259,3.479,8.508
Undirected,N/A,sub-1793622_ses-1_connectome.csv,200,12181,0.612,2.977,457,457,457,200,200,200,3.412,3.981,8.074,2.894,3.639,10.928
Undirected,N/A,sub-0021001_ses-1_connectome.csv,200,8160,0.41,2.716,498,498,498,202,202,202,1.84,1.953,5.461,2.908,3.052,7.509
Undirected,N/A,sub-2799329_ses-1_connectome.csv,200,11216,0.564,2.876,508,508,508,200,200,200,3.665,3.972,10.339,3.608,3.824,10.026
Undirected,N/A,sub-2475376_ses-2_connectome.csv,200,11660,0.586,2.829,463,463,463,199,199,199,3.719,4.007,6.796,3.496,3.849,10.498
Undirected,N/A,sub-2475376_ses-1_connectome.csv,200,11801,0.593,2.876,459,459,459,199,199,199,3.727,3.972,10.82,3.695,3.861,6.471
Undirected,N/A,sub-1961098_ses-2_connectome.csv,200,9775,0.491,2.936,474,474,474,199,199,199,2.733,2.337,6.413,2.155,1.982,9.009
Undirected,N/A,sub-2842950_ses-2_connectome.csv,200,10338,0.519,2.957,461,461,461,199,199,199,3.58,3.832,9.625,3.352,3.625,9.312
Undirected,N/A,sub-1961098_ses-1_connectome.csv,200,9501,0.477,2.678,447,447,447,199,199,199,3.388,3.714,9.03,3.422,3.526,8.747
Undirected,N/A,sub-0021018_ses-1_connectome.csv,200,11099,0.558,2.834,451,451,451,199,199,199,3.49,3.762,10.152,1.932,2.541,6.583
Undirected,N/A,sub-2799329_ses-2_connectome.csv,200,11149,0.56,2.81,474,474,474,199,199,199,1.997,2.281,6.135,2.135,2.546,9.925
Undirected,N/A,sub-3201815_ses-1_connectome.csv,200,8424,0.423,2.837,463,463,463,199,199,199,2.211,2.639,7.934,3.049,1.89,6.337
Undirected,N/A,sub-3201815_ses-2_connectome.csv,200,8922,0.448,2.842,461,461,461,200,200,200,2.12,2.295,5.49,3.027,3.523,5.767
Undirected,N/A,sub-3795193_ses-1_connectome.csv,199,10752,0.546,2.813,468,468,468,201,201,201,2.16,2.142,6.098,2.442,3.995,10.46
