type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-1_connectome.csv,70,1780,0.737,4.099,143,143,143,69,69,69,0.059,0.059,0.153,0.056,0.038,0.101
Undirected,N/A,sub-0021024_ses-1_connectome.csv,70,2010,0.832,4.465,148,148,148,69,69,69,0.134,0.151,0.561,0.142,0.136,0.198
Undirected,N/A,sub-0021001_ses-2_connectome.csv,70,1998,0.827,4.38,152,152,152,69,69,69,0.085,0.117,0.514,0.106,0.13,0.519
Undirected,N/A,sub-0021002_ses-2_connectome.csv,70,2005,0.83,4.667,158,158,158,69,69,69,0.11,0.125,0.479,0.109,0.132,0.5
Undirected,N/A,sub-0021018_ses-1_connectome.csv,70,2151,0.891,5.155,144,144,144,69,69,69,0.121,0.132,0.377,0.061,0.064,0.189
Undirected,N/A,sub-0021006_ses-1_connectome.csv,70,2028,0.84,3.526,143,143,143,69,69,69,0.06,0.06,0.17,0.058,0.06,0.182
Undirected,N/A,sub-2475376_ses-2_connectome.csv,70,2122,0.879,4.836,177,177,177,69,69,69,0.059,0.065,0.181,0.062,0.063,0.193
Undirected,N/A,sub-0021024_ses-2_connectome.csv,70,2105,0.872,4.575,139,139,139,69,69,69,0.059,0.063,0.182,0.065,0.063,0.312
Undirected,N/A,sub-0021002_ses-1_connectome.csv,70,1976,0.818,4.837,156,156,156,69,69,69,0.039,0.037,0.094,0.039,0.057,0.509
Undirected,N/A,sub-1961098_ses-1_connectome.csv,70,2103,0.871,3.864,138,138,138,69,69,69,0.108,0.125,0.562,0.115,0.143,0.547
Undirected,N/A,sub-1793622_ses-2_connectome.csv,70,2176,0.901,4.655,155,155,155,69,69,69,0.137,0.149,0.585,0.12,0.159,0.575
Undirected,N/A,sub-2842950_ses-1_connectome.csv,70,2090,0.865,4.202,160,160,160,69,69,69,0.113,0.123,0.542,0.118,0.138,0.226
Undirected,N/A,sub-0021018_ses-2_connectome.csv,70,2156,0.893,4.632,147,147,147,69,69,69,0.036,0.038,0.102,0.043,0.056,0.539
Undirected,N/A,sub-0021006_ses-2_connectome.csv,70,1982,0.821,3.974,140,140,140,69,69,69,0.094,0.11,0.461,0.098,0.113,0.492
Undirected,N/A,sub-1793622_ses-1_connectome.csv,70,2196,0.909,5.318,148,148,148,69,69,69,0.089,0.106,0.59,0.132,0.153,0.344
Undirected,N/A,sub-2799329_ses-1_connectome.csv,70,2137,0.885,4.797,150,150,150,69,69,69,0.111,0.146,0.535,0.112,0.146,0.555
