type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021002_ses-1_connectome.csv,180,10337,0.642,2.883,422,422,422,179,179,179,3.11,1.59,9.154,3.088,3.259,9.016
Undirected,N/A,sub-0021001_ses-1_connectome.csv,180,8599,0.534,2.705,495,495,495,181,181,181,2.875,3.105,7.795,2.707,2.899,7.47
Undirected,N/A,sub-0021024_ses-2_connectome.csv,180,9422,0.585,2.781,423,423,423,185,185,185,3.017,3.302,8.456,2.066,2.855,8.364
Undirected,N/A,sub-0021006_ses-1_connectome.csv,180,9089,0.564,2.761,396,396,396,179,179,179,2.816,3.055,8.07,2.296,1.822,5.26
Undirected,N/A,sub-0021002_ses-2_connectome.csv,180,10040,0.623,2.752,407,407,407,179,179,179,1.746,1.892,5.735,1.8,1.897,5.68
Undirected,N/A,sub-0021018_ses-2_connectome.csv,180,11530,0.716,3.174,496,496,496,179,179,179,1.785,2.009,6.509,1.924,1.991,6.642
Undirected,N/A,sub-0021001_ses-2_connectome.csv,180,11332,0.703,2.908,489,489,489,179,179,179,1.872,2.037,6.462,1.92,2.04,6.517
Undirected,N/A,sub-1793622_ses-2_connectome.csv,180,11794,0.732,3.121,453,453,453,179,179,179,2.957,3.302,7.225,1.548,1.7,6.029
Undirected,N/A,sub-1961098_ses-2_connectome.csv,180,10265,0.637,2.87,446,446,446,179,179,179,1.845,1.395,6.055,1.685,1.817,7.636
Undirected,N/A,sub-0021024_ses-1_connectome.csv,180,9134,0.567,2.608,370,370,370,179,179,179,2.651,2.902,7.688,2.595,2.786,4.89
Undirected,N/A,sub-0021018_ses-1_connectome.csv,180,11106,0.689,2.777,433,433,433,179,179,179,2.885,2.136,8.932,2.299,1.956,7.935
