type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021002_ses-2_connectome.csv,83,2674,0.786,4.696,170,170,170,82,82,82,0.257,0.29,0.977,0.109,0.071,0.78
Undirected,N/A,sub-0021006_ses-1_connectome.csv,83,2879,0.846,4.327,177,177,177,82,82,82,0.246,0.279,0.382,0.063,0.064,0.179
Undirected,N/A,sub-0021001_ses-2_connectome.csv,83,2364,0.695,3.639,147,147,147,82,82,82,0.093,0.218,0.481,0.057,0.058,0.186
Undirected,N/A,sub-0021006_ses-2_connectome.csv,83,2753,0.809,4.066,158,158,158,82,82,82,0.089,0.098,0.313,0.096,0.096,0.329
Undirected,N/A,sub-0021024_ses-2_connectome.csv,83,3087,0.907,4.868,197,197,197,82,82,82,0.104,0.117,0.493,0.111,0.113,0.435
Undirected,N/A,sub-0021018_ses-2_connectome.csv,83,3040,0.893,4.712,153,153,153,82,82,82,0.096,0.107,0.379,0.103,0.112,0.522
Undirected,N/A,sub-1793622_ses-1_connectome.csv,83,3163,0.929,4.971,178,178,178,82,82,82,0.255,0.31,1.079,0.079,0.067,0.737
Undirected,N/A,sub-1961098_ses-1_connectome.csv,83,2978,0.875,4.502,193,193,193,82,82,82,0.239,0.323,1.007,0.242,0.288,1.011
Undirected,N/A,sub-1793622_ses-2_connectome.csv,83,3052,0.897,4.943,166,166,166,82,82,82,0.257,0.302,1.053,0.281,0.289,0.941
Undirected,N/A,sub-0021024_ses-1_connectome.csv,83,2789,0.82,4.239,187,187,187,82,82,82,0.189,0.24,0.536,0.061,0.062,0.305
Undirected,N/A,sub-0021018_ses-1_connectome.csv,83,2930,0.861,4.161,147,147,147,82,82,82,0.096,0.111,0.385,0.102,0.108,0.202
Undirected,N/A,sub-0021001_ses-1_connectome.csv,83,2432,0.715,3.648,143,143,143,82,82,82,0.07,0.126,0.26,0.056,0.055,0.239
Undirected,N/A,sub-3201815_ses-1_connectome.csv,83,2517,0.74,3.5,146,146,146,82,82,82,0.051,0.057,0.33,0.059,0.059,0.161
Undirected,N/A,sub-0021002_ses-1_connectome.csv,83,2677,0.787,3.889,160,160,160,82,82,82,0.123,0.083,0.395,0.239,0.068,0.231
Undirected,N/A,sub-2799329_ses-1_connectome.csv,83,2908,0.855,4.229,158,158,158,82,82,82,0.057,0.059,0.715,0.232,0.182,0.346
Undirected,N/A,sub-1961098_ses-2_connectome.csv,83,2929,0.861,4.678,159,159,159,82,82,82,0.196,0.17,0.681,0.263,0.247,0.639
Undirected,N/A,sub-3201815_ses-2_connectome.csv,83,2754,0.809,3.936,151,151,151,82,82,82,0.213,0.265,0.436,0.096,0.097,0.344
Undirected,N/A,sub-2799329_ses-2_connectome.csv,83,2988,0.878,5.374,158,158,158,82,82,82,0.099,0.199,0.556,0.107,0.106,0.47
Undirected,N/A,sub-3795193_ses-2_connectome.csv,83,3068,0.902,4.59,165,165,165,82,82,82,0.106,0.112,0.209,0.068,0.246,0.498
Undirected,N/A,sub-3315657_ses-1_connectome.csv,83,2541,0.747,3.992,168,168,168,82,82,82,0.089,0.097,0.309,0.095,0.091,0.318
Undirected,N/A,sub-3313349_ses-1_connectome.csv,83,2628,0.772,3.864,164,164,164,82,82,82,0.089,0.097,0.31,0.093,0.096,0.346
Undirected,N/A,sub-2842950_ses-2_connectome.csv,83,2904,0.853,4.378,191,191,191,82,82,82,0.095,0.109,0.335,0.101,0.106,0.429
Undirected,N/A,sub-2475376_ses-1_connectome.csv,83,3025,0.889,4.506,188,188,188,82,82,82,0.106,0.113,0.419,0.111,0.113,0.506
Undirected,N/A,sub-3315657_ses-2_connectome.csv,83,2481,0.729,3.533,165,165,165,82,82,82,0.086,0.096,0.274,0.088,0.092,0.303
Undirected,N/A,sub-4176156_ses-1_connectome.csv,83,2920,0.858,4.253,180,180,180,82,82,82,0.133,0.107,0.368,0.158,0.108,0.427
Undirected,N/A,sub-2842950_ses-1_connectome.csv,83,2852,0.838,4.062,172,172,172,82,82,82,0.103,0.108,0.343,0.107,0.107,0.418
Undirected,N/A,sub-4288245_ses-2_connectome.csv,83,3015,0.886,4.749,193,193,193,82,82,82,0.097,0.108,0.368,0.105,0.117,1.028
Undirected,N/A,sub-4288245_ses-1_connectome.csv,83,3157,0.928,4.713,219,219,219,82,82,82,0.231,0.311,1.035,0.293,0.314,1.083
Undirected,N/A,sub-8735778_ses-2_connectome.csv,83,2791,0.82,3.619,155,155,155,82,82,82,0.191,0.239,0.816,0.221,0.258,0.535
Undirected,N/A,sub-4176156_ses-2_connectome.csv,83,2994,0.88,4.089,173,173,173,82,82,82,0.228,0.272,0.703,0.064,0.065,0.647
Undirected,N/A,sub-3808535_ses-2_connectome.csv,83,2918,0.857,4.576,161,161,161,82,82,82,0.226,0.259,0.984,0.278,0.285,0.982
Undirected,N/A,sub-7055197_ses-2_connectome.csv,83,3114,0.915,5.017,192,192,192,82,82,82,0.233,0.278,1.023,0.293,0.312,1.06
Undirected,N/A,sub-3313349_ses-2_connectome.csv,83,2731,0.803,3.944,165,165,165,82,82,82,0.17,0.222,0.921,0.219,0.239,0.929
