type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-1_connectome.csv,48,897,0.795,4.073,100,100,100,47,47,47,0.029,0.035,0.08,0.031,0.045,0.077
Undirected,N/A,sub-0021002_ses-1_connectome.csv,48,963,0.854,5.149,92,92,92,47,47,47,0.027,0.039,0.076,0.033,0.028,0.076
Undirected,N/A,sub-0021018_ses-2_connectome.csv,48,1048,0.929,5.227,90,90,90,47,47,47,0.05,0.017,0.061,0.014,0.032,0.099
Undirected,N/A,sub-0021002_ses-2_connectome.csv,48,975,0.864,4.13,86,86,86,47,47,47,0.036,0.034,0.084,0.027,0.034,0.086
Undirected,N/A,sub-1793622_ses-1_connectome.csv,48,1055,0.935,4.973,87,87,87,48,48,48,0.038,0.037,0.073,0.034,0.016,0.04
Undirected,N/A,sub-0021001_ses-2_connectome.csv,48,978,0.867,3.877,92,92,92,47,47,47,0.035,0.032,0.087,0.036,0.029,0.085
Undirected,N/A,sub-0021006_ses-1_connectome.csv,48,962,0.853,3.81,95,95,95,47,47,47,0.03,0.036,0.08,0.032,0.031,0.085
Undirected,N/A,sub-1793622_ses-2_connectome.csv,48,1055,0.935,5.104,84,84,84,47,47,47,0.024,0.027,0.074,0.032,0.034,0.096
Undirected,N/A,sub-2475376_ses-2_connectome.csv,48,1025,0.909,5.028,96,96,96,47,47,47,0.029,0.038,0.094,0.031,0.036,0.094
Undirected,N/A,sub-1961098_ses-1_connectome.csv,48,992,0.879,5.08,99,99,99,47,47,47,0.038,0.039,0.087,0.035,0.036,0.15
Undirected,N/A,sub-2799329_ses-1_connectome.csv,48,992,0.879,4.088,85,85,85,47,47,47,0.031,0.038,0.089,0.035,0.032,0.088
Undirected,N/A,sub-2475376_ses-1_connectome.csv,48,1033,0.916,4.741,91,91,91,47,47,47,0.033,0.036,0.098,0.032,0.039,0.089
Undirected,N/A,sub-0021024_ses-2_connectome.csv,48,993,0.88,5.083,95,95,95,47,47,47,0.029,0.035,0.081,0.04,0.066,0.074
Undirected,N/A,sub-2842950_ses-1_connectome.csv,48,966,0.856,4.192,99,99,99,47,47,47,0.042,0.041,0.077,0.022,0.016,0.035
Undirected,N/A,sub-0021018_ses-1_connectome.csv,48,997,0.884,4.061,85,85,85,47,47,47,0.031,0.032,0.084,0.025,0.032,0.08
Undirected,N/A,sub-1961098_ses-2_connectome.csv,48,1018,0.902,5.078,100,100,100,47,47,47,0.027,0.038,0.04,0.015,0.014,0.043
Undirected,N/A,sub-3201815_ses-2_connectome.csv,48,979,0.868,4.404,102,102,102,47,47,47,0.021,0.028,0.059,0.015,0.016,0.037
Undirected,N/A,sub-3201815_ses-1_connectome.csv,48,986,0.874,4.154,92,92,92,47,47,47,0.03,0.038,0.08,0.038,0.032,0.088
Undirected,N/A,sub-0021024_ses-1_connectome.csv,48,997,0.884,4.179,74,74,74,47,47,47,0.031,0.032,0.083,0.028,0.036,0.088
Undirected,N/A,sub-3313349_ses-1_connectome.csv,48,871,0.772,4.01,95,95,95,47,47,47,0.029,0.034,0.072,0.03,0.031,0.071
Undirected,N/A,sub-3315657_ses-1_connectome.csv,48,961,0.852,3.744,82,82,82,47,47,47,0.044,0.015,0.11,0.031,0.034,0.079
Undirected,N/A,sub-3795193_ses-1_connectome.csv,48,1074,0.952,6.112,96,96,96,47,47,47,0.037,0.043,0.093,0.038,0.033,0.104
Undirected,N/A,sub-3795193_ses-2_connectome.csv,48,1059,0.939,6.068,89,89,89,47,47,47,0.035,0.048,0.098,0.028,0.029,0.068
Undirected,N/A,sub-4176156_ses-2_connectome.csv,48,1017,0.902,5.297,99,99,99,47,47,47,0.014,0.025,0.044,0.014,0.016,0.043
Undirected,N/A,sub-0021006_ses-2_connectome.csv,48,943,0.836,4.139,97,97,97,47,47,47,0.035,0.034,0.062,0.016,0.014,0.034
Undirected,N/A,sub-3808535_ses-2_connectome.csv,48,968,0.858,4.074,81,81,81,47,47,47,0.013,0.018,0.09,0.033,0.02,0.038
Undirected,N/A,sub-4176156_ses-1_connectome.csv,48,1007,0.893,4.917,94,94,94,47,47,47,0.016,0.027,0.083,0.031,0.038,0.045
Undirected,N/A,sub-2842950_ses-2_connectome.csv,48,1022,0.906,5.31,79,79,79,47,47,47,0.026,0.023,0.06,0.021,0.024,0.075
Undirected,N/A,sub-4288245_ses-1_connectome.csv,48,1033,0.916,4.982,74,74,74,47,47,47,0.03,0.017,0.067,0.036,0.039,0.095
Undirected,N/A,sub-3313349_ses-2_connectome.csv,48,942,0.835,4.016,91,91,91,47,47,47,0.033,0.015,0.082,0.032,0.026,0.094
Undirected,N/A,sub-3315657_ses-2_connectome.csv,48,927,0.822,4.061,88,88,88,47,47,47,0.031,0.036,0.078,0.037,0.03,0.081
Undirected,N/A,sub-4288245_ses-2_connectome.csv,48,998,0.885,4.498,90,90,90,47,47,47,0.031,0.042,0.06,0.021,0.023,0.058
Undirected,N/A,sub-8735778_ses-1_connectome.csv,48,1009,0.895,6.149,89,89,89,47,47,47,0.04,0.039,0.095,0.028,0.034,0.055
Undirected,N/A,sub-7055197_ses-2_connectome.csv,48,1016,0.901,5.217,95,95,95,47,47,47,0.039,0.034,0.097,0.03,0.034,0.092
Undirected,N/A,sub-2799329_ses-2_connectome.csv,48,942,0.835,4.518,91,91,91,47,47,47,0.033,0.046,0.077,0.034,0.029,0.089
Undirected,N/A,sub-7055197_ses-1_connectome.csv,48,1028,0.911,4.053,77,77,77,47,47,47,0.027,0.039,0.072,0.024,0.023,0.042
Undirected,N/A,sub-3808535_ses-1_connectome.csv,48,979,0.868,5.118,89,89,89,47,47,47,0.028,0.023,0.043,0.017,0.026,0.048
Undirected,N/A,sub-9630905_ses-2_connectome.csv,48,967,0.857,4.283,83,83,83,47,47,47,0.017,0.015,0.034,0.019,0.015,0.097
Undirected,N/A,sub-9630905_ses-1_connectome.csv,48,1021,0.905,4.552,89,89,89,47,47,47,0.055,0.034,0.093,0.033,0.037,0.088
Undirected,N/A,sub-8735778_ses-2_connectome.csv,48,1021,0.905,3.9,94,94,94,47,47,47,0.033,0.032,0.091,0.032,0.036,0.094
