type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-2_connectome.csv,21,194,0.924,5.169,26,26,26,20,20,20,0.003,0.005,0.01,0.005,0.005,0.009
Undirected,N/A,sub-0021002_ses-1_connectome.csv,21,210,1.0,14.457,28,28,28,20,20,20,0.003,0.004,0.011,0.004,0.006,0.01
Undirected,N/A,sub-0021002_ses-2_connectome.csv,21,209,0.995,14.422,24,24,24,20,20,20,0.003,0.004,0.009,0.005,0.004,0.012
Undirected,N/A,sub-0021018_ses-2_connectome.csv,21,210,1.0,14.457,24,24,24,20,20,20,0.004,0.005,0.012,0.005,0.004,0.009
Undirected,N/A,sub-0021006_ses-1_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.01,0.004,0.009,0.005,0.005,0.011
Undirected,N/A,sub-0021024_ses-1_connectome.csv,21,210,1.0,14.457,30,30,30,20,20,20,0.003,0.006,0.011,0.006,0.005,0.01
Undirected,N/A,sub-1793622_ses-2_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.003,0.004,0.011,0.005,0.005,0.011
Undirected,N/A,sub-0021001_ses-1_connectome.csv,21,205,0.976,6.325,25,25,25,20,20,20,0.007,0.004,0.009,0.004,0.004,0.01
Undirected,N/A,sub-1793622_ses-1_connectome.csv,21,210,1.0,14.457,24,24,24,20,20,20,0.003,0.004,0.008,0.006,0.004,0.009
Undirected,N/A,sub-0021024_ses-2_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.004,0.004,0.009,0.005,0.005,0.012
Undirected,N/A,sub-1961098_ses-2_connectome.csv,21,210,1.0,14.457,23,23,23,20,20,20,0.004,0.006,0.01,0.006,0.006,0.009
Undirected,N/A,sub-0021018_ses-1_connectome.csv,21,210,1.0,14.457,27,27,27,20,20,20,0.005,0.004,0.007,0.003,0.003,0.007
Undirected,N/A,sub-1961098_ses-1_connectome.csv,21,210,1.0,14.457,23,23,23,20,20,20,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0021006_ses-2_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.003,0.004,0.009,0.004,0.004,0.017
Undirected,N/A,sub-2799329_ses-1_connectome.csv,21,210,1.0,14.457,23,23,23,20,20,20,0.004,0.008,0.014,0.004,0.004,0.011
Undirected,N/A,sub-2475376_ses-1_connectome.csv,21,210,1.0,14.457,24,24,24,20,20,20,0.003,0.004,0.01,0.005,0.005,0.012
Undirected,N/A,sub-2475376_ses-2_connectome.csv,21,210,1.0,14.457,23,23,23,20,20,20,0.003,0.004,0.008,0.005,0.005,0.014
Undirected,N/A,sub-3201815_ses-1_connectome.csv,21,206,0.981,14.318,27,27,27,20,20,20,0.005,0.005,0.008,0.004,0.005,0.01
Undirected,N/A,sub-2799329_ses-2_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.003,0.004,0.01,0.01,0.006,0.01
Undirected,N/A,sub-2842950_ses-2_connectome.csv,21,210,1.0,10.198,28,28,28,20,20,20,0.004,0.005,0.008,0.003,0.003,0.007
Undirected,N/A,sub-3808535_ses-1_connectome.csv,21,210,1.0,10.198,25,25,25,20,20,20,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-3313349_ses-2_connectome.csv,21,210,1.0,14.457,23,23,23,20,20,20,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-4176156_ses-1_connectome.csv,21,210,1.0,14.457,27,27,27,20,20,20,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-3808535_ses-2_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.003,0.003,0.01,0.003,0.002,0.006
Undirected,N/A,sub-3795193_ses-1_connectome.csv,21,210,1.0,14.457,23,23,23,20,20,20,0.002,0.003,0.005,0.002,0.002,0.004
Undirected,N/A,sub-3315657_ses-1_connectome.csv,21,210,1.0,14.457,24,24,24,20,20,20,0.002,0.002,0.005,0.002,0.003,0.007
Undirected,N/A,sub-7055197_ses-1_connectome.csv,21,210,1.0,14.457,29,29,29,20,20,20,0.006,0.006,0.008,0.004,0.004,0.011
Undirected,N/A,sub-4288245_ses-1_connectome.csv,21,210,1.0,10.198,27,27,27,20,20,20,0.003,0.004,0.009,0.006,0.005,0.012
Undirected,N/A,sub-3315657_ses-2_connectome.csv,21,210,1.0,10.198,25,25,25,20,20,20,0.01,0.005,0.011,0.006,0.004,0.006
Undirected,N/A,sub-4176156_ses-2_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.004,0.005,0.011,0.005,0.004,0.009
Undirected,N/A,sub-4288245_ses-2_connectome.csv,21,210,1.0,14.457,26,26,26,20,20,20,0.005,0.005,0.007,0.004,0.004,0.008
Undirected,N/A,sub-3313349_ses-1_connectome.csv,21,210,1.0,10.198,26,26,26,20,20,20,0.003,0.004,0.008,0.003,0.004,0.008
Undirected,N/A,sub-9630905_ses-1_connectome.csv,21,209,0.995,14.422,24,24,24,20,20,20,0.005,0.004,0.008,0.004,0.007,0.009
Undirected,N/A,sub-3201815_ses-2_connectome.csv,21,208,0.99,10.149,27,27,27,20,20,20,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-8735778_ses-2_connectome.csv,21,210,1.0,14.457,25,25,25,20,20,20,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-2842950_ses-1_connectome.csv,21,210,1.0,14.457,27,27,27,20,20,20,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-7055197_ses-2_connectome.csv,21,210,1.0,14.457,27,27,27,20,20,20,0.003,0.003,0.007,0.003,0.003,0.007
