type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021002_ses-2_connectome.csv,96,2440,0.535,2.947,205,205,205,95,95,95,0.298,0.326,0.634,0.276,0.313,0.853
Undirected,N/A,sub-0021006_ses-1_connectome.csv,101,2800,0.554,2.942,209,209,209,100,100,100,0.374,0.405,0.657,0.374,0.396,0.472
Undirected,N/A,sub-0021018_ses-1_connectome.csv,97,2438,0.524,3.019,229,229,229,97,97,97,0.296,0.346,1.04,0.298,0.303,0.995
Undirected,N/A,sub-0021002_ses-1_connectome.csv,98,2621,0.551,2.771,221,221,221,97,97,97,0.292,0.349,1.119,0.336,0.368,1.077
Undirected,N/A,sub-0021024_ses-2_connectome.csv,100,2428,0.491,3.041,213,213,213,100,100,100,0.289,0.316,1.027,0.285,0.322,0.975
Undirected,N/A,sub-2799329_ses-1_connectome.csv,102,3158,0.613,2.978,228,228,228,101,101,101,0.41,0.464,1.385,0.41,0.454,1.363
Undirected,N/A,sub-1793622_ses-1_connectome.csv,100,3422,0.691,3.48,205,205,205,99,99,99,0.416,0.496,1.499,0.429,0.475,1.503
Undirected,N/A,sub-0021006_ses-2_connectome.csv,102,2789,0.541,2.797,199,199,199,101,101,101,0.356,0.393,1.184,0.321,0.345,1.18
Undirected,N/A,sub-1793622_ses-2_connectome.csv,99,2899,0.598,2.999,216,216,216,98,98,98,0.248,0.372,0.653,0.344,0.394,1.229
Undirected,N/A,sub-0021024_ses-1_connectome.csv,102,2819,0.547,2.871,227,227,227,102,102,102,0.359,0.434,1.255,0.373,0.391,1.226
Undirected,N/A,sub-1961098_ses-1_connectome.csv,103,2887,0.55,2.873,225,225,225,103,103,103,0.403,0.39,0.24,0.357,0.239,1.019
Undirected,N/A,sub-0021018_ses-2_connectome.csv,98,2778,0.584,2.946,227,227,227,113,113,113,0.323,0.356,1.193,0.343,0.353,0.452
Undirected,N/A,sub-2475376_ses-1_connectome.csv,101,3182,0.63,3.017,205,205,205,101,101,101,0.374,0.162,0.828,0.102,0.091,0.913
Undirected,N/A,sub-1961098_ses-2_connectome.csv,100,2871,0.58,3.182,218,218,218,100,100,100,0.322,0.402,0.707,0.085,0.086,0.258
Undirected,N/A,sub-2475376_ses-2_connectome.csv,101,3034,0.601,2.948,185,185,185,100,100,100,0.264,0.381,1.283,0.367,0.399,1.283
Undirected,N/A,sub-2842950_ses-1_connectome.csv,102,2657,0.516,3.152,238,238,238,103,103,103,0.379,0.119,0.322,0.327,0.346,0.993
Undirected,N/A,sub-3201815_ses-1_connectome.csv,101,2353,0.466,3.038,227,227,227,100,100,100,0.239,0.156,0.741,0.238,0.299,0.956
Undirected,N/A,sub-2842950_ses-2_connectome.csv,102,2713,0.527,3.461,230,230,230,106,106,106,0.313,0.356,1.137,0.286,0.351,1.096
Undirected,N/A,sub-3315657_ses-1_connectome.csv,102,2460,0.478,3.034,214,214,214,106,106,106,0.307,0.376,1.0,0.329,0.354,0.997
Undirected,N/A,sub-2799329_ses-2_connectome.csv,102,3059,0.594,2.828,228,228,228,101,101,101,0.372,0.421,0.827,0.368,0.397,1.309
Undirected,N/A,sub-3795193_ses-1_connectome.csv,99,2773,0.572,3.558,208,208,208,98,98,98,0.305,0.263,1.054,0.276,0.337,1.122
Undirected,N/A,sub-3313349_ses-1_connectome.csv,99,2295,0.473,2.873,207,207,207,100,100,100,0.275,0.33,0.929,0.236,0.288,0.903
Undirected,N/A,sub-3313349_ses-2_connectome.csv,99,2546,0.525,3.284,221,221,221,99,99,99,0.282,0.342,1.019,0.272,0.327,0.248
Undirected,N/A,sub-3808535_ses-1_connectome.csv,102,2928,0.568,3.347,203,203,203,101,101,101,0.314,0.417,1.035,0.369,0.397,1.241
Undirected,N/A,sub-4176156_ses-1_connectome.csv,101,2795,0.553,3.191,235,235,235,100,100,100,0.308,0.346,1.152,0.317,0.26,1.166
Undirected,N/A,sub-3201815_ses-2_connectome.csv,102,2456,0.477,3.018,208,208,208,101,101,101,0.257,0.309,1.019,0.263,0.306,0.97
Undirected,N/A,sub-3315657_ses-2_connectome.csv,102,2332,0.453,3.083,222,222,222,104,104,104,0.274,0.121,0.568,0.282,0.314,0.348
Undirected,N/A,sub-4288245_ses-1_connectome.csv,100,3152,0.637,3.083,237,237,237,102,102,102,0.397,0.434,0.734,0.395,0.454,0.535
Undirected,N/A,sub-3795193_ses-2_connectome.csv,100,2983,0.603,3.792,218,218,218,100,100,100,0.334,0.418,1.267,0.368,0.166,0.401
Undirected,N/A,sub-4176156_ses-2_connectome.csv,101,2731,0.541,3.2,218,218,218,101,101,101,0.08,0.083,0.315,0.079,0.08,0.785
Undirected,N/A,sub-4288245_ses-2_connectome.csv,100,2930,0.592,3.046,223,223,223,100,100,100,0.113,0.388,1.231,0.345,0.373,0.502
Undirected,N/A,sub-7055197_ses-1_connectome.csv,100,3200,0.646,3.162,206,206,206,100,100,100,0.355,0.406,1.349,0.383,0.405,1.358
Undirected,N/A,sub-3808535_ses-2_connectome.csv,102,2829,0.549,3.685,191,191,191,101,101,101,0.291,0.365,1.205,0.369,0.37,0.665
Undirected,N/A,sub-7055197_ses-2_connectome.csv,103,3166,0.603,3.108,236,236,236,109,109,109,0.092,0.356,0.532,0.096,0.401,1.013
