type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021018_ses-1_connectome.csv,4,4,0.667,1.732,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0021006_ses-1_connectome.csv,29,261,0.643,3.142,33,33,33,28,28,28,0.005,0.006,0.012,0.006,0.005,0.012
Undirected,N/A,sub-1793622_ses-1_connectome.csv,5,10,1.0,3.0,4,4,4,4,4,4,0.0,0.0,0.001,0.0,0.0,0.0
Undirected,N/A,sub-0021018_ses-2_connectome.csv,6,14,0.933,3.606,5,5,5,5,5,5,0.0,0.0,0.001,0.0,0.0,0.001
Undirected,N/A,sub-0021024_ses-2_connectome.csv,24,235,0.851,4.743,39,39,39,23,23,23,0.004,0.004,0.009,0.007,0.004,0.009
Undirected,N/A,sub-0021024_ses-1_connectome.csv,23,217,0.858,4.328,38,38,38,22,22,22,0.003,0.004,0.008,0.003,0.004,0.01
Undirected,N/A,sub-1793622_ses-2_connectome.csv,4,5,0.833,2.0,3,3,3,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-2475376_ses-2_connectome.csv,22,180,0.779,4.637,29,29,29,22,22,22,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-2799329_ses-1_connectome.csv,5,8,0.8,1.732,5,5,5,5,5,5,0.0,0.0,0.001,0.0,0.0,0.0
Undirected,N/A,sub-1961098_ses-2_connectome.csv,23,192,0.759,5.568,29,29,29,22,22,22,0.003,0.003,0.007,0.003,0.003,0.009
Undirected,N/A,sub-0021006_ses-2_connectome.csv,27,238,0.678,3.856,32,32,32,27,27,27,0.004,0.005,0.01,0.004,0.005,0.01
Undirected,N/A,sub-2475376_ses-1_connectome.csv,21,176,0.838,4.914,27,27,27,20,20,20,0.002,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-1961098_ses-1_connectome.csv,21,182,0.867,3.943,25,25,25,21,21,21,0.003,0.003,0.007,0.003,0.003,0.006
Undirected,N/A,sub-3201815_ses-1_connectome.csv,24,199,0.721,3.635,30,30,30,24,24,24,0.003,0.004,0.008,0.003,0.004,0.009
Undirected,N/A,sub-3313349_ses-1_connectome.csv,26,233,0.717,4.492,36,36,36,25,25,25,0.004,0.004,0.01,0.004,0.004,0.009
Undirected,N/A,sub-3313349_ses-2_connectome.csv,25,237,0.79,5.033,36,36,36,24,24,24,0.007,0.004,0.009,0.007,0.004,0.009
Undirected,N/A,sub-2799329_ses-2_connectome.csv,5,9,0.9,2.828,4,4,4,4,4,4,0.0,0.0,0.001,0.0,0.0,0.0
Undirected,N/A,sub-2842950_ses-1_connectome.csv,28,257,0.68,4.017,31,31,31,27,27,27,0.005,0.005,0.012,0.005,0.005,0.012
Undirected,N/A,sub-3201815_ses-2_connectome.csv,21,170,0.81,4.23,26,26,26,20,20,20,0.003,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-2842950_ses-2_connectome.csv,28,281,0.743,4.54,34,34,34,27,27,27,0.004,0.005,0.012,0.005,0.005,0.013
Undirected,N/A,sub-4288245_ses-1_connectome.csv,3,2,0.667,1.0,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-3808535_ses-2_connectome.csv,24,193,0.699,4.522,36,36,36,23,23,23,0.003,0.004,0.011,0.003,0.003,0.008
Undirected,N/A,sub-4288245_ses-2_connectome.csv,3,2,0.667,1.0,2,2,2,2,2,2,0.0,0.0,0.0,0.0,0.001,0.0
Undirected,N/A,sub-3795193_ses-1_connectome.csv,24,215,0.779,4.528,32,32,32,23,23,23,0.003,0.004,0.009,0.004,0.004,0.009
Undirected,N/A,sub-3795193_ses-2_connectome.csv,24,214,0.775,4.517,31,31,31,23,23,23,0.003,0.004,0.012,0.004,0.007,0.009
Undirected,N/A,sub-4176156_ses-1_connectome.csv,25,258,0.86,4.175,32,32,32,24,24,24,0.004,0.008,0.01,0.004,0.004,0.01
Undirected,N/A,sub-7055197_ses-1_connectome.csv,26,257,0.791,7.953,36,36,36,25,25,25,0.005,0.006,0.017,0.006,0.005,0.023
Undirected,N/A,sub-9630905_ses-1_connectome.csv,22,165,0.714,4.751,27,27,27,22,22,22,0.006,0.004,0.01,0.004,0.004,0.012
Undirected,N/A,sub-3808535_ses-1_connectome.csv,22,187,0.81,4.0,30,30,30,22,22,22,0.003,0.004,0.011,0.004,0.006,0.011
Undirected,N/A,sub-9630905_ses-2_connectome.csv,13,67,0.859,8.124,15,15,15,12,12,12,0.001,0.002,0.003,0.002,0.002,0.004
Undirected,N/A,sub-4176156_ses-2_connectome.csv,23,216,0.854,7.28,34,34,34,22,22,22,0.006,0.005,0.018,0.007,0.005,0.01
Undirected,N/A,sub-7055197_ses-2_connectome.csv,22,207,0.896,5.345,33,33,33,21,21,21,0.003,0.004,0.009,0.004,0.004,0.009
Undirected,N/A,sub-8735778_ses-2_connectome.csv,29,288,0.709,5.273,37,37,37,29,29,29,0.007,0.009,0.021,0.008,0.007,0.018
Undirected,N/A,sub-8735778_ses-1_connectome.csv,28,287,0.759,5.558,40,40,40,28,28,28,0.007,0.011,0.016,0.006,0.008,0.021
