type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-2_connectome.csv,17,136,1.0,11.619,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0021002_ses-1_connectome.csv,17,136,1.0,11.619,32,32,32,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0021018_ses-2_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.003
Undirected,N/A,sub-0021006_ses-1_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0021018_ses-1_connectome.csv,17,136,1.0,11.619,33,33,33,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0021024_ses-1_connectome.csv,17,136,1.0,11.619,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0021001_ses-1_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0021002_ses-2_connectome.csv,17,136,1.0,11.619,34,34,34,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0021006_ses-2_connectome.csv,17,136,1.0,11.619,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-1793622_ses-2_connectome.csv,17,136,1.0,11.619,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-1961098_ses-1_connectome.csv,17,136,1.0,11.619,33,33,33,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-2475376_ses-2_connectome.csv,17,136,1.0,11.619,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-0021024_ses-2_connectome.csv,17,136,1.0,11.619,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-1961098_ses-2_connectome.csv,17,136,1.0,11.619,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-1793622_ses-1_connectome.csv,17,136,1.0,11.619,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-3201815_ses-1_connectome.csv,17,136,1.0,11.619,24,24,24,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-2475376_ses-1_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-2799329_ses-2_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-2799329_ses-1_connectome.csv,17,136,1.0,11.619,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-2842950_ses-2_connectome.csv,17,136,1.0,11.619,33,33,33,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-2842950_ses-1_connectome.csv,17,136,1.0,11.619,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-3795193_ses-1_connectome.csv,17,136,1.0,11.619,22,22,22,16,16,16,0.001,0.001,0.002,0.001,0.001,0.003
Undirected,N/A,sub-3315657_ses-1_connectome.csv,17,136,1.0,11.619,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-3313349_ses-2_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-3795193_ses-2_connectome.csv,17,136,1.0,11.619,22,22,22,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-4176156_ses-1_connectome.csv,17,136,1.0,11.619,28,28,28,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-3315657_ses-2_connectome.csv,17,136,1.0,11.619,26,26,26,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-3201815_ses-2_connectome.csv,17,136,1.0,8.185,25,25,25,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-3808535_ses-2_connectome.csv,17,136,1.0,11.619,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-3808535_ses-1_connectome.csv,17,136,1.0,11.619,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-3313349_ses-1_connectome.csv,17,136,1.0,11.619,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-7055197_ses-1_connectome.csv,17,136,1.0,11.619,29,29,29,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-8735778_ses-2_connectome.csv,17,136,1.0,11.619,23,23,23,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-8735778_ses-1_connectome.csv,17,136,1.0,11.619,24,24,24,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-9630905_ses-1_connectome.csv,17,136,1.0,11.619,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-4288245_ses-1_connectome.csv,17,136,1.0,11.619,32,32,32,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-7055197_ses-2_connectome.csv,17,136,1.0,11.619,27,27,27,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-4288245_ses-2_connectome.csv,17,136,1.0,11.619,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-4176156_ses-2_connectome.csv,17,136,1.0,11.619,30,30,30,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
Undirected,N/A,sub-9630905_ses-2_connectome.csv,17,136,1.0,11.619,31,31,31,16,16,16,0.001,0.001,0.002,0.001,0.001,0.002
