type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-2_connectome.csv,116,3897,0.584,3.144,280,280,280,115,115,115,0.099,0.089,0.204,0.082,0.085,0.218
Undirected,N/A,sub-0021001_ses-1_connectome.csv,116,3523,0.528,2.81,263,263,263,116,116,116,0.075,0.076,0.188,0.073,0.074,0.191
Undirected,N/A,sub-0021002_ses-1_connectome.csv,116,4212,0.631,3.074,291,291,291,119,119,119,0.096,0.085,0.211,0.081,0.082,0.217
Undirected,N/A,sub-0021006_ses-1_connectome.csv,116,4510,0.676,3.108,279,279,279,115,115,115,0.085,0.086,0.226,0.083,0.085,0.232
Undirected,N/A,sub-0021002_ses-2_connectome.csv,116,4364,0.654,3.247,304,304,304,115,115,115,0.083,0.085,0.218,0.086,0.083,0.22
Undirected,N/A,sub-0021024_ses-2_connectome.csv,116,4397,0.659,3.294,285,285,285,115,115,115,0.08,0.083,0.211,0.081,0.082,0.241
Undirected,N/A,sub-0021006_ses-2_connectome.csv,116,4276,0.641,2.998,254,254,254,115,115,115,0.082,0.083,0.212,0.081,0.082,0.232
Undirected,N/A,sub-0021018_ses-1_connectome.csv,116,5209,0.781,3.808,279,279,279,115,115,115,0.089,0.091,0.249,0.09,0.09,0.257
Undirected,N/A,sub-0021018_ses-2_connectome.csv,116,5609,0.841,3.589,295,295,295,115,115,115,0.093,0.097,0.284,0.093,0.094,0.277
Undirected,N/A,sub-1961098_ses-1_connectome.csv,116,4713,0.707,3.386,267,267,267,115,115,115,0.083,0.085,0.248,0.083,0.085,0.251
Undirected,N/A,sub-1793622_ses-2_connectome.csv,116,4911,0.736,3.577,276,276,276,115,115,115,0.088,0.09,0.239,0.088,0.088,0.246
Undirected,N/A,sub-2475376_ses-1_connectome.csv,116,5124,0.768,3.423,302,302,302,115,115,115,0.086,0.089,0.24,0.088,0.105,0.253
Undirected,N/A,sub-2799329_ses-1_connectome.csv,116,4881,0.732,3.324,285,285,285,115,115,115,0.086,0.088,0.233,0.087,0.093,0.252
Undirected,N/A,sub-1961098_ses-2_connectome.csv,116,4756,0.713,3.346,277,277,277,115,115,115,0.085,0.086,0.226,0.084,0.087,0.261
Undirected,N/A,sub-2475376_ses-2_connectome.csv,116,4956,0.743,3.286,273,273,273,115,115,115,0.085,0.086,0.246,0.087,0.088,0.252
Undirected,N/A,sub-1793622_ses-1_connectome.csv,116,5341,0.801,3.811,306,306,306,115,115,115,0.092,0.094,0.26,0.093,0.092,0.266
Undirected,N/A,sub-3313349_ses-1_connectome.csv,116,3575,0.536,2.984,272,272,272,116,116,116,0.077,0.082,0.178,0.077,0.079,0.184
Undirected,N/A,sub-0021024_ses-1_connectome.csv,116,4350,0.652,3.261,269,269,269,115,115,115,0.085,0.083,0.212,0.085,0.085,0.222
Undirected,N/A,sub-2842950_ses-1_connectome.csv,116,4584,0.687,3.331,272,272,272,116,116,116,0.084,0.086,0.221,0.084,0.087,0.236
Undirected,N/A,sub-3795193_ses-1_connectome.csv,115,4391,0.67,3.254,221,221,221,114,114,114,0.079,0.082,0.209,0.469,0.082,0.227
Undirected,N/A,sub-2799329_ses-2_connectome.csv,116,4801,0.72,3.281,271,271,271,115,115,115,0.085,0.087,0.23,0.085,0.087,0.253
