type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-1_connectome.csv,380,21413,0.297,2.497,1071,1071,1071,392,392,392,1.621,1.624,3.432,1.581,1.635,3.625
Undirected,N/A,sub-0021002_ses-2_connectome.csv,384,25017,0.34,2.513,1087,1087,1087,395,395,395,1.904,1.918,4.062,1.892,1.928,4.22
Undirected,N/A,sub-0021006_ses-1_connectome.csv,384,27677,0.376,2.473,1152,1152,1152,389,389,389,2.04,2.07,4.491,2.063,2.086,4.673
Undirected,N/A,sub-0021018_ses-2_connectome.csv,383,34557,0.472,2.525,1043,1043,1043,385,385,385,2.319,2.374,5.51,2.363,2.421,5.764
Undirected,N/A,sub-0021001_ses-2_connectome.csv,384,27525,0.374,2.596,1069,1069,1069,389,389,389,1.919,1.938,4.459,1.896,1.927,4.672
Undirected,N/A,sub-0021018_ses-1_connectome.csv,382,29721,0.408,2.496,1047,1047,1047,392,392,392,2.145,2.132,4.731,2.117,2.164,4.918
Undirected,N/A,sub-0021002_ses-1_connectome.csv,381,25438,0.351,2.508,1064,1064,1064,397,397,397,1.876,1.876,4.07,1.85,1.894,4.229
Undirected,N/A,sub-0021006_ses-2_connectome.csv,384,27952,0.38,2.421,1127,1127,1127,386,386,386,2.019,2.054,4.55,2.025,2.08,4.67
Undirected,N/A,sub-0021024_ses-2_connectome.csv,383,26801,0.366,2.499,1034,1034,1034,400,400,400,2.022,2.049,4.281,2.059,2.07,4.459
Undirected,N/A,sub-0021024_ses-1_connectome.csv,383,24789,0.339,2.468,1048,1048,1048,395,395,395,1.902,1.919,3.984,1.886,1.922,4.162
Undirected,N/A,sub-1793622_ses-2_connectome.csv,384,30980,0.421,2.605,1103,1103,1103,390,390,390,2.237,2.247,4.991,2.216,2.283,5.212
Undirected,N/A,sub-1961098_ses-2_connectome.csv,384,29142,0.396,2.559,1190,1190,1190,393,393,393,2.145,2.162,4.736,2.135,2.174,4.965
Undirected,N/A,sub-1793622_ses-1_connectome.csv,384,32507,0.442,2.56,1090,1090,1090,386,386,386,2.325,2.344,5.334,2.312,2.372,5.568
Undirected,N/A,sub-1961098_ses-1_connectome.csv,384,27041,0.368,2.446,1123,1123,1123,403,403,403,2.002,2.038,4.365,2.009,2.036,4.598
Undirected,N/A,sub-2475376_ses-2_connectome.csv,382,32434,0.446,2.514,1011,1011,1011,387,387,387,2.314,2.311,5.198,2.327,2.371,5.437
Undirected,N/A,sub-2475376_ses-1_connectome.csv,383,32979,0.451,2.504,1031,1031,1031,382,382,382,2.375,2.382,5.3,2.401,2.429,5.515
Undirected,N/A,sub-2842950_ses-1_connectome.csv,384,26564,0.361,2.434,1075,1075,1075,386,386,386,1.999,2.055,4.28,2.026,2.062,4.469
Undirected,N/A,sub-2799329_ses-1_connectome.csv,382,29168,0.401,2.545,1144,1144,1144,391,391,391,2.081,2.119,4.667,2.078,2.108,4.855
Undirected,N/A,sub-2842950_ses-2_connectome.csv,384,30141,0.41,2.487,1080,1080,1080,385,385,385,2.127,2.164,4.831,2.123,2.175,4.998
Undirected,N/A,sub-2799329_ses-2_connectome.csv,380,27996,0.389,2.52,1013,1013,1013,383,383,383,2.038,2.052,4.424,2.05,2.104,4.616
Undirected,N/A,sub-3313349_ses-1_connectome.csv,380,21247,0.295,2.466,1053,1053,1053,395,395,395,1.737,1.766,3.439,1.724,1.75,3.558
Undirected,N/A,sub-3808535_ses-1_connectome.csv,382,29775,0.409,2.544,1094,1094,1094,382,382,382,2.149,2.146,4.79,2.145,2.194,4.982
Undirected,N/A,sub-3201815_ses-2_connectome.csv,379,25089,0.35,2.536,1102,1102,1102,389,389,389,1.847,1.881,4.01,1.836,1.872,4.206
Undirected,N/A,sub-3201815_ses-1_connectome.csv,384,22396,0.305,2.521,1032,1032,1032,392,392,392,1.69,1.708,3.659,1.66,1.715,3.766
Undirected,N/A,sub-3795193_ses-1_connectome.csv,383,34986,0.478,2.572,1135,1135,1135,383,383,383,2.325,2.365,5.593,2.328,2.377,5.81
Undirected,N/A,sub-4176156_ses-2_connectome.csv,382,30433,0.418,2.575,1073,1073,1073,385,385,385,2.17,2.165,4.838,2.123,2.184,5.009
Undirected,N/A,sub-3313349_ses-2_connectome.csv,384,24936,0.339,2.483,1147,1147,1147,397,397,397,1.874,1.909,3.992,1.879,1.908,4.177
Undirected,N/A,sub-3315657_ses-2_connectome.csv,384,21681,0.295,2.606,1066,1066,1066,407,407,407,1.65,1.665,3.529,1.635,1.656,3.679
Undirected,N/A,sub-4288245_ses-2_connectome.csv,384,27565,0.375,2.447,1014,1014,1014,396,396,396,1.99,2.036,4.803,2.006,2.069,4.626
Undirected,N/A,sub-4288245_ses-1_connectome.csv,383,29549,0.404,2.535,1054,1054,1054,393,393,393,2.271,2.259,4.849,2.262,2.285,5.056
Undirected,N/A,sub-7055197_ses-1_connectome.csv,384,29811,0.405,2.443,1043,1043,1043,386,386,386,2.097,2.135,4.816,2.111,2.158,4.961
Undirected,N/A,sub-8735778_ses-1_connectome.csv,384,32147,0.437,2.527,1073,1073,1073,385,385,385,2.198,2.225,5.128,2.241,2.3,5.352
Undirected,N/A,sub-7055197_ses-2_connectome.csv,383,29036,0.397,2.544,1082,1082,1082,392,392,392,2.146,2.157,4.599,2.14,2.187,4.81
Undirected,N/A,sub-4176156_ses-1_connectome.csv,384,29848,0.406,2.546,1156,1156,1156,390,390,390,2.064,2.085,4.709,2.073,2.114,4.948
Undirected,N/A,sub-9630905_ses-2_connectome.csv,383,25051,0.342,2.47,990,990,990,386,386,386,1.812,1.827,4.105,1.801,1.837,4.234
Undirected,N/A,sub-9630905_ses-1_connectome.csv,383,27363,0.374,2.512,1051,1051,1051,385,385,385,1.956,1.971,4.407,1.947,1.982,4.612
Undirected,N/A,sub-8735778_ses-2_connectome.csv,384,29139,0.396,2.532,1076,1076,1076,387,387,387,2.143,2.157,4.707,2.168,2.21,4.86
Undirected,N/A,sub-3808535_ses-2_connectome.csv,384,28109,0.382,2.564,1155,1155,1155,386,386,386,2.067,2.097,4.519,2.091,2.125,4.699
