type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-1_connectome.csv,41,764,0.932,6.262,58,58,58,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-0021001_ses-2_connectome.csv,41,813,0.991,10.031,56,56,56,40,40,40,0.006,0.007,0.015,0.006,0.007,0.015
Undirected,N/A,sub-0021002_ses-1_connectome.csv,41,801,0.977,9.381,73,73,73,40,40,40,0.007,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-0021006_ses-1_connectome.csv,41,770,0.939,7.095,56,56,56,40,40,40,0.006,0.007,0.016,0.006,0.007,0.016
Undirected,N/A,sub-0021002_ses-2_connectome.csv,41,801,0.977,19.987,73,73,73,40,40,40,0.007,0.007,0.015,0.006,0.006,0.016
Undirected,N/A,sub-0021006_ses-2_connectome.csv,41,782,0.954,6.708,57,57,57,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0021018_ses-1_connectome.csv,41,816,0.995,12.736,79,79,79,40,40,40,0.007,0.007,0.015,0.007,0.007,0.017
Undirected,N/A,sub-1793622_ses-1_connectome.csv,41,820,1.0,20.224,57,57,57,40,40,40,0.007,0.007,0.016,0.006,0.007,0.016
Undirected,N/A,sub-0021024_ses-2_connectome.csv,41,802,0.978,9.387,67,67,67,40,40,40,0.006,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-1793622_ses-2_connectome.csv,41,810,0.988,10.71,60,60,60,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0021018_ses-2_connectome.csv,41,816,0.995,16.462,63,63,63,40,40,40,0.007,0.007,0.015,0.007,0.007,0.015
Undirected,N/A,sub-2475376_ses-2_connectome.csv,41,817,0.996,16.472,70,70,70,40,40,40,0.006,0.007,0.015,0.006,0.007,0.015
