type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021006_ses-1_connectome.csv,331,10881,0.199,2.109,602,602,602,332,332,332,0.79,0.808,1.585,0.787,0.789,1.633
Undirected,N/A,sub-0021024_ses-1_connectome.csv,332,11464,0.209,2.096,632,632,632,340,340,340,0.858,0.898,1.676,0.852,0.869,1.745
Undirected,N/A,sub-0021018_ses-2_connectome.csv,333,14712,0.266,1.951,690,690,690,334,334,334,1.017,1.081,2.115,1.011,1.045,2.163
Undirected,N/A,sub-0021006_ses-2_connectome.csv,333,11648,0.211,2.115,685,685,685,338,338,338,0.835,0.861,1.699,0.836,0.853,1.756
Undirected,N/A,sub-0021002_ses-2_connectome.csv,333,11272,0.204,2.162,644,644,644,340,340,340,0.823,0.874,1.646,0.814,0.856,1.716
Undirected,N/A,sub-0021018_ses-1_connectome.csv,332,12302,0.224,2.031,650,650,650,335,335,335,0.87,0.907,1.774,0.859,1.212,1.824
Undirected,N/A,sub-0021024_ses-2_connectome.csv,330,12334,0.227,2.06,644,644,644,339,339,339,0.93,0.943,1.8,0.9,0.933,1.821
Undirected,N/A,sub-1793622_ses-2_connectome.csv,333,14985,0.271,2.228,711,711,711,333,333,333,0.994,1.049,2.182,0.985,1.035,2.22
Undirected,N/A,sub-1793622_ses-1_connectome.csv,333,15109,0.273,2.142,756,756,756,336,336,336,1.054,1.121,2.211,1.048,1.089,2.3
Undirected,N/A,sub-1961098_ses-2_connectome.csv,331,12392,0.227,2.035,658,658,658,338,338,338,0.875,0.919,1.777,0.873,0.894,1.854
Undirected,N/A,sub-0021002_ses-1_connectome.csv,330,12079,0.223,2.11,652,652,652,341,341,341,0.867,0.902,1.737,0.846,0.877,1.79
Undirected,N/A,sub-0021001_ses-2_connectome.csv,331,13839,0.253,2.207,650,650,650,333,333,333,0.888,0.928,1.98,0.885,0.911,2.017
Undirected,N/A,sub-0021001_ses-1_connectome.csv,329,10350,0.192,2.05,598,598,598,336,336,336,0.724,0.762,1.523,0.726,0.741,1.558
Undirected,N/A,sub-2475376_ses-1_connectome.csv,329,13274,0.246,2.074,644,644,644,331,331,331,0.978,1.013,1.879,0.943,0.977,1.939
Undirected,N/A,sub-1961098_ses-1_connectome.csv,329,10769,0.2,2.082,648,648,648,342,342,342,0.783,0.817,1.55,0.783,0.805,1.615
Undirected,N/A,sub-2799329_ses-2_connectome.csv,330,12880,0.237,2.133,675,675,675,337,337,337,0.928,0.972,1.844,0.915,0.949,1.889
Undirected,N/A,sub-3201815_ses-1_connectome.csv,333,11400,0.206,2.163,685,685,685,339,339,339,0.779,0.818,1.654,0.769,0.794,1.739
Undirected,N/A,sub-3201815_ses-2_connectome.csv,331,12168,0.223,2.192,694,694,694,336,336,336,0.82,0.858,1.757,0.828,0.843,1.816
Undirected,N/A,sub-2842950_ses-1_connectome.csv,332,11179,0.203,2.041,649,649,649,342,342,342,0.817,0.848,1.625,0.82,0.836,1.695
Undirected,N/A,sub-2842950_ses-2_connectome.csv,331,13312,0.244,2.139,695,695,695,340,340,340,0.912,0.95,1.902,0.92,0.946,1.951
Undirected,N/A,sub-2475376_ses-2_connectome.csv,331,13277,0.243,2.025,669,669,669,342,342,342,0.942,0.968,1.908,0.922,0.956,1.952
Undirected,N/A,sub-3313349_ses-1_connectome.csv,328,7566,0.141,1.953,627,627,627,349,349,349,0.593,0.626,1.124,0.61,0.605,1.16
Undirected,N/A,sub-3795193_ses-1_connectome.csv,331,15387,0.282,2.198,647,647,647,331,331,331,1.012,1.038,2.177,0.996,1.026,2.253
Undirected,N/A,sub-4176156_ses-1_connectome.csv,333,13710,0.248,2.127,686,686,686,337,337,337,0.897,0.95,1.948,0.904,0.933,2.018
Undirected,N/A,sub-3313349_ses-2_connectome.csv,330,8473,0.156,1.922,606,606,606,339,339,339,0.666,0.695,1.242,0.672,0.688,1.301
Undirected,N/A,sub-3315657_ses-2_connectome.csv,331,8678,0.159,2.196,633,633,633,349,349,349,0.662,0.687,1.281,0.662,0.676,1.315
Undirected,N/A,sub-4288245_ses-2_connectome.csv,329,11890,0.22,2.028,632,632,632,335,335,335,0.885,0.935,1.715,0.889,0.908,1.789
Undirected,N/A,sub-4288245_ses-1_connectome.csv,332,12715,0.231,2.115,677,677,677,342,342,342,0.955,0.982,1.84,0.931,0.968,1.914
Undirected,N/A,sub-7055197_ses-2_connectome.csv,332,9918,0.181,1.95,613,613,613,349,349,349,0.772,0.815,1.494,0.776,0.792,1.519
Undirected,N/A,sub-9630905_ses-1_connectome.csv,333,11636,0.21,2.072,610,610,610,337,337,337,0.826,0.854,1.706,0.809,0.832,1.792
Undirected,N/A,sub-8735778_ses-2_connectome.csv,332,12766,0.232,2.155,688,688,688,334,334,334,0.876,0.914,1.828,0.875,0.897,1.914
Undirected,N/A,sub-7055197_ses-1_connectome.csv,332,11533,0.21,1.919,608,608,608,355,355,355,0.849,0.881,1.661,0.852,0.874,1.718
Undirected,N/A,sub-4176156_ses-2_connectome.csv,333,14167,0.256,2.262,718,718,718,334,334,334,0.958,1.007,2.035,0.95,0.972,2.114
Undirected,N/A,sub-8735778_ses-1_connectome.csv,333,13113,0.237,2.046,645,645,645,341,341,341,0.922,0.961,1.879,0.923,0.951,1.956
Undirected,N/A,sub-3808535_ses-2_connectome.csv,333,12403,0.224,2.181,691,691,691,335,335,335,0.856,0.898,1.787,0.847,0.872,1.854
Undirected,N/A,sub-3808535_ses-1_connectome.csv,331,13126,0.24,2.193,693,693,693,331,331,331,0.916,0.952,1.867,0.907,0.927,1.933
Undirected,N/A,sub-9630905_ses-2_connectome.csv,325,10383,0.197,2.153,596,596,596,342,342,342,0.729,0.751,1.471,0.711,0.734,1.53
Undirected,N/A,sub-2799329_ses-1_connectome.csv,331,13554,0.248,2.223,656,656,656,342,342,342,0.916,0.963,1.937,0.917,0.942,1.974
