type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-1_connectome.csv,83,1922,0.565,3.475,158,158,158,82,82,82,0.03,0.031,0.075,0.031,0.031,0.078
Undirected,N/A,sub-0021006_ses-1_connectome.csv,83,2375,0.698,3.344,187,187,187,83,83,83,0.034,0.036,0.083,0.035,0.036,0.087
Undirected,N/A,sub-0021002_ses-1_connectome.csv,83,2315,0.68,3.733,163,163,163,82,82,82,0.032,0.034,0.085,0.033,0.033,0.087
Undirected,N/A,sub-0021018_ses-1_connectome.csv,83,2636,0.775,3.947,191,191,191,82,82,82,0.035,0.037,0.09,0.034,0.036,0.098
Undirected,N/A,sub-0021024_ses-1_connectome.csv,83,2403,0.706,3.536,170,170,170,83,83,83,0.032,0.034,0.087,0.033,0.033,0.088
Undirected,N/A,sub-1961098_ses-2_connectome.csv,83,2563,0.753,3.617,171,171,171,82,82,82,0.035,0.036,0.087,0.033,0.037,0.093
Undirected,N/A,sub-0021001_ses-2_connectome.csv,83,2180,0.641,3.343,192,192,192,82,82,82,0.032,0.034,0.079,0.032,0.033,0.084
Undirected,N/A,sub-1961098_ses-1_connectome.csv,83,2475,0.727,3.592,184,184,184,82,82,82,0.035,0.035,0.085,0.033,0.034,0.093
Undirected,N/A,sub-0021018_ses-2_connectome.csv,82,2851,0.858,4.009,194,194,194,81,81,81,0.035,0.037,0.097,0.037,0.036,0.1
Undirected,N/A,sub-0021006_ses-2_connectome.csv,83,2389,0.702,3.273,177,177,177,82,82,82,0.033,0.036,0.084,0.033,0.034,0.091
Undirected,N/A,sub-0021024_ses-2_connectome.csv,83,2575,0.757,3.885,184,184,184,82,82,82,0.036,0.036,0.09,0.035,0.037,0.095
Undirected,N/A,sub-2475376_ses-1_connectome.csv,83,2705,0.795,3.701,200,200,200,82,82,82,0.035,0.036,0.095,0.034,0.036,0.102
Undirected,N/A,sub-2842950_ses-1_connectome.csv,83,2461,0.723,3.283,176,176,176,82,82,82,0.034,0.034,0.084,0.284,0.035,0.09
Undirected,N/A,sub-2799329_ses-1_connectome.csv,83,2595,0.763,3.696,205,205,205,82,82,82,0.034,0.038,0.092,0.034,0.034,0.094
Undirected,N/A,sub-1793622_ses-1_connectome.csv,83,2766,0.813,3.682,199,199,199,82,82,82,0.039,0.038,0.094,0.035,0.038,0.102
Undirected,N/A,sub-2475376_ses-2_connectome.csv,83,2581,0.758,3.852,197,197,197,82,82,82,0.035,0.036,0.093,0.034,0.035,0.094
Undirected,N/A,sub-3313349_ses-1_connectome.csv,83,2026,0.595,3.164,180,180,180,82,82,82,0.033,0.033,0.074,0.033,0.032,0.081
