type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-1_connectome.csv,124,3317,0.435,3.143,209,209,209,126,126,126,0.076,0.08,0.187,0.079,0.078,0.187
Undirected,N/A,sub-0021006_ses-2_connectome.csv,120,3373,0.472,3.206,199,199,199,123,123,123,0.075,0.077,0.176,0.076,0.077,0.187
Undirected,N/A,sub-0021002_ses-1_connectome.csv,109,2988,0.508,3.098,205,205,205,112,112,112,0.057,0.06,0.141,0.06,0.06,0.145
Undirected,N/A,sub-0021018_ses-2_connectome.csv,115,3724,0.568,3.278,190,190,190,124,124,124,0.073,0.074,0.184,0.073,0.075,0.189
Undirected,N/A,sub-0021018_ses-1_connectome.csv,116,3382,0.507,3.265,183,183,183,126,126,126,0.067,0.069,0.172,0.071,0.069,0.174
Undirected,N/A,sub-0021001_ses-2_connectome.csv,127,3648,0.456,3.031,215,215,215,126,126,126,0.084,0.086,0.205,0.085,0.087,0.205
Undirected,N/A,sub-0021006_ses-1_connectome.csv,121,3318,0.457,3.024,225,225,225,130,130,130,0.077,0.079,0.174,0.082,0.078,0.331
Undirected,N/A,sub-1793622_ses-2_connectome.csv,114,3455,0.536,3.374,186,186,186,117,117,117,0.066,0.068,0.169,0.067,0.068,0.179
Undirected,N/A,sub-1961098_ses-1_connectome.csv,120,3513,0.492,2.997,193,193,193,122,122,122,0.074,0.075,0.184,0.072,0.074,0.187
Undirected,N/A,sub-1793622_ses-1_connectome.csv,116,3668,0.55,3.218,205,205,205,121,121,121,0.074,0.082,0.185,0.073,0.074,0.189
Undirected,N/A,sub-0021024_ses-1_connectome.csv,121,3126,0.431,3.025,191,191,191,130,130,130,0.075,0.076,0.168,0.074,0.075,0.179
Undirected,N/A,sub-0021002_ses-2_connectome.csv,117,3042,0.448,3.069,203,203,203,123,123,123,0.069,0.069,0.155,0.068,0.069,0.159
Undirected,N/A,sub-0021024_ses-2_connectome.csv,122,3249,0.44,2.964,181,181,181,128,128,128,0.073,0.075,0.178,0.074,0.075,0.176
Undirected,N/A,sub-2799329_ses-1_connectome.csv,120,3401,0.476,3.332,207,207,207,130,130,130,0.075,0.077,0.177,0.076,0.077,0.183
Undirected,N/A,sub-2799329_ses-2_connectome.csv,115,3497,0.533,3.178,192,192,192,117,117,117,0.07,0.075,0.174,0.07,0.071,0.177
Undirected,N/A,sub-2842950_ses-1_connectome.csv,118,3226,0.467,3.04,193,193,193,119,119,119,0.072,0.073,0.164,0.074,0.077,0.173
Undirected,N/A,sub-3201815_ses-1_connectome.csv,121,3045,0.419,3.053,206,206,206,135,135,135,0.075,0.077,0.168,0.075,0.075,0.166
Undirected,N/A,sub-3315657_ses-2_connectome.csv,120,2833,0.397,3.087,212,212,212,131,131,131,0.067,0.071,0.153,0.071,0.069,0.154
Undirected,N/A,sub-1961098_ses-2_connectome.csv,122,3485,0.472,3.167,191,191,191,128,128,128,0.082,0.081,0.186,0.079,0.08,0.189
Undirected,N/A,sub-3808535_ses-1_connectome.csv,117,3355,0.494,3.245,199,199,199,122,122,122,0.072,0.074,0.17,0.073,0.075,0.185
Undirected,N/A,sub-2842950_ses-2_connectome.csv,118,3232,0.468,3.266,192,192,192,123,123,123,0.07,0.074,0.17,0.072,0.072,0.169
Undirected,N/A,sub-4176156_ses-1_connectome.csv,121,3589,0.494,2.99,201,201,201,123,123,123,0.078,0.082,0.2,0.079,0.081,0.197
Undirected,N/A,sub-2475376_ses-2_connectome.csv,120,3642,0.51,2.974,200,200,200,127,127,127,0.075,0.077,0.188,0.076,0.089,0.192
Undirected,N/A,sub-3201815_ses-2_connectome.csv,120,3309,0.463,2.867,197,197,197,123,123,123,0.076,0.078,0.176,0.076,0.077,0.175
Undirected,N/A,sub-3795193_ses-1_connectome.csv,115,3697,0.564,3.078,184,184,184,119,119,119,0.075,0.085,0.182,0.074,0.074,0.185
Undirected,N/A,sub-4176156_ses-2_connectome.csv,120,3588,0.503,3.24,196,196,196,123,123,123,0.075,0.077,0.2,0.076,0.078,0.192
Undirected,N/A,sub-3313349_ses-1_connectome.csv,116,2704,0.405,2.908,222,222,222,146,146,146,0.062,0.064,0.137,0.075,0.064,0.144
Undirected,N/A,sub-4288245_ses-2_connectome.csv,116,3185,0.478,2.946,197,197,197,127,127,127,0.069,0.068,0.157,0.069,0.076,0.173
Undirected,N/A,sub-7055197_ses-2_connectome.csv,119,3365,0.479,2.988,213,213,213,126,126,126,0.07,0.072,0.173,0.072,0.073,0.177
Undirected,N/A,sub-3313349_ses-2_connectome.csv,111,2854,0.467,3.179,185,185,185,118,118,118,0.059,0.06,0.151,0.06,0.061,0.141
Undirected,N/A,sub-7055197_ses-1_connectome.csv,120,3675,0.515,3.306,213,213,213,131,131,131,0.075,0.074,0.187,0.073,0.076,0.207
Undirected,N/A,sub-8735778_ses-2_connectome.csv,121,3586,0.494,3.178,192,192,192,125,125,125,0.079,0.081,0.19,0.079,0.081,0.189
Undirected,N/A,sub-8735778_ses-1_connectome.csv,119,3627,0.517,3.114,196,196,196,124,124,124,0.078,0.079,0.2,0.081,0.08,0.194
Undirected,N/A,sub-9630905_ses-1_connectome.csv,121,3201,0.441,3.054,213,213,213,136,136,136,0.073,0.075,0.171,0.074,0.084,0.178
Undirected,N/A,sub-9630905_ses-2_connectome.csv,115,2939,0.448,2.96,190,190,190,122,122,122,0.065,0.067,0.148,0.066,0.067,0.151
Undirected,N/A,sub-2475376_ses-1_connectome.csv,118,3711,0.538,3.104,185,185,185,124,124,124,0.075,0.077,0.186,0.074,0.076,0.194
Undirected,N/A,sub-4288245_ses-1_connectome.csv,118,3478,0.504,3.028,213,213,213,127,127,127,0.07,0.073,0.174,0.071,0.072,0.185
Undirected,N/A,sub-3808535_ses-2_connectome.csv,117,3272,0.482,3.189,203,203,203,121,121,121,0.072,0.074,0.165,0.074,0.074,0.174
