type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-2_connectome.csv,30,335,0.77,3.6,37,37,37,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0021006_ses-2_connectome.csv,30,414,0.952,5.554,51,51,51,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0021018_ses-1_connectome.csv,31,428,0.92,7.246,49,49,49,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0021006_ses-1_connectome.csv,30,420,0.966,6.403,48,48,48,29,29,29,0.003,0.003,0.007,0.003,0.003,0.009
Undirected,N/A,sub-0021024_ses-1_connectome.csv,31,445,0.957,8.554,54,54,54,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-1961098_ses-1_connectome.csv,29,402,0.99,8.911,42,42,42,28,28,28,0.003,0.003,0.006,0.004,0.005,0.007
Undirected,N/A,sub-0021002_ses-1_connectome.csv,30,405,0.931,5.985,44,44,44,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-1793622_ses-2_connectome.csv,30,422,0.97,7.194,49,49,49,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-1961098_ses-2_connectome.csv,30,419,0.963,8.297,45,45,45,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-2475376_ses-1_connectome.csv,31,438,0.942,5.31,51,51,51,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-2842950_ses-1_connectome.csv,30,421,0.968,8.317,48,48,48,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-1793622_ses-1_connectome.csv,30,425,0.977,11.86,44,44,44,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-2799329_ses-1_connectome.csv,30,421,0.968,9.121,48,48,48,29,29,29,0.004,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-2799329_ses-2_connectome.csv,31,426,0.916,6.45,58,58,58,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0021018_ses-2_connectome.csv,31,440,0.946,12.069,46,46,46,30,30,30,0.003,0.003,0.008,0.003,0.004,0.009
Undirected,N/A,sub-0021024_ses-2_connectome.csv,31,436,0.938,7.314,46,46,46,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0021001_ses-1_connectome.csv,29,344,0.847,4.683,44,44,44,28,28,28,0.002,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-3313349_ses-2_connectome.csv,29,393,0.968,6.532,48,48,48,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-3808535_ses-1_connectome.csv,29,394,0.97,11.416,49,49,49,28,28,28,0.003,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-3201815_ses-1_connectome.csv,30,390,0.897,5.182,48,48,48,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-3313349_ses-1_connectome.csv,29,380,0.936,5.792,54,54,54,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-3201815_ses-2_connectome.csv,30,385,0.885,6.464,61,61,61,29,29,29,0.003,0.003,0.008,0.003,0.003,0.006
Undirected,N/A,sub-2842950_ses-2_connectome.csv,30,393,0.903,8.809,47,47,47,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-2475376_ses-2_connectome.csv,31,446,0.959,5.555,61,61,61,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-3795193_ses-1_connectome.csv,31,428,0.92,6.465,45,45,45,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0021002_ses-2_connectome.csv,30,387,0.89,6.883,38,38,38,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-4176156_ses-1_connectome.csv,31,423,0.91,6.782,61,61,61,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-3315657_ses-2_connectome.csv,30,394,0.906,8.042,52,52,52,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-4288245_ses-2_connectome.csv,30,419,0.963,14.44,63,63,63,29,29,29,0.003,0.003,0.009,0.003,0.003,0.007
Undirected,N/A,sub-9630905_ses-1_connectome.csv,30,396,0.91,4.336,53,53,53,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-7055197_ses-1_connectome.csv,30,403,0.926,14.16,50,50,50,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-3808535_ses-2_connectome.csv,29,399,0.983,7.483,44,44,44,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-4288245_ses-1_connectome.csv,30,412,0.947,14.318,57,57,57,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-8735778_ses-1_connectome.csv,29,402,0.99,6.608,48,48,48,28,28,28,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-9630905_ses-2_connectome.csv,30,403,0.926,4.496,42,42,42,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-7055197_ses-2_connectome.csv,30,415,0.954,11.719,55,55,55,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-8735778_ses-2_connectome.csv,29,402,0.99,11.533,45,45,45,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-4176156_ses-2_connectome.csv,31,421,0.905,6.766,46,46,46,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
