type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-2_connectome.csv,74,2250,0.833,4.141,179,179,179,73,73,73,0.027,0.028,0.073,0.03,0.028,0.073
Undirected,N/A,sub-0021006_ses-2_connectome.csv,74,1994,0.738,4.042,137,137,137,74,74,74,0.025,0.026,0.067,0.026,0.026,0.066
Undirected,N/A,sub-0021001_ses-1_connectome.csv,74,1923,0.712,4.679,169,169,169,73,73,73,0.025,0.026,0.064,0.039,0.025,0.064
Undirected,N/A,sub-0021006_ses-1_connectome.csv,74,2205,0.816,3.963,153,153,153,73,73,73,0.027,0.028,0.069,0.03,0.029,0.072
Undirected,N/A,sub-0021002_ses-2_connectome.csv,74,2116,0.783,4.25,148,148,148,73,73,73,0.026,0.027,0.069,0.028,0.027,0.07
Undirected,N/A,sub-1793622_ses-2_connectome.csv,74,2432,0.9,5.072,156,156,156,73,73,73,0.033,0.031,0.078,0.029,0.03,0.078
Undirected,N/A,sub-0021024_ses-1_connectome.csv,74,2197,0.813,3.924,158,158,158,73,73,73,0.028,0.028,0.069,0.026,0.027,0.072
Undirected,N/A,sub-0021002_ses-1_connectome.csv,74,2287,0.847,4.024,169,169,169,73,73,73,0.035,0.031,0.072,0.027,0.028,0.079
Undirected,N/A,sub-1961098_ses-1_connectome.csv,74,2187,0.81,3.659,145,145,145,73,73,73,0.026,0.026,0.068,0.027,0.028,0.072
Undirected,N/A,sub-0021018_ses-2_connectome.csv,74,2441,0.904,4.969,158,158,158,73,73,73,0.028,0.028,0.076,0.034,0.03,0.079
Undirected,N/A,sub-2799329_ses-2_connectome.csv,74,2146,0.795,4.109,152,152,152,73,73,73,0.027,0.027,0.069,0.027,0.027,0.07
Undirected,N/A,sub-2799329_ses-1_connectome.csv,74,2210,0.818,4.412,148,148,148,74,74,74,0.026,0.026,0.069,0.027,0.027,0.073
Undirected,N/A,sub-2475376_ses-1_connectome.csv,74,2396,0.887,4.581,150,150,150,73,73,73,0.028,0.028,0.087,0.029,0.028,0.076
Undirected,N/A,sub-1961098_ses-2_connectome.csv,74,2282,0.845,4.02,139,139,139,73,73,73,0.027,0.028,0.072,0.03,0.029,0.073
Undirected,N/A,sub-2842950_ses-1_connectome.csv,74,2266,0.839,4.07,177,177,177,73,73,73,0.027,0.028,0.07,0.028,0.044,0.074
Undirected,N/A,sub-0021024_ses-2_connectome.csv,74,2237,0.828,3.977,158,158,158,73,73,73,0.028,0.028,0.073,0.028,0.028,0.073
Undirected,N/A,sub-1793622_ses-1_connectome.csv,74,2437,0.902,4.473,157,157,157,73,73,73,0.03,0.03,0.075,0.029,0.03,0.079
Undirected,N/A,sub-3315657_ses-2_connectome.csv,74,2182,0.808,4.006,166,166,166,73,73,73,0.028,0.028,0.077,0.029,0.027,0.075
Undirected,N/A,sub-0021018_ses-1_connectome.csv,74,2369,0.877,4.788,163,163,163,73,73,73,0.028,0.029,0.072,0.027,0.028,0.078
Undirected,N/A,sub-3201815_ses-1_connectome.csv,74,2115,0.783,4.059,163,163,163,73,73,73,0.028,0.027,0.067,0.026,0.026,0.071
Undirected,N/A,sub-3808535_ses-2_connectome.csv,74,2166,0.802,4.204,162,162,162,73,73,73,0.028,0.028,0.073,0.026,0.027,0.072
Undirected,N/A,sub-3795193_ses-1_connectome.csv,74,2558,0.947,5.566,144,144,144,73,73,73,0.038,0.031,0.079,0.03,0.032,0.09
Undirected,N/A,sub-3313349_ses-2_connectome.csv,74,2148,0.795,3.411,148,148,148,73,73,73,0.026,0.026,0.067,0.028,0.028,0.07
Undirected,N/A,sub-4176156_ses-1_connectome.csv,74,2389,0.884,4.969,163,163,163,73,73,73,0.029,0.029,0.077,0.03,0.029,0.077
Undirected,N/A,sub-2842950_ses-2_connectome.csv,74,2376,0.88,4.561,170,170,170,73,73,73,0.029,0.029,0.074,0.03,0.03,0.077
Undirected,N/A,sub-2475376_ses-2_connectome.csv,74,2431,0.9,4.683,157,157,157,73,73,73,0.029,0.029,0.077,0.03,0.029,0.079
Undirected,N/A,sub-4288245_ses-1_connectome.csv,74,2366,0.876,4.465,155,155,155,73,73,73,0.027,0.028,0.076,0.028,0.028,0.075
Undirected,N/A,sub-3201815_ses-2_connectome.csv,74,2184,0.809,3.927,177,177,177,73,73,73,0.027,0.028,0.069,0.028,0.028,0.072
Undirected,N/A,sub-7055197_ses-1_connectome.csv,74,2341,0.867,4.685,151,151,151,74,74,74,0.027,0.028,0.073,0.03,0.03,0.075
Undirected,N/A,sub-3313349_ses-1_connectome.csv,74,2085,0.772,3.742,148,148,148,73,73,73,0.026,0.027,0.07,0.028,0.027,0.071
Undirected,N/A,sub-8735778_ses-2_connectome.csv,74,2284,0.846,4.698,161,161,161,73,73,73,0.028,0.028,0.07,0.029,0.029,0.074
Undirected,N/A,sub-9630905_ses-1_connectome.csv,74,2282,0.845,4.341,156,156,156,73,73,73,0.027,0.028,0.073,0.031,0.028,0.074
Undirected,N/A,sub-4176156_ses-2_connectome.csv,74,2435,0.902,4.783,166,166,166,73,73,73,0.029,0.029,0.076,0.031,0.03,0.079
Undirected,N/A,sub-7055197_ses-2_connectome.csv,74,2392,0.886,4.47,144,144,144,73,73,73,0.028,0.029,0.077,0.029,0.029,0.076
Undirected,N/A,sub-8735778_ses-1_connectome.csv,74,2343,0.867,4.402,153,153,153,73,73,73,0.031,0.03,0.074,0.027,0.028,0.079
Undirected,N/A,sub-3808535_ses-1_connectome.csv,74,2298,0.851,4.763,162,162,162,73,73,73,0.028,0.028,0.07,0.029,0.03,0.074
Undirected,N/A,sub-4288245_ses-2_connectome.csv,74,2336,0.865,4.07,158,158,158,73,73,73,0.028,0.028,0.075,0.029,0.029,0.074
Undirected,N/A,sub-9630905_ses-2_connectome.csv,74,2184,0.809,4.147,159,159,159,73,73,73,0.027,0.027,0.073,0.028,0.027,0.07
