type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-1_connectome.csv,48,672,0.596,2.909,82,82,82,47,47,47,0.007,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-0021001_ses-2_connectome.csv,48,666,0.59,3.178,80,80,80,47,47,47,0.007,0.008,0.016,0.007,0.008,0.017
Undirected,N/A,sub-0021018_ses-1_connectome.csv,48,856,0.759,3.377,81,81,81,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-0021018_ses-2_connectome.csv,48,959,0.85,4.309,69,69,69,47,47,47,0.008,0.009,0.021,0.009,0.009,0.022
Undirected,N/A,sub-0021002_ses-1_connectome.csv,48,711,0.63,3.264,83,83,83,47,47,47,0.008,0.008,0.017,0.008,0.008,0.019
Undirected,N/A,sub-0021006_ses-1_connectome.csv,48,756,0.67,2.867,68,68,68,47,47,47,0.007,0.008,0.017,0.008,0.008,0.019
Undirected,N/A,sub-0021006_ses-2_connectome.csv,48,728,0.645,3.249,81,81,81,47,47,47,0.008,0.008,0.018,0.007,0.008,0.018
Undirected,N/A,sub-1961098_ses-1_connectome.csv,48,781,0.692,3.212,80,80,80,47,47,47,0.007,0.008,0.02,0.008,0.008,0.019
Undirected,N/A,sub-1793622_ses-2_connectome.csv,48,832,0.738,3.435,71,71,71,48,48,48,0.008,0.008,0.019,0.008,0.008,0.019
Undirected,N/A,sub-1793622_ses-1_connectome.csv,48,905,0.802,3.279,81,81,81,47,47,47,0.008,0.008,0.02,0.008,0.008,0.021
Undirected,N/A,sub-0021024_ses-2_connectome.csv,48,767,0.68,3.232,80,80,80,47,47,47,0.008,0.008,0.02,0.008,0.008,0.019
Undirected,N/A,sub-2475376_ses-2_connectome.csv,48,810,0.718,3.13,74,74,74,47,47,47,0.007,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0021024_ses-1_connectome.csv,48,773,0.685,3.613,75,75,75,47,47,47,0.011,0.014,0.027,0.013,0.009,0.022
Undirected,N/A,sub-2842950_ses-1_connectome.csv,48,662,0.587,3.355,67,67,67,47,47,47,0.007,0.008,0.016,0.007,0.008,0.017
Undirected,N/A,sub-2842950_ses-2_connectome.csv,48,686,0.608,3.646,80,80,80,47,47,47,0.007,0.008,0.016,0.007,0.007,0.017
Undirected,N/A,sub-2475376_ses-1_connectome.csv,48,847,0.751,3.306,74,74,74,47,47,47,0.008,0.008,0.02,0.008,0.01,0.02
Undirected,N/A,sub-3201815_ses-1_connectome.csv,48,672,0.596,3.137,90,90,90,47,47,47,0.007,0.008,0.016,0.007,0.007,0.016
Undirected,N/A,sub-2799329_ses-2_connectome.csv,48,881,0.781,4.415,83,83,83,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-3201815_ses-2_connectome.csv,48,671,0.595,2.93,79,79,79,47,47,47,0.007,0.008,0.017,0.009,0.008,0.016
