type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021002_ses-1_connectome.csv,66,1619,0.755,3.759,102,102,102,65,65,65,0.017,0.018,0.043,0.017,0.018,0.045
Undirected,N/A,sub-0021002_ses-2_connectome.csv,66,1624,0.757,3.674,97,97,97,65,65,65,0.017,0.018,0.046,0.018,0.019,0.045
Undirected,N/A,sub-0021006_ses-1_connectome.csv,66,1671,0.779,3.294,98,98,98,65,65,65,0.017,0.017,0.044,0.018,0.019,0.048
Undirected,N/A,sub-0021006_ses-2_connectome.csv,66,1597,0.745,3.89,92,92,92,65,65,65,0.016,0.017,0.044,0.018,0.018,0.048
Undirected,N/A,sub-0021001_ses-2_connectome.csv,65,1399,0.673,3.44,82,82,82,64,64,64,0.016,0.016,0.037,0.016,0.017,0.039
Undirected,N/A,sub-0021018_ses-1_connectome.csv,66,1733,0.808,3.978,93,93,93,65,65,65,0.018,0.018,0.06,0.018,0.018,0.047
Undirected,N/A,sub-0021024_ses-2_connectome.csv,66,1703,0.794,3.941,102,102,102,65,65,65,0.017,0.018,0.048,0.018,0.018,0.047
Undirected,N/A,sub-1793622_ses-1_connectome.csv,66,1877,0.875,4.564,91,91,91,65,65,65,0.018,0.019,0.049,0.019,0.021,0.052
Undirected,N/A,sub-2475376_ses-1_connectome.csv,66,1817,0.847,4.571,93,93,93,65,65,65,0.018,0.018,0.047,0.018,0.019,0.052
Undirected,N/A,sub-1961098_ses-1_connectome.csv,66,1712,0.798,4.036,90,90,90,65,65,65,0.017,0.017,0.045,0.017,0.018,0.047
Undirected,N/A,sub-0021018_ses-2_connectome.csv,66,1816,0.847,3.919,89,89,89,65,65,65,0.021,0.02,0.048,0.018,0.019,0.051
Undirected,N/A,sub-1961098_ses-2_connectome.csv,66,1712,0.798,4.149,95,95,95,65,65,65,0.018,0.019,0.049,0.017,0.018,0.048
Undirected,N/A,sub-2475376_ses-2_connectome.csv,66,1791,0.835,4.112,94,94,94,65,65,65,0.018,0.018,0.047,0.02,0.02,0.05
Undirected,N/A,sub-2799329_ses-1_connectome.csv,66,1762,0.821,3.993,93,93,93,65,65,65,0.018,0.019,0.047,0.017,0.019,0.051
Undirected,N/A,sub-2842950_ses-1_connectome.csv,66,1713,0.799,3.874,94,94,94,65,65,65,0.017,0.018,0.045,0.018,0.018,0.048
Undirected,N/A,sub-3313349_ses-1_connectome.csv,66,1397,0.651,3.096,89,89,89,65,65,65,0.016,0.018,0.039,0.015,0.016,0.04
Undirected,N/A,sub-0021024_ses-1_connectome.csv,66,1684,0.785,4.913,102,102,102,65,65,65,0.018,0.018,0.045,0.019,0.032,0.048
Undirected,N/A,sub-3313349_ses-2_connectome.csv,66,1568,0.731,3.677,84,84,84,65,65,65,0.016,0.017,0.042,0.016,0.017,0.047
Undirected,N/A,sub-1793622_ses-2_connectome.csv,66,1856,0.865,4.33,99,99,99,65,65,65,0.019,0.019,0.048,0.019,0.02,0.051
Undirected,N/A,sub-3795193_ses-1_connectome.csv,66,1701,0.793,3.803,82,82,82,65,65,65,0.018,0.019,0.045,0.017,0.018,0.047
Undirected,N/A,sub-2799329_ses-2_connectome.csv,66,1705,0.795,4.14,90,90,90,65,65,65,0.017,0.018,0.048,0.018,0.018,0.047
Undirected,N/A,sub-3315657_ses-2_connectome.csv,66,1431,0.667,3.572,88,88,88,65,65,65,0.016,0.016,0.038,0.029,0.029,0.041
Undirected,N/A,sub-3808535_ses-2_connectome.csv,66,1637,0.763,3.672,85,85,85,65,65,65,0.017,0.017,0.044,0.017,0.018,0.05
Undirected,N/A,sub-3201815_ses-2_connectome.csv,66,1586,0.739,3.775,83,83,83,65,65,65,0.017,0.017,0.043,0.017,0.018,0.045
Undirected,N/A,sub-3201815_ses-1_connectome.csv,66,1554,0.724,3.367,90,90,90,65,65,65,0.018,0.018,0.043,0.017,0.018,0.044
Undirected,N/A,sub-4288245_ses-2_connectome.csv,66,1777,0.828,4.117,103,103,103,65,65,65,0.018,0.019,0.058,0.019,0.019,0.049
Undirected,N/A,sub-7055197_ses-1_connectome.csv,66,1741,0.812,3.869,99,99,99,65,65,65,0.017,0.018,0.047,0.019,0.019,0.049
Undirected,N/A,sub-7055197_ses-2_connectome.csv,66,1802,0.84,4.522,96,96,96,65,65,65,0.018,0.019,0.047,0.018,0.019,0.064
Undirected,N/A,sub-4176156_ses-1_connectome.csv,66,1664,0.776,3.705,98,98,98,65,65,65,0.017,0.017,0.044,0.017,0.018,0.046
Undirected,N/A,sub-2842950_ses-2_connectome.csv,66,1694,0.79,3.758,92,92,92,65,65,65,0.025,0.019,0.046,0.018,0.019,0.047
Undirected,N/A,sub-9630905_ses-2_connectome.csv,66,1455,0.678,3.335,94,94,94,65,65,65,0.016,0.022,0.046,0.017,0.017,0.042
Undirected,N/A,sub-8735778_ses-1_connectome.csv,66,1744,0.813,3.991,98,98,98,65,65,65,0.018,0.018,0.054,0.02,0.019,0.049
Undirected,N/A,sub-4176156_ses-2_connectome.csv,66,1652,0.77,3.982,96,96,96,67,67,67,0.017,0.018,0.044,0.017,0.018,0.05
Undirected,N/A,sub-9630905_ses-1_connectome.csv,66,1560,0.727,3.862,90,90,90,65,65,65,0.017,0.017,0.042,0.018,0.018,0.045
Undirected,N/A,sub-0021001_ses-1_connectome.csv,65,1257,0.604,3.517,83,83,83,64,64,64,0.014,0.017,0.035,0.014,0.015,0.037
Undirected,N/A,sub-3808535_ses-1_connectome.csv,66,1716,0.8,3.878,78,78,78,65,65,65,0.017,0.018,0.045,0.019,0.021,0.049
Undirected,N/A,sub-8735778_ses-2_connectome.csv,66,1627,0.759,3.714,93,93,93,65,65,65,0.017,0.017,0.043,0.017,0.018,0.048
Undirected,N/A,sub-4288245_ses-1_connectome.csv,66,1846,0.861,4.638,98,98,98,65,65,65,0.019,0.019,0.048,0.019,0.019,0.051
