type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021002_ses-1_connectome.csv,399,22332,0.281,2.3,1111,1111,1111,410,410,410,1.802,1.821,3.807,1.754,1.818,3.945
Undirected,N/A,sub-0021018_ses-1_connectome.csv,400,26211,0.328,2.285,1019,1019,1019,403,403,403,2.031,2.014,4.458,2.003,2.043,4.632
Undirected,N/A,sub-0021002_ses-2_connectome.csv,400,20569,0.258,2.303,1079,1079,1079,406,406,406,1.727,1.741,3.577,1.71,1.719,3.655
Undirected,N/A,sub-0021001_ses-2_connectome.csv,400,27031,0.339,2.41,1105,1105,1105,401,401,401,1.928,1.952,4.631,1.887,1.921,4.802
Undirected,N/A,sub-0021024_ses-2_connectome.csv,400,21777,0.273,2.161,983,983,983,413,413,413,1.849,1.871,3.752,1.816,1.847,3.873
Undirected,N/A,sub-0021006_ses-1_connectome.csv,400,22023,0.276,2.305,977,977,977,404,404,404,1.787,1.801,3.777,1.753,1.799,3.906
Undirected,N/A,sub-1961098_ses-1_connectome.csv,400,20628,0.258,2.16,948,948,948,422,422,422,1.725,1.758,3.554,1.7,1.736,3.7
Undirected,N/A,sub-0021001_ses-1_connectome.csv,400,20002,0.251,2.236,1057,1057,1057,406,406,406,1.602,1.632,3.503,1.595,1.602,3.635
Undirected,N/A,sub-1793622_ses-2_connectome.csv,400,26785,0.336,2.36,946,946,946,401,401,401,2.036,2.06,4.616,2.027,2.046,4.732
Undirected,N/A,sub-0021006_ses-2_connectome.csv,400,22488,0.282,2.261,1046,1046,1046,404,404,404,1.761,1.797,3.838,1.734,1.767,3.993
Undirected,N/A,sub-0021024_ses-1_connectome.csv,400,20235,0.254,2.242,1028,1028,1028,410,410,410,1.69,1.732,3.492,2.013,1.702,3.591
Undirected,N/A,sub-0021018_ses-2_connectome.csv,398,30436,0.385,2.24,1033,1033,1033,400,400,400,2.382,2.354,5.185,2.346,2.396,5.378
Undirected,N/A,sub-1961098_ses-2_connectome.csv,399,23366,0.294,2.285,1012,1012,1012,407,407,407,1.882,1.868,4.045,1.816,1.862,4.189
Undirected,N/A,sub-2475376_ses-1_connectome.csv,400,26463,0.332,2.256,1035,1035,1035,405,405,405,2.166,2.158,4.479,2.13,2.168,4.626
Undirected,N/A,sub-2799329_ses-1_connectome.csv,400,23818,0.298,2.363,1044,1044,1044,403,403,403,1.884,1.894,4.103,1.839,1.898,4.244
Undirected,N/A,sub-3201815_ses-2_connectome.csv,399,23152,0.292,2.42,1075,1075,1075,417,417,417,1.785,1.784,3.943,1.725,1.777,4.097
Undirected,N/A,sub-2842950_ses-1_connectome.csv,400,21622,0.271,2.223,1009,1009,1009,403,403,403,1.729,1.762,3.694,1.721,1.752,3.848
Undirected,N/A,sub-3795193_ses-1_connectome.csv,400,30408,0.381,2.404,1046,1046,1046,400,400,400,2.222,2.267,5.136,2.193,2.258,5.364
Undirected,N/A,sub-3313349_ses-2_connectome.csv,398,17844,0.226,2.198,978,978,978,411,411,411,1.513,1.557,3.102,1.488,1.509,3.197
Undirected,N/A,sub-3313349_ses-1_connectome.csv,398,16376,0.207,2.218,1086,1086,1086,426,426,426,1.417,1.426,2.847,1.369,1.414,2.941
Undirected,N/A,sub-3808535_ses-1_connectome.csv,399,24931,0.314,2.333,1064,1064,1064,399,399,399,1.963,1.983,4.221,1.963,1.974,4.393
Undirected,N/A,sub-2842950_ses-2_connectome.csv,398,25265,0.32,2.317,942,942,942,398,398,398,1.942,1.937,4.267,1.932,1.946,4.431
Undirected,N/A,sub-4176156_ses-1_connectome.csv,400,26443,0.331,2.383,1110,1110,1110,400,400,400,2.008,2.019,4.512,2.009,2.032,4.675
Undirected,N/A,sub-4288245_ses-1_connectome.csv,400,22185,0.278,2.191,914,914,914,415,415,415,1.867,1.894,3.806,1.851,1.884,3.935
Undirected,N/A,sub-1793622_ses-1_connectome.csv,400,28704,0.36,2.279,1081,1081,1081,402,402,402,2.207,2.229,4.839,2.203,2.246,5.071
Undirected,N/A,sub-4176156_ses-2_connectome.csv,400,26495,0.332,2.394,1031,1031,1031,400,400,400,1.983,1.988,4.515,1.968,1.995,4.7
Undirected,N/A,sub-3808535_ses-2_connectome.csv,400,23745,0.298,2.392,1032,1032,1032,400,400,400,1.867,1.871,4.039,1.821,1.854,4.171
Undirected,N/A,sub-2799329_ses-2_connectome.csv,399,25193,0.317,2.369,1044,1044,1044,409,409,409,2.062,2.073,4.332,2.02,2.097,4.477
Undirected,N/A,sub-7055197_ses-1_connectome.csv,400,24102,0.302,2.167,986,986,986,406,406,406,1.981,2.0,4.16,1.959,2.015,4.339
Undirected,N/A,sub-7055197_ses-2_connectome.csv,400,22231,0.279,2.233,1054,1054,1054,409,409,409,1.883,1.897,3.844,1.828,1.855,3.943
Undirected,N/A,sub-8735778_ses-1_connectome.csv,400,26143,0.328,2.264,930,930,930,400,400,400,2.067,2.08,4.456,2.036,2.08,4.599
Undirected,N/A,sub-9630905_ses-2_connectome.csv,400,21472,0.269,2.338,1032,1032,1032,411,411,411,1.689,1.661,3.658,1.636,1.678,3.827
Undirected,N/A,sub-9630905_ses-1_connectome.csv,400,23396,0.293,2.398,984,984,984,404,404,404,1.783,1.781,3.98,1.761,1.814,4.126
Undirected,N/A,sub-8735778_ses-2_connectome.csv,400,24396,0.306,2.311,1068,1068,1068,400,400,400,1.921,1.902,4.16,1.883,1.894,4.331
Undirected,N/A,sub-4288245_ses-2_connectome.csv,400,20955,0.263,2.101,993,993,993,423,423,423,1.79,1.811,3.614,1.763,1.811,3.717
Undirected,N/A,sub-3315657_ses-2_connectome.csv,398,18032,0.228,2.359,989,989,989,414,414,414,1.441,1.461,3.122,1.406,1.433,3.228
Undirected,N/A,sub-3201815_ses-1_connectome.csv,400,20615,0.258,2.372,1043,1043,1043,403,403,403,1.618,1.63,3.54,1.59,1.618,3.696
Undirected,N/A,sub-2475376_ses-2_connectome.csv,400,27353,0.343,2.202,1052,1052,1052,408,408,408,2.119,2.125,4.65,2.117,2.121,4.807
