type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021001_ses-1_connectome.csv,867,33908,0.09,1.781,2004,2004,2004,1010,1010,1010,7.979,7.9,14.162,7.474,7.724,14.415
Undirected,N/A,sub-0021006_ses-1_connectome.csv,833,28746,0.083,1.753,1661,1661,1661,951,951,951,6.586,6.756,11.65,6.445,6.648,11.837
Undirected,N/A,sub-0021001_ses-2_connectome.csv,863,51181,0.138,1.789,1985,1985,1985,935,935,935,10.71,10.998,21.931,10.747,10.99,22.383
Undirected,N/A,sub-0021002_ses-2_connectome.csv,811,29731,0.091,1.766,1695,1695,1695,932,932,932,6.698,6.852,11.634,6.597,6.767,11.837
Undirected,N/A,sub-0021002_ses-1_connectome.csv,828,33504,0.098,1.785,1650,1650,1650,926,926,926,7.583,7.731,13.294,7.465,7.633,13.463
Undirected,N/A,sub-0021024_ses-1_connectome.csv,787,25347,0.082,1.779,1714,1714,1714,958,958,958,5.673,5.776,9.634,5.527,5.686,9.719
Undirected,N/A,sub-0021018_ses-1_connectome.csv,816,34415,0.103,1.731,1677,1677,1677,945,945,945,7.569,7.962,13.237,7.457,7.58,13.536
Undirected,N/A,sub-1961098_ses-1_connectome.csv,812,25315,0.077,1.718,1667,1667,1667,955,955,955,5.912,6.058,10.08,5.752,5.936,10.163
Undirected,N/A,sub-0021018_ses-2_connectome.csv,814,42835,0.129,1.711,1662,1662,1662,903,903,903,9.356,9.479,16.695,9.223,9.462,16.916
Undirected,N/A,sub-0021024_ses-2_connectome.csv,831,30538,0.089,1.695,1650,1650,1650,967,967,967,6.98,7.149,12.268,6.899,7.058,12.4
Undirected,N/A,sub-1793622_ses-1_connectome.csv,865,41632,0.111,1.705,1850,1850,1850,944,944,944,9.372,9.586,17.349,9.22,9.544,17.627
Undirected,N/A,sub-0021006_ses-2_connectome.csv,830,30614,0.089,1.781,1688,1688,1688,949,949,949,6.809,6.906,12.192,6.65,6.846,12.433
Undirected,N/A,sub-2475376_ses-1_connectome.csv,813,35766,0.108,1.72,1676,1676,1676,946,946,946,7.961,8.158,13.885,8.215,8.122,13.894
Undirected,N/A,sub-1793622_ses-2_connectome.csv,865,42053,0.113,1.821,1762,1762,1762,975,975,975,9.453,9.719,17.871,9.328,9.673,18.121
Undirected,N/A,sub-2799329_ses-2_connectome.csv,793,32593,0.104,1.795,1683,1683,1683,899,899,899,7.0,7.133,12.35,6.941,7.124,12.45
Undirected,N/A,sub-2842950_ses-1_connectome.csv,813,29155,0.088,1.75,1640,1640,1640,924,924,924,6.54,6.67,11.381,6.403,6.576,11.546
Undirected,N/A,sub-1961098_ses-2_connectome.csv,828,29066,0.085,1.707,1617,1617,1617,978,978,978,6.716,6.806,11.572,6.507,6.722,11.67
Undirected,N/A,sub-3201815_ses-1_connectome.csv,834,30392,0.087,1.812,1721,1721,1721,953,953,953,6.69,6.81,12.067,6.58,6.745,12.228
Undirected,N/A,sub-2842950_ses-2_connectome.csv,822,34923,0.103,1.793,1740,1740,1740,932,932,932,7.774,7.907,13.734,7.684,7.914,13.96
Undirected,N/A,sub-2799329_ses-1_connectome.csv,795,30419,0.096,1.814,1684,1684,1684,916,916,916,6.586,6.703,11.612,6.439,6.649,11.745
Undirected,N/A,sub-3315657_ses-2_connectome.csv,818,25523,0.076,1.851,1668,1668,1668,929,929,929,5.724,5.862,9.968,5.647,5.768,10.19
Undirected,N/A,sub-2475376_ses-2_connectome.csv,826,36129,0.106,1.707,1649,1649,1649,947,947,947,8.072,8.156,14.167,7.959,8.195,14.445
Undirected,N/A,sub-3313349_ses-2_connectome.csv,770,22182,0.075,1.714,1543,1543,1543,946,946,946,4.964,5.055,8.236,4.886,5.051,8.283
Undirected,N/A,sub-3795193_ses-1_connectome.csv,870,47898,0.127,1.8,1794,1794,1794,938,938,938,10.724,10.953,20.35,10.651,10.95,20.889
Undirected,N/A,sub-3313349_ses-1_connectome.csv,744,18852,0.068,1.798,1574,1574,1574,921,921,921,4.166,4.227,6.827,4.087,4.167,6.938
Undirected,N/A,sub-3201815_ses-2_connectome.csv,834,34874,0.1,1.809,1746,1746,1746,927,927,927,7.626,7.808,13.795,7.58,7.739,14.107
Undirected,N/A,sub-4288245_ses-2_connectome.csv,757,23391,0.082,1.685,1573,1573,1573,946,946,946,5.045,5.17,8.537,4.964,5.095,8.668
Undirected,N/A,sub-4176156_ses-1_connectome.csv,833,37421,0.108,1.79,1726,1726,1726,929,929,929,8.064,8.242,14.975,7.971,8.509,15.243
Undirected,N/A,sub-3808535_ses-1_connectome.csv,838,36321,0.104,1.804,1717,1717,1717,924,924,924,8.105,8.258,14.478,7.992,8.185,14.744
Undirected,N/A,sub-4176156_ses-2_connectome.csv,836,38463,0.11,1.821,1788,1788,1788,949,949,949,8.402,8.554,15.311,8.315,8.574,15.559
Undirected,N/A,sub-7055197_ses-2_connectome.csv,786,26289,0.085,1.735,1554,1554,1554,958,958,958,5.86,5.975,9.899,5.732,5.904,9.983
Undirected,N/A,sub-4288245_ses-1_connectome.csv,770,27113,0.092,1.709,1488,1488,1488,921,921,921,5.83,5.895,9.963,5.724,5.832,10.023
Undirected,N/A,sub-8735778_ses-1_connectome.csv,831,36414,0.106,1.738,1654,1654,1654,914,914,914,7.957,8.111,14.531,7.817,8.37,14.675
Undirected,N/A,sub-8735778_ses-2_connectome.csv,825,34430,0.101,1.799,1657,1657,1657,921,921,921,7.527,7.664,13.786,7.386,7.56,13.805
Undirected,N/A,sub-3808535_ses-2_connectome.csv,837,35182,0.101,1.816,1624,1624,1624,933,933,933,7.799,7.987,14.066,7.691,7.926,14.295
Undirected,N/A,sub-9630905_ses-2_connectome.csv,839,33128,0.094,1.758,1721,1721,1721,972,972,972,7.382,7.547,13.295,7.278,7.477,13.338
Undirected,N/A,sub-9630905_ses-1_connectome.csv,843,34227,0.096,1.791,1656,1656,1656,930,930,930,7.682,7.857,13.852,7.538,7.782,14.049
Undirected,N/A,sub-7055197_ses-1_connectome.csv,807,31449,0.097,1.689,1587,1587,1587,933,933,933,7.092,7.187,12.232,6.917,7.105,12.3
