type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0021006_ses-2_connectome.csv,669,57101,0.256,2.253,1508,1508,1508,896,896,896,8.783,9.043,18.216,9.0,9.268,18.639
Undirected,N/A,sub-0021001_ses-1_connectome.csv,674,46342,0.204,2.211,1488,1488,1488,872,872,872,7.14,7.315,14.466,7.486,7.268,14.238
Undirected,N/A,sub-0021002_ses-2_connectome.csv,649,54398,0.259,2.25,1424,1424,1424,861,861,861,8.083,8.292,16.408,8.351,8.542,16.872
Undirected,N/A,sub-0021024_ses-1_connectome.csv,669,59506,0.266,2.233,1517,1517,1517,861,861,861,9.142,9.372,19.029,9.382,9.601,19.754
Undirected,N/A,sub-0021001_ses-2_connectome.csv,684,54168,0.232,2.269,1451,1451,1451,846,846,846,8.441,8.587,17.583,8.488,8.653,17.809
Undirected,N/A,sub-0021018_ses-1_connectome.csv,653,65291,0.307,2.323,1368,1368,1368,855,855,855,9.599,9.842,20.764,9.933,10.245,21.471
Undirected,N/A,sub-0021024_ses-2_connectome.csv,652,60607,0.286,2.264,1481,1481,1481,870,870,870,9.171,9.323,18.952,9.178,9.429,19.353
Undirected,N/A,sub-0021006_ses-1_connectome.csv,671,57476,0.256,2.247,1487,1487,1487,879,879,879,8.976,9.312,18.287,9.091,9.426,18.788
Undirected,N/A,sub-0021018_ses-2_connectome.csv,624,71531,0.368,2.277,1247,1247,1247,733,733,733,9.389,9.743,22.102,9.707,10.073,22.801
Undirected,N/A,sub-1793622_ses-1_connectome.csv,678,80070,0.349,2.308,1284,1284,1284,813,813,813,12.235,12.652,28.393,12.462,13.02,29.419
Undirected,N/A,sub-1961098_ses-2_connectome.csv,641,57446,0.28,2.229,1434,1434,1434,821,821,821,8.613,8.915,17.964,8.622,8.967,18.026
Undirected,N/A,sub-2799329_ses-2_connectome.csv,661,63683,0.292,2.348,1431,1431,1431,822,822,822,9.557,10.425,20.325,9.725,10.109,20.786
Undirected,N/A,sub-1793622_ses-2_connectome.csv,672,76248,0.338,2.326,1420,1420,1420,840,840,840,11.667,12.018,26.735,11.838,12.234,27.504
Undirected,N/A,sub-0021002_ses-1_connectome.csv,646,52340,0.251,2.243,1469,1469,1469,854,854,854,7.68,7.822,15.528,7.832,8.006,16.132
