type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0103645_ses-1_connectome.csv,116,5591,0.838,4.025,276,276,276,115,115,115,0.1,0.097,0.286,0.097,0.095,0.284
Undirected,N/A,sub-0105290_ses-1_connectome.csv,116,4803,0.72,3.487,271,271,271,115,115,115,0.085,0.087,0.236,0.087,0.088,0.243
Undirected,N/A,sub-0106780_ses-1_connectome.csv,116,4063,0.609,3.283,256,256,256,115,115,115,0.082,0.083,0.201,0.082,0.087,0.211
Undirected,N/A,sub-0102157_ses-1_connectome.csv,116,4866,0.73,3.204,286,286,286,115,115,115,0.087,0.087,0.238,0.088,0.088,0.245
Undirected,N/A,sub-0103714_ses-1_connectome.csv,116,4826,0.724,3.326,277,277,277,115,115,115,0.089,0.089,0.232,0.087,0.087,0.254
Undirected,N/A,sub-0108355_ses-1_connectome.csv,116,5104,0.765,3.252,280,280,280,115,115,115,0.093,0.094,0.244,0.096,0.093,0.26
Undirected,N/A,sub-0111282_ses-1_connectome.csv,116,4938,0.74,3.654,286,286,286,115,115,115,0.088,0.09,0.243,0.089,0.09,0.249
Undirected,N/A,sub-0110809_ses-1_connectome.csv,116,4870,0.73,3.153,279,279,279,115,115,115,0.086,0.088,0.25,0.087,0.089,0.245
Undirected,N/A,sub-0113030_ses-1_connectome.csv,116,4216,0.632,3.123,265,265,265,115,115,115,0.085,0.087,0.208,0.086,0.09,0.219
Undirected,N/A,sub-0109819_ses-1_connectome.csv,116,4589,0.688,3.214,276,276,276,115,115,115,0.084,0.086,0.223,0.084,0.086,0.245
Undirected,N/A,sub-0113013_ses-1_connectome.csv,116,4903,0.735,3.374,314,314,314,115,115,115,0.088,0.089,0.235,0.088,0.088,0.249
Undirected,N/A,sub-0114232_ses-1_connectome.csv,116,4297,0.644,3.126,288,288,288,115,115,115,0.084,0.085,0.212,0.081,0.083,0.219
Undirected,N/A,sub-0112249_ses-1_connectome.csv,116,5609,0.841,4.149,262,262,262,115,115,115,0.093,0.095,0.275,0.096,0.097,0.278
Undirected,N/A,sub-0115564_ses-1_connectome.csv,116,4363,0.654,3.04,274,274,274,115,115,115,0.083,0.085,0.218,0.084,0.085,0.226
Undirected,N/A,sub-0116039_ses-1_connectome.csv,116,4451,0.667,3.307,288,288,288,115,115,115,0.087,0.09,0.217,0.086,0.102,0.227
Undirected,N/A,sub-0112828_ses-1_connectome.csv,116,5315,0.797,3.501,265,265,265,115,115,115,0.089,0.091,0.266,0.09,0.091,0.263
Undirected,N/A,sub-0116834_ses-1_connectome.csv,116,5186,0.778,3.512,287,287,287,115,115,115,0.09,0.091,0.245,0.09,0.092,0.265
Undirected,N/A,sub-0116065_ses-1_connectome.csv,116,4956,0.743,3.398,236,236,236,115,115,115,0.086,0.089,0.242,0.089,0.09,0.25
Undirected,N/A,sub-0116415_ses-1_connectome.csv,116,4358,0.653,3.303,272,272,272,115,115,115,0.088,0.088,0.218,0.087,0.088,0.225
Undirected,N/A,sub-0118051_ses-1_connectome.csv,116,4830,0.724,3.589,247,247,247,116,116,116,0.087,0.086,0.234,0.086,0.087,0.24
Undirected,N/A,sub-0115321_ses-1_connectome.csv,116,4559,0.684,3.152,275,275,275,115,115,115,0.085,0.086,0.225,0.088,0.086,0.231
Undirected,N/A,sub-0115824_ses-1_connectome.csv,116,3960,0.594,2.943,252,252,252,115,115,115,0.079,0.082,0.193,0.084,0.081,0.202
Undirected,N/A,sub-0117168_ses-1_connectome.csv,116,4694,0.704,3.169,272,272,272,115,115,115,0.086,0.088,0.226,0.086,0.088,0.236
Undirected,N/A,sub-0119866_ses-1_connectome.csv,116,3349,0.502,3.506,238,238,238,115,115,115,0.075,0.074,0.17,0.076,0.073,0.174
Undirected,N/A,sub-0122816_ses-1_connectome.csv,116,4543,0.681,3.058,314,314,314,122,122,122,0.082,0.083,0.221,0.082,0.082,0.231
Undirected,N/A,sub-0120538_ses-1_connectome.csv,116,4863,0.729,3.624,227,227,227,115,115,115,0.086,0.088,0.233,0.101,0.09,0.242
Undirected,N/A,sub-0122169_ses-1_connectome.csv,116,5524,0.828,3.851,311,311,311,115,115,115,0.091,0.093,0.259,0.092,0.093,0.278
Undirected,N/A,sub-0123429_ses-1_connectome.csv,116,4398,0.659,2.944,288,288,288,115,115,115,0.083,0.086,0.211,0.084,0.085,0.227
Undirected,N/A,sub-0122844_ses-1_connectome.csv,116,3789,0.568,2.903,277,277,277,115,115,115,0.076,0.077,0.19,0.076,0.077,0.195
Undirected,N/A,sub-0125762_ses-1_connectome.csv,116,4053,0.608,3.052,291,291,291,115,115,115,0.08,0.081,0.202,0.08,0.081,0.208
Undirected,N/A,sub-0123173_ses-1_connectome.csv,116,5232,0.784,3.416,268,268,268,115,115,115,0.088,0.09,0.255,0.089,0.091,0.263
