type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0103645_ses-1_connectome.csv,384,34684,0.472,2.63,1045,1045,1045,397,397,397,2.312,2.364,5.526,2.361,2.429,5.814
Undirected,N/A,sub-0103714_ses-1_connectome.csv,379,29236,0.408,2.561,1006,1006,1006,387,387,387,2.142,2.161,4.668,2.138,2.213,4.881
Undirected,N/A,sub-0106780_ses-1_connectome.csv,377,22406,0.316,2.544,1002,1002,1002,400,400,400,1.737,1.753,3.629,1.736,1.766,3.761
Undirected,N/A,sub-0110809_ses-1_connectome.csv,380,29308,0.407,2.538,1025,1025,1025,392,392,392,2.103,2.117,4.655,2.133,2.131,4.874
Undirected,N/A,sub-0109819_ses-1_connectome.csv,382,27203,0.374,2.467,1037,1037,1037,386,386,386,2.077,2.052,4.429,2.016,2.086,4.623
Undirected,N/A,sub-0105290_ses-1_connectome.csv,383,27693,0.379,2.498,1067,1067,1067,396,396,396,2.059,2.09,4.441,2.089,2.099,4.612
Undirected,N/A,sub-0113013_ses-1_connectome.csv,381,24747,0.342,2.434,1109,1109,1109,407,407,407,1.98,1.984,3.995,1.947,1.996,4.158
Undirected,N/A,sub-0112249_ses-1_connectome.csv,382,35883,0.493,2.544,960,960,960,400,400,400,2.347,2.35,5.702,2.347,2.394,5.971
Undirected,N/A,sub-0112828_ses-1_connectome.csv,384,31801,0.432,2.435,1151,1151,1151,392,392,392,2.365,2.379,5.167,2.365,2.412,5.362
Undirected,N/A,sub-0111282_ses-1_connectome.csv,383,30137,0.412,2.526,1085,1085,1085,387,387,387,2.223,2.266,4.849,2.268,2.286,5.055
Undirected,N/A,sub-0102157_ses-1_connectome.csv,380,29547,0.41,2.537,1022,1022,1022,398,398,398,2.145,2.195,4.733,2.192,2.213,4.947
Undirected,N/A,sub-0115321_ses-1_connectome.csv,380,25218,0.35,2.548,1152,1152,1152,395,395,395,1.982,1.997,4.163,1.964,1.997,4.332
Undirected,N/A,sub-0114232_ses-1_connectome.csv,384,25164,0.342,2.499,1109,1109,1109,392,392,392,1.987,1.98,4.126,1.927,1.982,4.273
Undirected,N/A,sub-0108355_ses-1_connectome.csv,384,30711,0.418,2.483,1084,1084,1084,387,387,387,2.232,2.256,4.964,2.212,2.263,5.209
Undirected,N/A,sub-0116065_ses-1_connectome.csv,384,26955,0.367,2.391,1097,1097,1097,387,387,387,2.134,2.119,4.411,2.078,2.124,4.587
Undirected,N/A,sub-0115824_ses-1_connectome.csv,384,25039,0.34,2.47,1143,1143,1143,395,395,395,1.926,1.943,4.081,1.908,1.967,4.252
Undirected,N/A,sub-0116415_ses-1_connectome.csv,382,26603,0.366,2.516,1104,1104,1104,381,381,381,1.857,1.878,4.345,1.849,1.881,4.509
Undirected,N/A,sub-0122816_ses-1_connectome.csv,382,27009,0.371,2.549,1069,1069,1069,406,406,406,2.054,2.076,4.315,2.052,2.06,4.522
Undirected,N/A,sub-0119866_ses-1_connectome.csv,382,22561,0.31,2.575,1053,1053,1053,395,395,395,1.7,1.735,3.66,1.708,1.747,3.822
Undirected,N/A,sub-0116834_ses-1_connectome.csv,382,29132,0.4,2.495,924,924,924,399,399,399,2.181,2.201,4.755,2.156,2.225,4.83
Undirected,N/A,sub-0116039_ses-1_connectome.csv,379,25149,0.351,2.388,1065,1065,1065,390,390,390,1.901,1.918,4.066,1.922,1.955,4.253
Undirected,N/A,sub-0118051_ses-1_connectome.csv,384,25290,0.344,2.394,1095,1095,1095,407,407,407,2.033,2.062,4.106,2.025,2.033,4.319
Undirected,N/A,sub-0122844_ses-1_connectome.csv,382,22192,0.305,2.497,1128,1128,1128,420,420,420,1.84,1.857,3.616,1.835,1.866,3.745
Undirected,N/A,sub-0123429_ses-1_connectome.csv,382,24499,0.337,2.452,1109,1109,1109,399,399,399,1.915,1.939,3.94,1.893,1.915,4.16
Undirected,N/A,sub-0120538_ses-1_connectome.csv,380,28339,0.394,2.597,943,943,943,394,394,394,2.075,2.077,4.531,2.07,2.127,4.724
Undirected,N/A,sub-0123173_ses-1_connectome.csv,381,26568,0.367,2.393,1048,1048,1048,399,399,399,2.082,2.103,4.292,2.072,2.116,4.429
Undirected,N/A,sub-0116842_ses-1_connectome.csv,383,31577,0.432,2.485,1033,1033,1033,390,390,390,2.26,2.275,5.048,2.267,2.305,5.306
Undirected,N/A,sub-0125762_ses-1_connectome.csv,381,21556,0.298,2.391,1119,1119,1119,407,407,407,1.669,1.706,3.924,1.646,1.681,3.693
Undirected,N/A,sub-0115564_ses-1_connectome.csv,382,25027,0.344,2.487,1053,1053,1053,402,402,402,1.978,2.033,4.16,1.992,2.052,4.316
Undirected,N/A,sub-0126919_ses-1_connectome.csv,380,28429,0.395,2.532,1044,1044,1044,388,388,388,2.176,2.149,4.663,2.127,2.171,4.866
Undirected,N/A,sub-0127800_ses-1_connectome.csv,384,21197,0.288,2.477,1089,1089,1089,395,395,395,1.664,1.673,3.499,1.619,1.664,3.619
Undirected,N/A,sub-0132717_ses-1_connectome.csv,370,19600,0.287,2.377,944,944,944,422,422,422,1.545,1.593,3.129,1.531,1.575,3.224
Undirected,N/A,sub-0132995_ses-1_connectome.csv,382,21189,0.291,2.484,1074,1074,1074,398,398,398,1.68,1.703,3.463,1.683,1.693,3.62
Undirected,N/A,sub-0131832_ses-1_connectome.csv,382,21403,0.294,2.51,1017,1017,1017,407,407,407,1.673,1.702,3.512,1.684,1.699,3.677
Undirected,N/A,sub-0132850_ses-1_connectome.csv,384,35341,0.481,2.551,1081,1081,1081,389,389,389,2.319,2.357,5.696,2.335,2.389,5.971
Undirected,N/A,sub-0113030_ses-1_connectome.csv,376,20321,0.288,2.426,1045,1045,1045,381,381,381,1.641,1.674,3.315,1.614,1.65,3.446
Undirected,N/A,sub-0117168_ses-1_connectome.csv,382,25113,0.345,2.425,996,996,996,409,409,409,1.977,2.017,4.068,1.985,2.009,4.246
Undirected,N/A,sub-0136303_ses-1_connectome.csv,381,26869,0.371,2.476,1138,1138,1138,395,395,395,2.012,2.038,4.303,2.053,2.06,4.487
Undirected,N/A,sub-0133436_ses-1_connectome.csv,381,21938,0.303,2.552,994,994,994,390,390,390,1.769,1.782,3.656,1.737,1.75,3.744
Undirected,N/A,sub-0137496_ses-1_connectome.csv,382,28505,0.392,2.342,1112,1112,1112,394,394,394,2.16,2.171,4.6,2.168,2.197,4.802
Undirected,N/A,sub-0137714_ses-1_connectome.csv,380,19482,0.271,2.517,1060,1060,1060,395,395,395,1.441,1.46,3.192,1.416,1.453,3.284
Undirected,N/A,sub-0135671_ses-1_connectome.csv,375,23328,0.333,2.409,1007,1007,1007,395,395,395,1.793,1.806,3.707,1.755,1.791,3.862
Undirected,N/A,sub-0137073_ses-1_connectome.csv,381,25142,0.347,2.393,1023,1023,1023,396,396,396,1.947,1.967,4.078,1.954,2.016,4.233
Undirected,N/A,sub-0139480_ses-1_connectome.csv,378,28304,0.397,2.441,1015,1015,1015,401,401,401,2.13,2.171,4.537,2.137,2.187,4.695
Undirected,N/A,sub-0133894_ses-1_connectome.csv,378,20151,0.283,2.42,1052,1052,1052,403,403,403,1.639,1.682,3.345,1.622,1.665,3.419
Undirected,N/A,sub-0142673_ses-1_connectome.csv,383,26688,0.365,2.502,1055,1055,1055,406,406,406,2.488,2.099,4.379,2.033,2.122,4.509
Undirected,N/A,sub-0122169_ses-1_connectome.csv,384,31980,0.435,2.56,1082,1082,1082,389,389,389,2.328,2.354,5.19,2.359,2.38,5.433
Undirected,N/A,sub-0144667_ses-1_connectome.csv,379,22561,0.315,2.474,969,969,969,398,398,398,1.793,1.792,3.632,1.771,1.822,3.771
Undirected,N/A,sub-0144314_ses-1_connectome.csv,381,21122,0.292,2.429,1097,1097,1097,392,392,392,1.64,1.667,3.499,1.619,1.652,3.596
Undirected,N/A,sub-0146865_ses-1_connectome.csv,379,20911,0.292,2.467,1022,1022,1022,400,400,400,1.653,1.687,3.408,1.651,1.67,3.523
Undirected,N/A,sub-0144495_ses-1_connectome.csv,384,27182,0.37,2.398,1076,1076,1076,395,395,395,1.94,1.971,4.446,1.944,1.988,4.615
Undirected,N/A,sub-0139212_ses-1_connectome.csv,378,23523,0.33,2.399,1007,1007,1007,405,405,405,1.875,1.873,3.803,1.822,1.872,3.913
Undirected,N/A,sub-0149794_ses-1_connectome.csv,380,23263,0.323,2.376,1042,1042,1042,405,405,405,1.818,1.861,3.806,1.801,1.837,3.924
Undirected,N/A,sub-0144344_ses-1_connectome.csv,380,29285,0.407,2.533,1015,1015,1015,386,386,386,2.164,2.141,4.664,2.138,2.179,4.881
Undirected,N/A,sub-0147122_ses-1_connectome.csv,382,22109,0.304,2.458,1034,1034,1034,397,397,397,1.755,1.815,3.645,1.762,1.799,3.803
Undirected,N/A,sub-0152189_ses-1_connectome.csv,380,19380,0.269,2.462,959,959,959,406,406,406,1.58,1.624,3.187,1.577,1.61,3.31
