type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0106780_ses-1_connectome.csv,41,777,0.948,6.152,63,63,63,40,40,40,0.006,0.007,0.015,0.006,0.006,0.016
Undirected,N/A,sub-0108355_ses-1_connectome.csv,41,808,0.985,11.561,56,56,56,40,40,40,0.006,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-0102157_ses-1_connectome.csv,41,800,0.976,7.781,52,52,52,40,40,40,0.007,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0109819_ses-1_connectome.csv,41,805,0.982,6.808,58,58,58,40,40,40,0.006,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0110809_ses-1_connectome.csv,41,800,0.976,8.469,51,51,51,40,40,40,0.006,0.007,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0112249_ses-1_connectome.csv,41,812,0.99,16.422,54,54,54,40,40,40,0.006,0.007,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0111282_ses-1_connectome.csv,41,812,0.99,9.446,61,61,61,40,40,40,0.006,0.006,0.015,0.007,0.007,0.016
Undirected,N/A,sub-0113013_ses-1_connectome.csv,41,816,0.995,11.619,67,67,67,40,40,40,0.007,0.007,0.016,0.006,0.007,0.016
Undirected,N/A,sub-0105290_ses-1_connectome.csv,41,791,0.965,12.538,62,62,62,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-0114232_ses-1_connectome.csv,41,803,0.979,8.905,60,60,60,40,40,40,0.006,0.007,0.015,0.006,0.006,0.016
Undirected,N/A,sub-0112828_ses-1_connectome.csv,41,803,0.979,8.905,58,58,58,40,40,40,0.007,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-0113030_ses-1_connectome.csv,41,754,0.92,7.019,64,64,64,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
Undirected,N/A,sub-0115564_ses-1_connectome.csv,41,794,0.968,6.221,57,57,57,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0116842_ses-1_connectome.csv,41,761,0.928,6.249,56,56,56,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0116415_ses-1_connectome.csv,41,816,0.995,9.469,61,61,61,40,40,40,0.007,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-0103645_ses-1_connectome.csv,41,812,0.99,20.125,54,54,54,40,40,40,0.006,0.006,0.015,0.006,0.007,0.015
Undirected,N/A,sub-0117168_ses-1_connectome.csv,41,783,0.955,6.713,72,72,72,40,40,40,0.006,0.006,0.015,0.006,0.007,0.016
Undirected,N/A,sub-0116065_ses-1_connectome.csv,41,792,0.966,7.455,59,59,59,40,40,40,0.006,0.006,0.015,0.006,0.007,0.017
Undirected,N/A,sub-0116039_ses-1_connectome.csv,41,796,0.971,7.216,62,62,62,40,40,40,0.007,0.007,0.015,0.006,0.007,0.015
Undirected,N/A,sub-0122169_ses-1_connectome.csv,41,806,0.983,9.987,66,66,66,40,40,40,0.006,0.006,0.015,0.006,0.007,0.016
Undirected,N/A,sub-0116834_ses-1_connectome.csv,41,797,0.972,7.766,46,46,46,40,40,40,0.006,0.007,0.015,0.006,0.007,0.015
Undirected,N/A,sub-0122816_ses-1_connectome.csv,41,803,0.979,11.525,60,60,60,40,40,40,0.006,0.007,0.014,0.006,0.006,0.015
Undirected,N/A,sub-0115824_ses-1_connectome.csv,41,787,0.96,8.399,62,62,62,40,40,40,0.006,0.006,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0118051_ses-1_connectome.csv,41,805,0.982,6.432,56,56,56,40,40,40,0.007,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-0103714_ses-1_connectome.csv,41,799,0.974,8.098,51,51,51,40,40,40,0.006,0.007,0.015,0.006,0.006,0.015
Undirected,N/A,sub-0122844_ses-1_connectome.csv,41,791,0.965,5.037,73,73,73,40,40,40,0.006,0.006,0.014,0.006,0.006,0.015
