type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0103714_ses-1_connectome.csv,325,11230,0.213,2.117,643,643,643,334,334,334,0.814,0.857,1.607,0.809,0.84,1.645
Undirected,N/A,sub-0109819_ses-1_connectome.csv,331,12409,0.227,2.149,616,616,616,334,334,334,0.858,0.908,1.819,0.85,0.88,1.851
Undirected,N/A,sub-0111282_ses-1_connectome.csv,333,12645,0.229,2.153,626,626,626,339,339,339,0.911,0.953,1.84,0.909,0.934,1.911
Undirected,N/A,sub-0110809_ses-1_connectome.csv,326,11134,0.21,2.148,648,648,648,340,340,340,0.805,0.853,1.605,0.803,0.834,1.649
Undirected,N/A,sub-0102157_ses-1_connectome.csv,326,11193,0.211,2.165,641,641,641,336,336,336,0.806,0.847,1.606,0.808,0.829,1.644
Undirected,N/A,sub-0108355_ses-1_connectome.csv,330,11949,0.22,2.069,638,638,638,345,345,345,0.843,0.892,1.731,0.851,0.868,1.787
Undirected,N/A,sub-0105290_ses-1_connectome.csv,331,10945,0.2,1.985,653,653,653,344,344,344,0.81,0.845,1.591,0.813,0.823,1.663
Undirected,N/A,sub-0114232_ses-1_connectome.csv,333,11375,0.206,2.102,693,693,693,339,339,339,0.833,0.871,1.655,0.817,0.849,1.714
Undirected,N/A,sub-0112249_ses-1_connectome.csv,328,14210,0.265,2.094,642,642,642,346,346,346,1.028,1.099,2.026,1.03,1.082,2.113
Undirected,N/A,sub-0115564_ses-1_connectome.csv,326,10179,0.192,2.156,659,659,659,345,345,345,0.737,0.781,1.464,0.734,0.761,1.55
Undirected,N/A,sub-0115321_ses-1_connectome.csv,325,10332,0.196,2.154,606,606,606,331,331,331,0.714,0.753,1.485,0.715,0.738,1.515
Undirected,N/A,sub-0112828_ses-1_connectome.csv,330,12255,0.226,2.017,660,660,660,338,338,338,0.901,0.958,1.77,0.908,0.936,1.831
Undirected,N/A,sub-0115824_ses-1_connectome.csv,330,10548,0.194,2.087,687,687,687,337,337,337,0.757,0.8,1.533,0.739,0.781,1.575
Undirected,N/A,sub-0116065_ses-1_connectome.csv,332,9851,0.179,2.008,674,674,674,353,353,353,0.778,0.815,1.478,0.78,0.793,1.521
Undirected,N/A,sub-0116039_ses-1_connectome.csv,329,11320,0.21,2.157,680,680,680,334,334,334,0.79,0.835,1.648,0.786,0.826,1.87
Undirected,N/A,sub-0116415_ses-1_connectome.csv,332,14228,0.259,2.209,665,665,665,334,334,334,0.884,0.935,2.022,0.87,0.905,2.13
Undirected,N/A,sub-0103645_ses-1_connectome.csv,333,15323,0.277,2.071,667,667,667,340,340,340,1.075,1.145,2.224,1.093,1.125,2.29
Undirected,N/A,sub-0116834_ses-1_connectome.csv,328,12014,0.224,2.114,614,614,614,348,348,348,0.904,0.952,1.739,0.909,0.944,1.803
Undirected,N/A,sub-0106780_ses-1_connectome.csv,317,8591,0.172,2.137,620,620,620,325,325,325,0.627,0.667,1.24,0.627,0.647,1.254
Undirected,N/A,sub-0119866_ses-1_connectome.csv,327,8929,0.168,2.243,631,631,631,340,340,340,0.664,0.685,1.31,0.661,0.669,1.346
Undirected,N/A,sub-0122169_ses-1_connectome.csv,332,12714,0.231,2.12,644,644,644,343,343,343,0.932,0.969,1.824,0.932,0.969,1.915
Undirected,N/A,sub-0113030_ses-1_connectome.csv,327,9837,0.185,2.175,715,715,715,339,339,339,0.712,0.744,1.461,0.692,0.72,1.495
Undirected,N/A,sub-0120538_ses-1_connectome.csv,329,11387,0.211,2.071,626,626,626,338,338,338,0.84,0.885,1.646,0.851,0.874,1.696
Undirected,N/A,sub-0116842_ses-1_connectome.csv,332,12809,0.233,2.15,678,678,678,340,340,340,0.94,0.98,1.85,0.927,0.978,1.921
Undirected,N/A,sub-0125762_ses-1_connectome.csv,330,10155,0.187,2.066,651,651,651,358,358,358,0.744,0.781,1.506,0.742,0.756,1.549
Undirected,N/A,sub-0122844_ses-1_connectome.csv,323,8392,0.161,1.999,623,623,623,333,333,333,0.674,0.693,1.217,0.676,0.682,1.265
Undirected,N/A,sub-0122816_ses-1_connectome.csv,325,12031,0.229,2.167,613,613,613,350,350,350,0.877,0.905,1.702,0.861,0.896,1.752
Undirected,N/A,sub-0131832_ses-1_connectome.csv,324,8742,0.167,2.162,613,613,613,335,335,335,0.641,0.658,1.251,0.641,0.647,1.305
Undirected,N/A,sub-0127800_ses-1_connectome.csv,329,8733,0.162,2.139,634,634,634,340,340,340,0.659,0.674,1.281,0.641,0.65,1.342
Undirected,N/A,sub-0126919_ses-1_connectome.csv,326,10172,0.192,1.99,583,583,583,337,337,337,0.758,0.79,1.463,0.758,0.772,1.539
Undirected,N/A,sub-0123173_ses-1_connectome.csv,328,11143,0.208,2.02,677,677,677,341,341,341,0.849,0.876,1.616,0.826,0.858,1.667
Undirected,N/A,sub-0123429_ses-1_connectome.csv,323,9100,0.175,1.938,671,671,671,356,356,356,0.694,0.741,1.297,0.706,0.72,1.349
Undirected,N/A,sub-0132995_ses-1_connectome.csv,328,9060,0.169,2.02,663,663,663,348,348,348,0.691,0.723,1.342,0.685,0.695,1.381
Undirected,N/A,sub-0132850_ses-1_connectome.csv,332,16394,0.298,2.078,669,669,669,336,336,336,1.145,1.196,2.334,1.15,1.191,2.408
Undirected,N/A,sub-0118051_ses-1_connectome.csv,327,10653,0.2,2.103,690,690,690,339,339,339,0.777,0.818,1.553,0.762,0.785,1.619
Undirected,N/A,sub-0117168_ses-1_connectome.csv,330,11124,0.205,2.0,619,619,619,339,339,339,0.851,0.887,1.904,0.846,0.881,1.686
Undirected,N/A,sub-0133436_ses-1_connectome.csv,327,9453,0.177,2.182,674,674,674,342,342,342,0.701,0.736,1.406,0.691,0.715,1.45
Undirected,N/A,sub-0132717_ses-1_connectome.csv,321,7972,0.155,2.023,625,625,625,352,352,352,0.634,0.661,1.179,0.627,0.647,1.208
Undirected,N/A,sub-0135671_ses-1_connectome.csv,327,9839,0.185,2.028,626,626,626,343,343,343,0.78,0.809,1.465,0.755,0.785,1.507
Undirected,N/A,sub-0133894_ses-1_connectome.csv,327,9997,0.188,2.106,653,653,653,343,343,343,0.736,0.774,1.489,0.712,0.727,1.512
Undirected,N/A,sub-0139212_ses-1_connectome.csv,328,8934,0.167,1.981,610,610,610,345,345,345,0.689,0.735,1.331,0.703,0.707,1.353
Undirected,N/A,sub-0139480_ses-1_connectome.csv,327,12109,0.227,2.077,625,625,625,352,352,352,0.903,0.944,1.717,0.903,0.93,1.792
Undirected,N/A,sub-0141473_ses-1_connectome.csv,330,10572,0.195,2.097,688,688,688,340,340,340,0.777,0.816,1.584,0.77,0.797,1.611
Undirected,N/A,sub-0137714_ses-1_connectome.csv,329,9777,0.181,2.32,675,675,675,341,341,341,0.651,0.706,1.431,0.655,0.674,1.47
Undirected,N/A,sub-0142673_ses-1_connectome.csv,327,10236,0.192,2.045,631,631,631,344,344,344,0.762,0.808,1.507,0.752,0.779,1.55
Undirected,N/A,sub-0144344_ses-1_connectome.csv,325,11130,0.211,2.152,644,644,644,334,334,334,0.796,0.836,1.594,0.805,0.818,1.661
Undirected,N/A,sub-0146714_ses-1_connectome.csv,326,9413,0.178,2.236,656,656,656,360,360,360,0.697,0.741,1.379,0.707,0.707,1.416
Undirected,N/A,sub-0137496_ses-1_connectome.csv,332,11907,0.217,1.883,649,649,649,350,350,350,0.894,0.947,1.724,0.894,0.928,1.791
Undirected,N/A,sub-0146865_ses-1_connectome.csv,328,9060,0.169,2.193,596,596,596,333,333,333,0.675,0.709,1.335,0.67,0.682,1.378
Undirected,N/A,sub-0144314_ses-1_connectome.csv,326,8639,0.163,2.07,635,635,635,335,335,335,0.635,0.662,1.256,0.641,0.647,1.309
Undirected,N/A,sub-0113013_ses-1_connectome.csv,330,10763,0.198,2.049,660,660,660,339,339,339,0.836,0.861,1.579,0.817,0.848,1.623
Undirected,N/A,sub-0137073_ses-1_connectome.csv,329,9296,0.172,2.06,573,573,573,351,351,351,0.72,0.761,1.404,0.716,0.735,1.426
