type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0103714_ses-1_connectome.csv,200,10123,0.509,2.839,420,420,420,200,200,200,0.347,0.368,0.848,0.353,0.364,0.86
Undirected,N/A,sub-0106780_ses-1_connectome.csv,200,8684,0.436,2.945,516,516,516,201,201,201,0.314,0.326,0.73,0.31,0.319,0.757
Undirected,N/A,sub-0108355_ses-1_connectome.csv,200,11385,0.572,2.896,466,466,466,199,199,199,0.372,0.367,0.951,0.366,0.37,0.972
Undirected,N/A,sub-0110809_ses-1_connectome.csv,200,10179,0.512,2.764,417,417,417,199,199,199,0.327,0.335,0.835,0.335,0.349,0.863
Undirected,N/A,sub-0105290_ses-1_connectome.csv,200,9702,0.488,2.825,416,416,416,199,199,199,0.329,0.333,0.802,0.326,0.334,0.822
Undirected,N/A,sub-0113013_ses-1_connectome.csv,200,9007,0.453,2.716,446,446,446,199,199,199,0.326,0.336,0.765,0.329,0.346,0.769
Undirected,N/A,sub-0103645_ses-1_connectome.csv,200,12595,0.633,3.007,450,450,450,200,200,200,0.379,0.37,1.016,0.379,0.382,1.085
Undirected,N/A,sub-0113030_ses-1_connectome.csv,200,8563,0.43,2.715,455,455,455,199,199,199,0.321,0.321,0.725,0.313,0.32,0.753
Undirected,N/A,sub-0112249_ses-1_connectome.csv,200,11814,0.594,2.889,391,391,391,200,200,200,0.333,0.34,0.978,0.353,0.349,1.018
Undirected,N/A,sub-0111282_ses-1_connectome.csv,200,10378,0.522,2.809,487,487,487,200,200,200,0.358,0.358,0.869,0.349,0.356,0.896
Undirected,N/A,sub-0112828_ses-1_connectome.csv,200,11332,0.569,2.764,497,497,497,199,199,199,0.371,0.37,0.934,0.362,0.368,0.96
