type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0105290_ses-1_connectome.csv,83,2582,0.759,3.686,165,165,165,82,82,82,0.035,0.035,0.089,0.034,0.037,0.095
Undirected,N/A,sub-0103714_ses-1_connectome.csv,82,2507,0.755,3.83,163,163,163,83,83,83,0.032,0.033,0.088,0.032,0.033,0.091
Undirected,N/A,sub-0106780_ses-1_connectome.csv,82,2048,0.617,3.109,151,151,151,81,81,81,0.031,0.033,0.073,0.03,0.031,0.078
Undirected,N/A,sub-0111282_ses-1_connectome.csv,83,2511,0.738,3.409,189,189,189,83,83,83,0.035,0.035,0.089,0.036,0.036,0.091
Undirected,N/A,sub-0112249_ses-1_connectome.csv,83,2788,0.819,4.136,170,170,170,82,82,82,0.035,0.039,0.096,0.035,0.036,0.103
Undirected,N/A,sub-0103645_ses-1_connectome.csv,83,2781,0.817,3.801,167,167,167,82,82,82,0.036,0.036,0.102,0.036,0.036,0.101
Undirected,N/A,sub-0112828_ses-1_connectome.csv,83,2611,0.767,3.444,211,211,211,82,82,82,0.035,0.037,0.091,0.033,0.035,0.1
Undirected,N/A,sub-0109819_ses-1_connectome.csv,83,2259,0.664,3.319,154,154,154,82,82,82,0.032,0.033,0.079,0.031,0.033,0.088
Undirected,N/A,sub-0114232_ses-1_connectome.csv,83,2332,0.685,3.348,172,172,172,82,82,82,0.032,0.042,0.087,0.034,0.034,0.086
Undirected,N/A,sub-0113030_ses-1_connectome.csv,81,1883,0.581,3.095,161,161,161,80,80,80,0.03,0.031,0.071,0.03,0.03,0.07
Undirected,N/A,sub-0115321_ses-1_connectome.csv,82,2319,0.698,3.416,164,164,164,81,81,81,0.032,0.034,0.083,0.032,0.033,0.086
Undirected,N/A,sub-0113013_ses-1_connectome.csv,83,2318,0.681,3.446,184,184,184,82,82,82,0.038,0.035,0.083,0.033,0.035,0.087
Undirected,N/A,sub-0116415_ses-1_connectome.csv,83,2168,0.637,3.531,181,181,181,82,82,82,0.034,0.037,0.081,0.037,0.033,0.08
Undirected,N/A,sub-0110809_ses-1_connectome.csv,82,2500,0.753,3.863,166,166,166,81,81,81,0.032,0.034,0.103,0.032,0.033,0.089
Undirected,N/A,sub-0108355_ses-1_connectome.csv,83,2551,0.75,3.419,167,167,167,82,82,82,0.036,0.036,0.089,0.034,0.037,0.095
Undirected,N/A,sub-0115564_ses-1_connectome.csv,83,2244,0.659,3.336,164,164,164,82,82,82,0.032,0.034,0.099,0.032,0.032,0.083
Undirected,N/A,sub-0115824_ses-1_connectome.csv,83,2137,0.628,3.297,166,166,166,82,82,82,0.032,0.033,0.074,0.031,0.032,0.097
Undirected,N/A,sub-0116834_ses-1_connectome.csv,83,2583,0.759,3.222,152,152,152,83,83,83,0.033,0.034,0.09,0.035,0.036,0.094
Undirected,N/A,sub-0102157_ses-1_connectome.csv,82,2499,0.752,4.015,166,166,166,84,84,84,0.032,0.036,0.089,0.033,0.033,0.096
Undirected,N/A,sub-0116842_ses-1_connectome.csv,83,2618,0.769,3.783,159,159,159,82,82,82,0.034,0.034,0.089,0.033,0.034,0.1
Undirected,N/A,sub-0120538_ses-1_connectome.csv,83,2617,0.769,3.83,175,175,175,82,82,82,0.035,0.036,0.108,0.037,0.036,0.094
Undirected,N/A,sub-0116065_ses-1_connectome.csv,83,2316,0.681,3.414,176,176,176,83,83,83,0.033,0.034,0.083,0.032,0.033,0.088
Undirected,N/A,sub-0119866_ses-1_connectome.csv,83,2087,0.613,3.436,168,168,168,82,82,82,0.031,0.032,0.076,0.03,0.031,0.093
Undirected,N/A,sub-0125762_ses-1_connectome.csv,83,2129,0.626,3.645,178,178,178,82,82,82,0.032,0.032,0.079,0.033,0.032,0.079
Undirected,N/A,sub-0116039_ses-1_connectome.csv,83,2221,0.653,3.17,175,175,175,83,83,83,0.032,0.033,0.081,0.032,0.033,0.083
Undirected,N/A,sub-0123429_ses-1_connectome.csv,83,2248,0.661,3.32,166,166,166,84,84,84,0.033,0.033,0.094,0.032,0.035,0.086
Undirected,N/A,sub-0118051_ses-1_connectome.csv,83,2396,0.704,3.369,199,199,199,82,82,82,0.033,0.034,0.087,0.035,0.035,0.108
Undirected,N/A,sub-0122816_ses-1_connectome.csv,83,2477,0.728,3.572,211,211,211,82,82,82,0.036,0.038,0.09,0.035,0.036,0.095
Undirected,N/A,sub-0126919_ses-1_connectome.csv,83,2414,0.709,3.364,189,189,189,82,82,82,0.035,0.037,0.084,0.033,0.034,0.089
Undirected,N/A,sub-0131832_ses-1_connectome.csv,82,2000,0.602,3.292,168,168,168,83,83,83,0.031,0.039,0.075,0.03,0.032,0.078
Undirected,N/A,sub-0132717_ses-1_connectome.csv,82,2163,0.651,3.159,157,157,157,81,81,81,0.031,0.032,0.075,0.033,0.033,0.081
Undirected,N/A,sub-0122844_ses-1_connectome.csv,83,2126,0.625,3.392,181,181,181,82,82,82,0.031,0.032,0.079,0.031,0.032,0.08
Undirected,N/A,sub-0123173_ses-1_connectome.csv,83,2400,0.705,3.353,172,172,172,84,84,84,0.034,0.035,0.087,0.046,0.038,0.09
Undirected,N/A,sub-0133894_ses-1_connectome.csv,83,2088,0.614,3.023,159,159,159,82,82,82,0.033,0.034,0.079,0.033,0.033,0.078
Undirected,N/A,sub-0132995_ses-1_connectome.csv,83,2088,0.614,3.327,178,178,178,83,83,83,0.031,0.032,0.079,0.044,0.032,0.077
Undirected,N/A,sub-0117168_ses-1_connectome.csv,83,2442,0.718,3.312,170,170,170,82,82,82,0.035,0.036,0.085,0.033,0.035,0.093
Undirected,N/A,sub-0133436_ses-1_connectome.csv,83,2000,0.588,3.292,175,175,175,86,86,86,0.032,0.034,0.072,0.032,0.033,0.075
Undirected,N/A,sub-0139212_ses-1_connectome.csv,83,2247,0.66,3.399,173,173,173,82,82,82,0.032,0.032,0.084,0.033,0.033,0.084
Undirected,N/A,sub-0137073_ses-1_connectome.csv,83,2359,0.693,3.134,171,171,171,83,83,83,0.034,0.035,0.085,0.033,0.035,0.093
Undirected,N/A,sub-0137714_ses-1_connectome.csv,83,1793,0.527,3.1,173,173,173,85,85,85,0.029,0.03,0.066,0.029,0.031,0.07
Undirected,N/A,sub-0136303_ses-1_connectome.csv,83,2293,0.674,3.133,185,185,185,82,82,82,0.032,0.033,0.083,0.032,0.033,0.086
Undirected,N/A,sub-0127800_ses-1_connectome.csv,82,1958,0.59,3.077,181,181,181,81,81,81,0.031,0.033,0.087,0.031,0.032,0.074
Undirected,N/A,sub-0135671_ses-1_connectome.csv,83,2307,0.678,3.255,175,175,175,82,82,82,0.033,0.033,0.082,0.032,0.033,0.087
Undirected,N/A,sub-0144344_ses-1_connectome.csv,82,2519,0.759,3.627,164,164,164,82,82,82,0.032,0.033,0.087,0.035,0.036,0.091
