type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0103645_ses-1_connectome.csv,100,2938,0.594,3.15,144,144,144,99,99,99,0.048,0.048,0.126,0.049,0.049,0.127
Undirected,N/A,sub-0108355_ses-1_connectome.csv,96,2554,0.56,3.273,139,139,139,99,99,99,0.043,0.044,0.105,0.043,0.045,0.113
Undirected,N/A,sub-0103714_ses-1_connectome.csv,94,2297,0.526,3.692,149,149,149,97,97,97,0.04,0.04,0.094,0.037,0.042,0.105
Undirected,N/A,sub-0112828_ses-1_connectome.csv,95,2683,0.601,3.092,141,141,141,102,102,102,0.044,0.043,0.113,0.042,0.043,0.111
Undirected,N/A,sub-0110809_ses-1_connectome.csv,94,2327,0.532,3.562,150,150,150,99,99,99,0.039,0.042,0.1,0.039,0.04,0.102
Undirected,N/A,sub-0114232_ses-1_connectome.csv,97,2218,0.476,3.125,162,162,162,108,108,108,0.041,0.042,0.109,0.043,0.042,0.095
Undirected,N/A,sub-0102157_ses-1_connectome.csv,94,2340,0.535,3.454,155,155,155,101,101,101,0.04,0.045,0.096,0.04,0.041,0.101
Undirected,N/A,sub-0113013_ses-1_connectome.csv,92,2147,0.513,3.5,141,141,141,98,98,98,0.037,0.037,0.086,0.038,0.038,0.087
Undirected,N/A,sub-0109819_ses-1_connectome.csv,95,2354,0.527,3.404,146,146,146,94,94,94,0.041,0.046,0.1,0.04,0.043,0.103
Undirected,N/A,sub-0115564_ses-1_connectome.csv,94,2096,0.48,3.079,163,163,163,101,101,101,0.038,0.038,0.086,0.039,0.04,0.087
Undirected,N/A,sub-0111282_ses-1_connectome.csv,94,2470,0.565,3.425,143,143,143,101,101,101,0.04,0.044,0.103,0.04,0.057,0.11
Undirected,N/A,sub-0116065_ses-1_connectome.csv,92,2380,0.569,3.284,135,135,135,94,94,94,0.037,0.038,0.095,0.038,0.038,0.095
Undirected,N/A,sub-0106780_ses-1_connectome.csv,96,2178,0.478,3.613,148,148,148,105,105,105,0.041,0.043,0.093,0.039,0.04,0.111
Undirected,N/A,sub-0115321_ses-1_connectome.csv,94,2217,0.507,3.133,140,140,140,95,95,95,0.038,0.039,0.092,0.04,0.04,0.093
Undirected,N/A,sub-0115824_ses-1_connectome.csv,98,2284,0.481,3.159,156,156,156,105,105,105,0.043,0.045,0.099,0.043,0.044,0.103
Undirected,N/A,sub-0120538_ses-1_connectome.csv,99,2473,0.51,3.466,161,161,161,104,104,104,0.044,0.046,0.108,0.044,0.044,0.108
Undirected,N/A,sub-0116834_ses-1_connectome.csv,96,2373,0.52,3.218,150,150,150,103,103,103,0.041,0.057,0.103,0.041,0.042,0.104
Undirected,N/A,sub-0113030_ses-1_connectome.csv,96,2215,0.486,3.303,161,161,161,98,98,98,0.039,0.04,0.094,0.042,0.041,0.096
Undirected,N/A,sub-0116415_ses-1_connectome.csv,101,2604,0.516,3.317,141,141,141,103,103,103,0.046,0.049,0.129,0.046,0.05,0.117
Undirected,N/A,sub-0118051_ses-1_connectome.csv,94,2400,0.549,3.308,142,142,142,98,98,98,0.041,0.044,0.098,0.041,0.042,0.103
Undirected,N/A,sub-0112249_ses-1_connectome.csv,100,2820,0.57,3.309,164,164,164,117,117,117,0.047,0.048,0.137,0.047,0.048,0.124
Undirected,N/A,sub-0116039_ses-1_connectome.csv,91,2003,0.489,3.338,139,139,139,96,96,96,0.035,0.036,0.082,0.042,0.036,0.081
Undirected,N/A,sub-0105290_ses-1_connectome.csv,93,2282,0.533,3.784,140,140,140,105,105,105,0.038,0.048,0.092,0.037,0.039,0.098
Undirected,N/A,sub-0123429_ses-1_connectome.csv,96,2115,0.464,3.299,153,153,153,103,103,103,0.04,0.04,0.091,0.04,0.04,0.106
Undirected,N/A,sub-0119866_ses-1_connectome.csv,95,1994,0.447,3.696,160,160,160,98,98,98,0.039,0.042,0.085,0.037,0.038,0.088
Undirected,N/A,sub-0116842_ses-1_connectome.csv,95,2390,0.535,3.318,148,148,148,103,103,103,0.04,0.041,0.097,0.039,0.043,0.101
Undirected,N/A,sub-0122169_ses-1_connectome.csv,96,2721,0.597,3.681,160,160,160,99,99,99,0.043,0.044,0.131,0.043,0.044,0.118
Undirected,N/A,sub-0122816_ses-1_connectome.csv,87,2082,0.557,3.478,129,129,129,95,95,95,0.031,0.032,0.082,0.031,0.032,0.08
Undirected,N/A,sub-0126919_ses-1_connectome.csv,98,2437,0.513,3.223,140,140,140,105,105,105,0.042,0.045,0.13,0.043,0.045,0.111
Undirected,N/A,sub-0131832_ses-1_connectome.csv,100,2122,0.429,3.135,168,168,168,117,117,117,0.041,0.043,0.1,0.041,0.043,0.098
Undirected,N/A,sub-0125762_ses-1_connectome.csv,94,2026,0.464,2.933,166,166,166,108,108,108,0.037,0.041,0.086,0.036,0.039,0.09
