type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0103645_ses-1_connectome.csv,30,434,0.998,20.809,45,45,45,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0102157_ses-1_connectome.csv,31,431,0.927,7.783,51,51,51,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0106780_ses-1_connectome.csv,31,425,0.914,7.22,54,54,54,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0109819_ses-1_connectome.csv,30,417,0.959,6.733,41,41,41,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0105290_ses-1_connectome.csv,31,423,0.91,7.709,58,58,58,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0108355_ses-1_connectome.csv,31,438,0.942,7.331,50,50,50,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0103714_ses-1_connectome.csv,31,428,0.92,9.198,52,52,52,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0112249_ses-1_connectome.csv,30,424,0.975,11.846,55,55,55,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0110809_ses-1_connectome.csv,31,432,0.929,7.792,49,49,49,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0113030_ses-1_connectome.csv,30,396,0.91,5.428,38,38,38,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0114232_ses-1_connectome.csv,30,417,0.959,7.15,45,45,45,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0111282_ses-1_connectome.csv,31,436,0.938,8.466,42,42,42,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0116039_ses-1_connectome.csv,30,399,0.917,4.353,50,50,50,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0116415_ses-1_connectome.csv,31,393,0.845,4.854,45,45,45,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0115321_ses-1_connectome.csv,29,406,1.0,20.125,46,46,46,28,28,28,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0115824_ses-1_connectome.csv,30,400,0.92,4.899,49,49,49,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0115564_ses-1_connectome.csv,31,436,0.938,6.216,46,46,46,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0116065_ses-1_connectome.csv,31,431,0.927,20.736,40,40,40,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0116834_ses-1_connectome.csv,30,415,0.954,10.137,49,49,49,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0116842_ses-1_connectome.csv,31,449,0.966,9.423,57,57,57,30,30,30,0.003,0.004,0.008,0.004,0.004,0.008
Undirected,N/A,sub-0112828_ses-1_connectome.csv,29,406,1.0,20.125,45,45,45,28,28,28,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0113013_ses-1_connectome.csv,31,438,0.942,7.847,51,51,51,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0120538_ses-1_connectome.csv,30,423,0.972,9.143,48,48,48,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0118051_ses-1_connectome.csv,29,403,0.993,8.922,48,48,48,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0117168_ses-1_connectome.csv,30,422,0.97,10.223,43,43,43,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0119866_ses-1_connectome.csv,29,397,0.978,6.221,46,46,46,28,28,28,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0122816_ses-1_connectome.csv,30,404,0.929,6.277,40,40,40,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0122169_ses-1_connectome.csv,30,430,0.989,8.406,50,50,50,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0122844_ses-1_connectome.csv,30,426,0.979,11.874,43,43,43,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0123173_ses-1_connectome.csv,30,410,0.943,11.648,45,45,45,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0132717_ses-1_connectome.csv,30,416,0.956,6.068,48,48,48,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0123429_ses-1_connectome.csv,30,419,0.963,9.099,48,48,48,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0125762_ses-1_connectome.csv,30,397,0.913,4.88,47,47,47,30,30,30,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0126919_ses-1_connectome.csv,31,435,0.935,6.88,45,45,45,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0131832_ses-1_connectome.csv,30,401,0.922,5.463,51,51,51,29,29,29,0.003,0.003,0.008,0.003,0.003,0.007
Undirected,N/A,sub-0132995_ses-1_connectome.csv,30,407,0.936,11.605,43,43,43,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0127800_ses-1_connectome.csv,31,360,0.774,4.359,57,57,57,31,31,31,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0132850_ses-1_connectome.csv,30,417,0.959,11.747,46,46,46,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0135671_ses-1_connectome.csv,31,436,0.938,7.314,55,55,55,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0136303_ses-1_connectome.csv,30,418,0.961,6.387,44,44,44,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0133436_ses-1_connectome.csv,30,410,0.943,6.325,37,37,37,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0139480_ses-1_connectome.csv,30,413,0.949,14.335,56,56,56,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0141473_ses-1_connectome.csv,29,374,0.921,11.121,46,46,46,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0137496_ses-1_connectome.csv,30,428,0.984,11.902,55,55,55,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0142673_ses-1_connectome.csv,31,434,0.933,5.691,53,53,53,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0133894_ses-1_connectome.csv,31,407,0.875,5.505,43,43,43,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0137714_ses-1_connectome.csv,30,385,0.885,5.831,52,52,52,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0139212_ses-1_connectome.csv,30,418,0.961,9.088,44,44,44,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0137073_ses-1_connectome.csv,29,405,0.998,11.576,45,45,45,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0144314_ses-1_connectome.csv,30,392,0.901,4.558,46,46,46,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0144667_ses-1_connectome.csv,29,401,0.988,11.518,54,54,54,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0147122_ses-1_connectome.csv,30,426,0.979,5.235,45,45,45,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0144495_ses-1_connectome.csv,29,383,0.943,6.107,53,53,53,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0150716_ses-1_connectome.csv,30,407,0.936,20.149,48,48,48,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0146865_ses-1_connectome.csv,31,413,0.888,6.348,43,43,43,30,30,30,0.003,0.004,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0150525_ses-1_connectome.csv,31,454,0.976,8.641,52,52,52,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0150589_ses-1_connectome.csv,30,401,0.922,8.114,50,50,50,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0144344_ses-1_connectome.csv,31,432,0.929,7.792,50,50,50,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0152968_ses-1_connectome.csv,30,424,0.975,14.526,46,46,46,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0149794_ses-1_connectome.csv,31,441,0.948,6.565,50,50,50,30,30,30,0.003,0.003,0.008,0.004,0.003,0.008
Undirected,N/A,sub-0146714_ses-1_connectome.csv,31,432,0.929,5.677,46,46,46,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0153790_ses-1_connectome.csv,30,419,0.963,6.749,46,46,46,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0153114_ses-1_connectome.csv,31,441,0.948,6.928,53,53,53,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0154419_ses-1_connectome.csv,29,406,1.0,20.125,47,47,47,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0154423_ses-1_connectome.csv,31,450,0.968,6.317,49,49,49,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0155458_ses-1_connectome.csv,31,426,0.916,8.367,56,56,56,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0160099_ses-1_connectome.csv,30,409,0.94,14.265,61,61,61,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0159429_ses-1_connectome.csv,30,418,0.961,9.088,54,54,54,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0158744_ses-1_connectome.csv,31,441,0.948,5.154,53,53,53,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0158560_ses-1_connectome.csv,30,400,0.92,5.456,43,43,43,29,29,29,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0152189_ses-1_connectome.csv,30,418,0.961,6.741,47,47,47,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0161513_ses-1_connectome.csv,31,451,0.97,7.441,50,50,50,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0157947_ses-1_connectome.csv,30,401,0.922,8.114,47,47,47,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0161200_ses-1_connectome.csv,30,403,0.926,4.918,49,49,49,29,29,29,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0165532_ses-1_connectome.csv,30,397,0.913,6.566,57,57,57,30,30,30,0.003,0.006,0.011,0.004,0.004,0.007
Undirected,N/A,sub-0162902_ses-1_connectome.csv,31,417,0.897,6.38,41,41,41,30,30,30,0.005,0.006,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0162704_ses-1_connectome.csv,30,409,0.94,10.062,46,46,46,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0163228_ses-1_connectome.csv,30,399,0.917,8.877,48,48,48,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
