type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0102157_ses-1_connectome.csv,69,2052,0.875,4.306,152,152,152,68,68,68,0.024,0.024,0.059,0.023,0.023,0.061
Undirected,N/A,sub-0108355_ses-1_connectome.csv,70,2092,0.866,4.417,136,136,136,69,69,69,0.037,0.025,0.06,0.023,0.024,0.068
Undirected,N/A,sub-0109819_ses-1_connectome.csv,70,1865,0.772,3.653,135,135,135,69,69,69,0.022,0.024,0.055,0.021,0.022,0.057
Undirected,N/A,sub-0105290_ses-1_connectome.csv,70,2121,0.878,4.618,136,136,136,69,69,69,0.026,0.026,0.062,0.024,0.024,0.065
Undirected,N/A,sub-0106780_ses-1_connectome.csv,70,1756,0.727,4.205,167,167,167,71,71,71,0.023,0.023,0.05,0.021,0.022,0.053
Undirected,N/A,sub-0110809_ses-1_connectome.csv,69,2052,0.875,4.752,152,152,152,68,68,68,0.024,0.025,0.057,0.022,0.023,0.061
Undirected,N/A,sub-0111282_ses-1_connectome.csv,70,2147,0.889,4.673,145,145,145,69,69,69,0.024,0.025,0.064,0.023,0.024,0.063
Undirected,N/A,sub-0103645_ses-1_connectome.csv,70,2167,0.897,5.356,134,134,134,69,69,69,0.024,0.031,0.065,0.023,0.024,0.067
Undirected,N/A,sub-0113013_ses-1_connectome.csv,70,1995,0.826,4.264,143,143,143,69,69,69,0.022,0.022,0.056,0.022,0.023,0.064
Undirected,N/A,sub-0112828_ses-1_connectome.csv,70,2238,0.927,5.607,150,150,150,69,69,69,0.03,0.026,0.063,0.024,0.025,0.066
Undirected,N/A,sub-0112249_ses-1_connectome.csv,70,2193,0.908,5.314,129,129,129,70,70,70,0.025,0.026,0.063,0.026,0.025,0.064
Undirected,N/A,sub-0103714_ses-1_connectome.csv,69,2067,0.881,4.178,152,152,152,68,68,68,0.023,0.025,0.269,0.027,0.025,0.061
Undirected,N/A,sub-0115564_ses-1_connectome.csv,70,1864,0.772,3.393,123,123,123,69,69,69,0.021,0.022,0.055,0.023,0.024,0.058
Undirected,N/A,sub-0113030_ses-1_connectome.csv,70,1685,0.698,3.84,146,146,146,71,71,71,0.021,0.022,0.051,0.022,0.023,0.054
