type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0103645_ses-1_connectome.csv,74,2474,0.916,4.658,146,146,146,73,73,73,0.033,0.03,0.077,0.029,0.03,0.086
Undirected,N/A,sub-0102157_ses-1_connectome.csv,74,2235,0.827,4.55,149,149,149,73,73,73,0.027,0.029,0.072,0.028,0.029,0.074
Undirected,N/A,sub-0103714_ses-1_connectome.csv,74,2242,0.83,4.534,148,148,148,73,73,73,0.027,0.028,0.081,0.028,0.027,0.072
Undirected,N/A,sub-0109819_ses-1_connectome.csv,74,2205,0.816,4.187,184,184,184,73,73,73,0.027,0.028,0.069,0.029,0.029,0.073
Undirected,N/A,sub-0111282_ses-1_connectome.csv,74,2264,0.838,4.727,175,175,175,73,73,73,0.027,0.028,0.071,0.028,0.029,0.075
Undirected,N/A,sub-0112249_ses-1_connectome.csv,74,2381,0.882,4.285,155,155,155,73,73,73,0.027,0.028,0.073,0.029,0.029,0.077
Undirected,N/A,sub-0112828_ses-1_connectome.csv,74,2230,0.826,3.894,156,156,156,73,73,73,0.027,0.028,0.075,0.029,0.029,0.073
Undirected,N/A,sub-0113030_ses-1_connectome.csv,74,2157,0.799,3.825,151,151,151,73,73,73,0.026,0.027,0.067,0.028,0.028,0.076
Undirected,N/A,sub-0106780_ses-1_connectome.csv,74,2117,0.784,3.462,161,161,161,73,73,73,0.027,0.028,0.07,0.027,0.027,0.07
Undirected,N/A,sub-0110809_ses-1_connectome.csv,74,2219,0.822,4.808,147,147,147,73,73,73,0.027,0.027,0.07,0.028,0.029,0.074
Undirected,N/A,sub-0108355_ses-1_connectome.csv,74,2491,0.922,4.89,160,160,160,73,73,73,0.03,0.03,0.08,0.033,0.032,0.083
Undirected,N/A,sub-0105290_ses-1_connectome.csv,74,2380,0.881,4.521,164,164,164,73,73,73,0.028,0.029,0.076,0.028,0.028,0.077
Undirected,N/A,sub-0115824_ses-1_connectome.csv,74,2180,0.807,3.877,154,154,154,73,73,73,0.027,0.029,0.071,0.026,0.026,0.071
Undirected,N/A,sub-0115321_ses-1_connectome.csv,74,2274,0.842,4.478,146,146,146,73,73,73,0.028,0.029,0.071,0.027,0.028,0.076
Undirected,N/A,sub-0113013_ses-1_connectome.csv,74,2210,0.818,3.86,169,169,169,73,73,73,0.027,0.027,0.069,0.026,0.027,0.072
