type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0105290_ses-1_connectome.csv,180,10074,0.625,2.679,412,412,412,179,179,179,0.275,0.279,0.743,0.273,0.301,0.75
Undirected,N/A,sub-0103645_ses-1_connectome.csv,180,11646,0.723,3.069,444,444,444,180,180,180,0.318,0.305,0.844,0.297,0.308,0.885
Undirected,N/A,sub-0109819_ses-1_connectome.csv,180,10033,0.623,2.81,410,410,410,180,180,180,0.279,0.291,0.759,0.275,0.288,0.756
Undirected,N/A,sub-0103714_ses-1_connectome.csv,180,10400,0.646,3.015,442,442,442,180,180,180,0.291,0.299,0.748,0.303,0.314,0.776
Undirected,N/A,sub-0112828_ses-1_connectome.csv,180,9893,0.614,2.673,463,463,463,181,181,181,0.288,0.283,0.722,0.278,0.298,0.767
Undirected,N/A,sub-0113030_ses-1_connectome.csv,180,8429,0.523,2.611,520,520,520,179,179,179,0.264,0.279,0.634,0.259,0.269,0.68
Undirected,N/A,sub-0106780_ses-1_connectome.csv,180,8625,0.535,2.696,433,433,433,181,181,181,0.269,0.269,0.647,0.26,0.268,0.674
Undirected,N/A,sub-0113013_ses-1_connectome.csv,180,8727,0.542,2.609,450,450,450,180,180,180,0.27,0.28,0.66,0.269,0.278,0.675
Undirected,N/A,sub-0111282_ses-1_connectome.csv,180,10010,0.621,2.937,430,430,430,179,179,179,0.29,0.289,0.734,0.283,0.297,0.773
Undirected,N/A,sub-0112249_ses-1_connectome.csv,180,10725,0.666,2.767,417,417,417,179,179,179,0.286,0.294,0.788,0.289,0.298,0.828
Undirected,N/A,sub-0102157_ses-1_connectome.csv,180,10428,0.647,3.0,440,440,440,180,180,180,0.284,0.289,0.763,0.284,0.296,0.787
Undirected,N/A,sub-0110809_ses-1_connectome.csv,180,10382,0.644,2.909,439,439,439,179,179,179,0.29,0.293,0.745,0.289,0.296,0.803
Undirected,N/A,sub-0114232_ses-1_connectome.csv,180,9339,0.58,2.604,453,453,453,180,180,180,0.266,0.281,0.7,0.263,0.283,0.724
Undirected,N/A,sub-0115321_ses-1_connectome.csv,180,9537,0.592,2.865,442,442,442,180,180,180,0.275,0.283,0.697,0.276,0.292,0.731
Undirected,N/A,sub-0116415_ses-1_connectome.csv,180,10786,0.67,2.867,430,430,430,179,179,179,0.289,0.297,0.781,0.294,0.302,0.821
Undirected,N/A,sub-0115564_ses-1_connectome.csv,180,9469,0.588,3.034,473,473,473,181,181,181,0.264,0.275,0.698,0.283,0.276,0.717
Undirected,N/A,sub-0115824_ses-1_connectome.csv,180,9208,0.572,2.825,441,441,441,179,179,179,0.263,0.274,0.688,0.263,0.272,0.721
Undirected,N/A,sub-0116065_ses-1_connectome.csv,180,8049,0.5,2.565,411,411,411,181,181,181,0.252,0.258,0.606,0.257,0.268,0.615
Undirected,N/A,sub-0108355_ses-1_connectome.csv,180,11570,0.718,3.043,461,461,461,179,179,179,0.307,0.304,0.829,0.3,0.314,0.881
Undirected,N/A,sub-0117168_ses-1_connectome.csv,180,8388,0.521,2.713,405,405,405,180,180,180,0.261,0.269,0.642,0.263,0.268,0.656
Undirected,N/A,sub-0116834_ses-1_connectome.csv,180,9388,0.583,2.749,369,369,369,180,180,180,0.267,0.272,0.696,0.268,0.281,0.72
Undirected,N/A,sub-0119866_ses-1_connectome.csv,180,8633,0.536,2.711,478,478,478,179,179,179,0.252,0.262,0.632,0.264,0.263,0.666
Undirected,N/A,sub-0116842_ses-1_connectome.csv,180,10226,0.635,2.833,421,421,421,180,180,180,0.274,0.282,0.75,0.276,0.285,0.787
Undirected,N/A,sub-0118051_ses-1_connectome.csv,180,8758,0.544,2.942,438,438,438,179,179,179,0.259,0.277,0.653,0.269,0.268,0.676
Undirected,N/A,sub-0122816_ses-1_connectome.csv,180,10094,0.627,2.984,437,437,437,179,179,179,0.286,0.286,0.744,0.277,0.291,0.775
Undirected,N/A,sub-0122844_ses-1_connectome.csv,180,6058,0.376,2.399,394,394,394,182,182,182,0.211,0.226,0.466,0.21,0.231,0.487
Undirected,N/A,sub-0116039_ses-1_connectome.csv,180,9242,0.574,2.647,411,411,411,179,179,179,0.263,0.272,0.686,0.269,0.272,0.716
Undirected,N/A,sub-0120538_ses-1_connectome.csv,180,9746,0.605,2.822,459,459,459,179,179,179,0.276,0.284,0.716,0.277,0.287,0.763
Undirected,N/A,sub-0123173_ses-1_connectome.csv,180,8811,0.547,2.614,419,419,419,180,180,180,0.264,0.276,0.648,0.266,0.276,0.685
Undirected,N/A,sub-0125762_ses-1_connectome.csv,179,8607,0.54,2.697,424,424,424,185,185,185,0.255,0.267,0.649,0.259,0.268,0.68
Undirected,N/A,sub-0123429_ses-1_connectome.csv,180,9218,0.572,2.607,437,437,437,179,179,179,0.267,0.276,0.678,0.274,0.274,0.704
Undirected,N/A,sub-0127800_ses-1_connectome.csv,180,8147,0.506,2.618,416,416,416,179,179,179,0.251,0.254,0.612,0.247,0.257,0.65
Undirected,N/A,sub-0126919_ses-1_connectome.csv,180,9327,0.579,2.68,458,458,458,179,179,179,0.269,0.276,0.694,0.268,0.281,0.71
Undirected,N/A,sub-0122169_ses-1_connectome.csv,180,10748,0.667,3.136,429,429,429,179,179,179,0.283,0.296,0.794,0.278,0.288,0.85
Undirected,N/A,sub-0132995_ses-1_connectome.csv,180,7812,0.485,2.534,429,429,429,179,179,179,0.249,0.26,0.582,0.25,0.258,0.606
Undirected,N/A,sub-0133436_ses-1_connectome.csv,180,8612,0.535,2.727,418,418,418,180,180,180,0.269,0.27,0.641,0.257,0.267,0.675
Undirected,N/A,sub-0132850_ses-1_connectome.csv,180,11588,0.719,2.828,425,425,425,180,180,180,0.287,0.296,0.83,0.297,0.302,0.887
Undirected,N/A,sub-0132717_ses-1_connectome.csv,177,7906,0.508,2.788,444,444,444,179,179,179,0.245,0.255,0.596,0.239,0.25,0.635
