type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0102157_ses-1_connectome.csv,83,2964,0.871,4.726,155,155,155,82,82,82,0.036,0.038,0.103,0.037,0.039,0.107
Undirected,N/A,sub-0103714_ses-1_connectome.csv,83,2967,0.872,4.871,157,157,157,82,82,82,0.037,0.037,0.103,0.038,0.04,0.106
Undirected,N/A,sub-0103645_ses-1_connectome.csv,83,3067,0.901,5.533,153,153,153,82,82,82,0.039,0.039,0.102,0.039,0.043,0.109
Undirected,N/A,sub-0106780_ses-1_connectome.csv,83,2598,0.763,3.665,170,170,170,82,82,82,0.035,0.036,0.096,0.035,0.037,0.096
Undirected,N/A,sub-0105290_ses-1_connectome.csv,83,2948,0.866,4.259,176,176,176,82,82,82,0.038,0.039,0.099,0.037,0.04,0.105
Undirected,N/A,sub-0110809_ses-1_connectome.csv,83,2948,0.866,5.104,156,156,156,82,82,82,0.037,0.037,0.102,0.037,0.038,0.106
Undirected,N/A,sub-0111282_ses-1_connectome.csv,83,2985,0.877,4.347,182,182,182,82,82,82,0.039,0.039,0.101,0.038,0.041,0.106
Undirected,N/A,sub-0109819_ses-1_connectome.csv,83,2462,0.723,3.283,154,154,154,82,82,82,0.033,0.034,0.092,0.033,0.034,0.09
Undirected,N/A,sub-0112249_ses-1_connectome.csv,83,3274,0.962,5.948,187,187,187,82,82,82,0.043,0.044,0.111,0.045,0.045,0.12
Undirected,N/A,sub-0108355_ses-1_connectome.csv,83,2953,0.868,4.164,157,157,157,83,83,83,0.04,0.041,0.099,0.038,0.04,0.105
Undirected,N/A,sub-0113013_ses-1_connectome.csv,83,2721,0.8,4.394,193,193,193,82,82,82,0.035,0.036,0.094,0.034,0.035,0.1
Undirected,N/A,sub-0114232_ses-1_connectome.csv,83,2797,0.822,3.956,163,163,163,82,82,82,0.037,0.036,0.093,0.036,0.038,0.104
Undirected,N/A,sub-0115824_ses-1_connectome.csv,83,2719,0.799,3.439,162,162,162,82,82,82,0.036,0.037,0.098,0.035,0.036,0.097
Undirected,N/A,sub-0112828_ses-1_connectome.csv,83,3149,0.925,5.068,201,201,201,82,82,82,0.042,0.041,0.105,0.039,0.042,0.112
Undirected,N/A,sub-0113030_ses-1_connectome.csv,83,2396,0.704,3.498,146,146,146,82,82,82,0.033,0.033,0.087,0.034,0.036,0.087
Undirected,N/A,sub-0115564_ses-1_connectome.csv,83,2634,0.774,3.819,166,166,166,82,82,82,0.036,0.037,0.089,0.034,0.037,0.096
Undirected,N/A,sub-0115321_ses-1_connectome.csv,83,2803,0.824,4.064,168,168,168,82,82,82,0.036,0.048,0.1,0.036,0.036,0.1
Undirected,N/A,sub-0116842_ses-1_connectome.csv,83,3079,0.905,5.032,195,195,195,82,82,82,0.042,0.04,0.107,0.04,0.042,0.111
Undirected,N/A,sub-0117168_ses-1_connectome.csv,83,2930,0.861,4.533,193,193,193,82,82,82,0.039,0.04,0.104,0.038,0.039,0.106
Undirected,N/A,sub-0116065_ses-1_connectome.csv,83,2827,0.831,4.096,164,164,164,82,82,82,0.038,0.037,0.096,0.036,0.039,0.102
Undirected,N/A,sub-0116415_ses-1_connectome.csv,83,2642,0.776,4.047,171,171,171,82,82,82,0.038,0.038,0.098,0.035,0.036,0.095
Undirected,N/A,sub-0120538_ses-1_connectome.csv,83,3023,0.888,5.075,174,174,174,82,82,82,0.04,0.04,0.103,0.038,0.041,0.111
Undirected,N/A,sub-0122816_ses-1_connectome.csv,83,2669,0.784,4.157,151,151,151,82,82,82,0.034,0.035,0.099,0.035,0.035,0.095
Undirected,N/A,sub-0122169_ses-1_connectome.csv,83,2988,0.878,5.044,177,177,177,82,82,82,0.039,0.039,0.098,0.037,0.04,0.104
Undirected,N/A,sub-0118051_ses-1_connectome.csv,83,2824,0.83,4.534,181,181,181,82,82,82,0.037,0.038,0.103,0.037,0.038,0.101
Undirected,N/A,sub-0119866_ses-1_connectome.csv,83,2452,0.721,3.607,172,172,172,82,82,82,0.033,0.033,0.084,0.032,0.034,0.094
Undirected,N/A,sub-0122844_ses-1_connectome.csv,83,2627,0.772,4.247,192,192,192,82,82,82,0.035,0.037,0.09,0.036,0.036,0.093
Undirected,N/A,sub-0123173_ses-1_connectome.csv,83,2964,0.871,4.508,167,167,167,82,82,82,0.037,0.041,0.102,0.037,0.038,0.347
Undirected,N/A,sub-0116834_ses-1_connectome.csv,83,3116,0.916,4.871,187,187,187,82,82,82,0.043,0.042,0.104,0.04,0.043,0.113
Undirected,N/A,sub-0127800_ses-1_connectome.csv,83,2365,0.695,3.336,179,179,179,82,82,82,0.034,0.036,0.088,0.033,0.034,0.086
Undirected,N/A,sub-0125762_ses-1_connectome.csv,83,2615,0.768,3.769,188,188,188,82,82,82,0.037,0.039,0.089,0.037,0.04,0.096
Undirected,N/A,sub-0123429_ses-1_connectome.csv,83,2843,0.835,4.283,171,171,171,82,82,82,0.036,0.038,0.1,0.037,0.037,0.102
Undirected,N/A,sub-0116039_ses-1_connectome.csv,83,2647,0.778,3.576,172,172,172,82,82,82,0.039,0.038,0.09,0.036,0.039,0.096
Undirected,N/A,sub-0131832_ses-1_connectome.csv,83,2598,0.763,3.591,184,184,184,82,82,82,0.036,0.037,0.097,0.036,0.036,0.093
Undirected,N/A,sub-0133436_ses-1_connectome.csv,83,2543,0.747,3.846,167,167,167,82,82,82,0.035,0.036,0.086,0.033,0.036,0.094
Undirected,N/A,sub-0126919_ses-1_connectome.csv,83,2964,0.871,4.331,190,190,190,83,83,83,0.039,0.04,0.11,0.038,0.039,0.109
Undirected,N/A,sub-0132717_ses-1_connectome.csv,83,2734,0.803,3.639,219,219,219,82,82,82,0.037,0.039,0.096,0.036,0.04,0.099
Undirected,N/A,sub-0133894_ses-1_connectome.csv,83,2608,0.766,3.537,164,164,164,82,82,82,0.036,0.037,0.094,0.035,0.036,0.097
Undirected,N/A,sub-0132995_ses-1_connectome.csv,83,2452,0.721,3.81,165,165,165,82,82,82,0.034,0.035,0.096,0.033,0.035,0.089
Undirected,N/A,sub-0132850_ses-1_connectome.csv,83,3204,0.942,7.43,180,180,180,82,82,82,0.041,0.042,0.11,0.04,0.041,0.113
Undirected,N/A,sub-0137496_ses-1_connectome.csv,83,3052,0.897,4.613,174,174,174,82,82,82,0.038,0.039,0.101,0.037,0.043,0.109
Undirected,N/A,sub-0136303_ses-1_connectome.csv,83,2821,0.829,4.025,179,179,179,82,82,82,0.036,0.037,0.1,0.035,0.036,0.103
Undirected,N/A,sub-0141473_ses-1_connectome.csv,83,2606,0.766,3.404,167,167,167,82,82,82,0.038,0.036,0.089,0.035,0.037,0.096
Undirected,N/A,sub-0137714_ses-1_connectome.csv,83,2107,0.619,3.678,167,167,167,82,82,82,0.031,0.032,0.08,0.031,0.032,0.077
Undirected,N/A,sub-0146714_ses-1_connectome.csv,83,2667,0.784,3.919,153,153,153,82,82,82,0.037,0.036,0.091,0.035,0.039,0.097
Undirected,N/A,sub-0135671_ses-1_connectome.csv,83,2747,0.807,4.542,181,181,181,82,82,82,0.035,0.036,0.099,0.035,0.036,0.098
Undirected,N/A,sub-0139480_ses-1_connectome.csv,83,2998,0.881,4.962,174,174,174,82,82,82,0.04,0.039,0.105,0.041,0.041,0.108
Undirected,N/A,sub-0137073_ses-1_connectome.csv,83,2957,0.869,4.049,176,176,176,82,82,82,0.037,0.038,0.108,0.038,0.038,0.108
Undirected,N/A,sub-0144344_ses-1_connectome.csv,83,2930,0.861,4.903,156,156,156,82,82,82,0.036,0.037,0.096,0.036,0.04,0.105
Undirected,N/A,sub-0144495_ses-1_connectome.csv,83,2652,0.779,4.028,149,149,149,82,82,82,0.035,0.037,0.098,0.035,0.035,0.095
Undirected,N/A,sub-0139212_ses-1_connectome.csv,83,2900,0.852,4.223,168,168,168,82,82,82,0.039,0.039,0.097,0.038,0.04,0.103
Undirected,N/A,sub-0142673_ses-1_connectome.csv,83,2992,0.879,4.415,194,194,194,82,82,82,0.039,0.04,0.109,0.038,0.039,0.111
Undirected,N/A,sub-0144314_ses-1_connectome.csv,83,2391,0.703,3.98,165,165,165,82,82,82,0.033,0.034,0.081,0.033,0.034,0.09
Undirected,N/A,sub-0146865_ses-1_connectome.csv,83,2489,0.731,3.778,144,144,144,82,82,82,0.036,0.035,0.087,0.035,0.035,0.089
Undirected,N/A,sub-0144667_ses-1_connectome.csv,83,2927,0.86,3.942,161,161,161,82,82,82,0.036,0.04,0.099,0.037,0.038,0.106
Undirected,N/A,sub-0150525_ses-1_connectome.csv,83,3007,0.884,4.822,177,177,177,82,82,82,0.038,0.038,0.103,0.039,0.038,0.117
Undirected,N/A,sub-0152189_ses-1_connectome.csv,83,2635,0.774,3.869,178,178,178,82,82,82,0.035,0.038,0.093,0.034,0.035,0.096
Undirected,N/A,sub-0147122_ses-1_connectome.csv,83,2666,0.783,3.54,164,164,164,82,82,82,0.037,0.036,0.09,0.036,0.038,0.097
