type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0102157_ses-1_connectome.csv,48,976,0.865,4.775,82,82,82,47,47,47,0.009,0.009,0.021,0.009,0.009,0.022
Undirected,N/A,sub-0103645_ses-1_connectome.csv,48,1036,0.918,4.748,77,77,77,47,47,47,0.009,0.009,0.022,0.009,0.009,0.023
Undirected,N/A,sub-0103714_ses-1_connectome.csv,48,989,0.877,5.003,83,83,83,47,47,47,0.01,0.01,0.024,0.009,0.01,0.024
Undirected,N/A,sub-0106780_ses-1_connectome.csv,48,934,0.828,4.552,88,88,88,49,49,49,0.009,0.009,0.021,0.008,0.009,0.021
Undirected,N/A,sub-0112249_ses-1_connectome.csv,48,1079,0.957,5.462,85,85,85,47,47,47,0.01,0.01,0.023,0.01,0.011,0.026
Undirected,N/A,sub-0108355_ses-1_connectome.csv,48,1049,0.93,5.158,92,92,92,47,47,47,0.01,0.01,0.023,0.009,0.009,0.024
Undirected,N/A,sub-0112828_ses-1_connectome.csv,48,1003,0.889,4.844,89,89,89,47,47,47,0.009,0.009,0.021,0.009,0.009,0.023
Undirected,N/A,sub-0105290_ses-1_connectome.csv,48,1019,0.903,5.225,72,72,72,47,47,47,0.009,0.009,0.023,0.009,0.009,0.023
Undirected,N/A,sub-0110809_ses-1_connectome.csv,48,970,0.86,5.094,82,82,82,47,47,47,0.008,0.009,0.021,0.008,0.009,0.022
Undirected,N/A,sub-0113013_ses-1_connectome.csv,48,955,0.847,4.347,109,109,109,47,47,47,0.009,0.009,0.022,0.009,0.009,0.023
Undirected,N/A,sub-0109819_ses-1_connectome.csv,48,942,0.835,4.224,92,92,92,47,47,47,0.009,0.009,0.021,0.008,0.009,0.021
Undirected,N/A,sub-0111282_ses-1_connectome.csv,48,959,0.85,4.405,92,92,92,47,47,47,0.009,0.009,0.021,0.008,0.009,0.022
Undirected,N/A,sub-0113030_ses-1_connectome.csv,48,928,0.823,4.063,88,88,88,47,47,47,0.009,0.01,0.023,0.009,0.009,0.022
Undirected,N/A,sub-0114232_ses-1_connectome.csv,48,941,0.834,3.448,85,85,85,47,47,47,0.009,0.009,0.021,0.009,0.009,0.022
Undirected,N/A,sub-0115321_ses-1_connectome.csv,48,1005,0.891,4.977,94,94,94,47,47,47,0.009,0.009,0.022,0.009,0.01,0.023
Undirected,N/A,sub-0115564_ses-1_connectome.csv,48,998,0.885,4.181,97,97,97,47,47,47,0.009,0.009,0.021,0.009,0.009,0.022
Undirected,N/A,sub-0115824_ses-1_connectome.csv,48,922,0.817,3.462,70,70,70,47,47,47,0.008,0.009,0.02,0.008,0.009,0.022
Undirected,N/A,sub-0116065_ses-1_connectome.csv,48,920,0.816,4.086,83,83,83,47,47,47,0.009,0.009,0.021,0.008,0.009,0.021
Undirected,N/A,sub-0116039_ses-1_connectome.csv,48,969,0.859,4.116,91,91,91,47,47,47,0.009,0.009,0.021,0.009,0.009,0.022
Undirected,N/A,sub-0117168_ses-1_connectome.csv,48,968,0.858,5.163,102,102,102,47,47,47,0.009,0.01,0.023,0.009,0.014,0.032
Undirected,N/A,sub-0116415_ses-1_connectome.csv,48,1038,0.92,5.061,83,83,83,47,47,47,0.009,0.01,0.023,0.009,0.009,0.024
Undirected,N/A,sub-0119866_ses-1_connectome.csv,48,897,0.795,4.301,76,76,76,47,47,47,0.009,0.009,0.021,0.009,0.009,0.021
Undirected,N/A,sub-0116834_ses-1_connectome.csv,48,989,0.877,4.748,73,73,73,47,47,47,0.009,0.009,0.021,0.008,0.009,0.022
Undirected,N/A,sub-0116842_ses-1_connectome.csv,48,1012,0.897,5.928,94,94,94,47,47,47,0.009,0.01,0.022,0.009,0.01,0.024
Undirected,N/A,sub-0122816_ses-1_connectome.csv,48,959,0.85,4.857,84,84,84,47,47,47,0.009,0.009,0.021,0.015,0.012,0.025
Undirected,N/A,sub-0118051_ses-1_connectome.csv,48,922,0.817,3.896,83,83,83,47,47,47,0.008,0.009,0.02,0.008,0.008,0.021
Undirected,N/A,sub-0125762_ses-1_connectome.csv,48,915,0.811,3.677,83,83,83,47,47,47,0.009,0.009,0.021,0.008,0.009,0.021
