type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0102157_ses-1_connectome.csv,48,764,0.677,3.489,74,74,74,47,47,47,0.008,0.008,0.018,0.007,0.008,0.018
Undirected,N/A,sub-0103714_ses-1_connectome.csv,48,750,0.665,3.555,73,73,73,47,47,47,0.007,0.008,0.017,0.007,0.008,0.018
Undirected,N/A,sub-0108355_ses-1_connectome.csv,48,846,0.75,3.868,79,79,79,47,47,47,0.008,0.009,0.02,0.008,0.009,0.02
Undirected,N/A,sub-0110809_ses-1_connectome.csv,48,750,0.665,3.331,72,72,72,47,47,47,0.008,0.008,0.017,0.007,0.008,0.028
Undirected,N/A,sub-0105290_ses-1_connectome.csv,48,767,0.68,3.015,78,78,78,47,47,47,0.007,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0103645_ses-1_connectome.csv,48,968,0.858,4.074,73,73,73,47,47,47,0.009,0.01,0.022,0.009,0.01,0.023
Undirected,N/A,sub-0111282_ses-1_connectome.csv,48,822,0.729,3.501,74,74,74,47,47,47,0.008,0.008,0.019,0.008,0.008,0.019
Undirected,N/A,sub-0112249_ses-1_connectome.csv,48,940,0.833,3.796,76,76,76,47,47,47,0.008,0.009,0.022,0.009,0.009,0.031
Undirected,N/A,sub-0114232_ses-1_connectome.csv,48,711,0.63,2.808,77,77,77,47,47,47,0.011,0.008,0.017,0.008,0.008,0.017
Undirected,N/A,sub-0109819_ses-1_connectome.csv,48,788,0.699,3.452,75,75,75,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0113013_ses-1_connectome.csv,48,814,0.722,3.162,79,79,79,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-0112828_ses-1_connectome.csv,48,852,0.755,2.91,80,80,80,47,47,47,0.008,0.009,0.02,0.008,0.008,0.02
Undirected,N/A,sub-0113030_ses-1_connectome.csv,48,737,0.653,3.592,74,74,74,47,47,47,0.008,0.008,0.017,0.008,0.008,0.019
Undirected,N/A,sub-0115564_ses-1_connectome.csv,48,727,0.645,3.219,78,78,78,47,47,47,0.008,0.008,0.017,0.008,0.008,0.017
Undirected,N/A,sub-0116039_ses-1_connectome.csv,48,681,0.604,3.341,62,62,62,47,47,47,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0106780_ses-1_connectome.csv,48,677,0.6,3.397,76,76,76,47,47,47,0.007,0.008,0.016,0.011,0.012,0.024
Undirected,N/A,sub-0115321_ses-1_connectome.csv,48,740,0.656,3.118,81,81,81,47,47,47,0.008,0.008,0.018,0.008,0.008,0.018
Undirected,N/A,sub-0116415_ses-1_connectome.csv,48,715,0.634,3.334,72,72,72,47,47,47,0.008,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-0115824_ses-1_connectome.csv,48,692,0.613,3.054,72,72,72,47,47,47,0.007,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-0116834_ses-1_connectome.csv,48,860,0.762,4.068,73,73,73,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-0116065_ses-1_connectome.csv,48,863,0.765,3.265,70,70,70,47,47,47,0.008,0.008,0.019,0.008,0.008,0.021
Undirected,N/A,sub-0118051_ses-1_connectome.csv,48,796,0.706,3.034,74,74,74,47,47,47,0.012,0.008,0.019,0.008,0.008,0.034
Undirected,N/A,sub-0116842_ses-1_connectome.csv,48,802,0.711,4.008,70,70,70,47,47,47,0.008,0.008,0.018,0.007,0.008,0.019
Undirected,N/A,sub-0120538_ses-1_connectome.csv,48,804,0.713,3.727,70,70,70,47,47,47,0.008,0.008,0.019,0.009,0.01,0.02
Undirected,N/A,sub-0122169_ses-1_connectome.csv,48,867,0.769,3.959,80,80,80,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-0119866_ses-1_connectome.csv,48,563,0.499,3.203,73,73,73,47,47,47,0.006,0.007,0.014,0.006,0.007,0.014
Undirected,N/A,sub-0123173_ses-1_connectome.csv,48,773,0.685,3.273,73,73,73,47,47,47,0.008,0.008,0.018,0.008,0.008,0.019
Undirected,N/A,sub-0117168_ses-1_connectome.csv,48,772,0.684,3.542,71,71,71,47,47,47,0.008,0.009,0.018,0.008,0.008,0.018
Undirected,N/A,sub-0122844_ses-1_connectome.csv,48,768,0.681,3.158,69,69,69,47,47,47,0.007,0.008,0.017,0.007,0.008,0.018
Undirected,N/A,sub-0125762_ses-1_connectome.csv,48,706,0.626,3.088,79,79,79,47,47,47,0.008,0.008,0.017,0.008,0.008,0.018
Undirected,N/A,sub-0123429_ses-1_connectome.csv,48,703,0.623,2.831,87,87,87,47,47,47,0.008,0.008,0.017,0.007,0.008,0.017
Undirected,N/A,sub-0126919_ses-1_connectome.csv,48,762,0.676,2.983,78,78,78,47,47,47,0.007,0.008,0.017,0.007,0.007,0.018
Undirected,N/A,sub-0133436_ses-1_connectome.csv,48,675,0.598,2.94,81,81,81,47,47,47,0.007,0.009,0.02,0.007,0.008,0.017
Undirected,N/A,sub-0127800_ses-1_connectome.csv,48,649,0.575,2.972,79,79,79,47,47,47,0.007,0.007,0.015,0.007,0.007,0.016
Undirected,N/A,sub-0131832_ses-1_connectome.csv,48,661,0.586,3.194,72,72,72,47,47,47,0.007,0.011,0.021,0.008,0.008,0.017
Undirected,N/A,sub-0132850_ses-1_connectome.csv,48,863,0.765,3.504,70,70,70,47,47,47,0.011,0.009,0.021,0.008,0.009,0.021
Undirected,N/A,sub-0133894_ses-1_connectome.csv,48,747,0.662,3.447,86,86,86,47,47,47,0.008,0.008,0.017,0.007,0.008,0.018
Undirected,N/A,sub-0132995_ses-1_connectome.csv,48,652,0.578,3.113,79,79,79,47,47,47,0.008,0.008,0.016,0.007,0.008,0.017
