type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0103645_ses-1_connectome.csv,103,3541,0.674,3.053,225,225,225,102,102,102,0.061,0.065,0.16,0.061,0.08,0.158
Undirected,N/A,sub-0105290_ses-1_connectome.csv,102,2884,0.56,3.068,235,235,235,103,103,103,0.063,0.058,0.127,0.055,0.056,0.129
Undirected,N/A,sub-0108355_ses-1_connectome.csv,102,3320,0.645,3.015,215,215,215,101,101,101,0.062,0.075,0.145,0.061,0.061,0.157
Undirected,N/A,sub-0102157_ses-1_connectome.csv,99,2451,0.505,2.954,222,222,222,112,112,112,0.048,0.049,0.104,0.049,0.049,0.109
Undirected,N/A,sub-0106780_ses-1_connectome.csv,101,2442,0.484,3.227,233,233,233,105,105,105,0.049,0.049,0.108,0.061,0.048,0.112
Undirected,N/A,sub-0109819_ses-1_connectome.csv,101,2799,0.554,2.828,220,220,220,104,104,104,0.056,0.056,0.124,0.054,0.054,0.14
Undirected,N/A,sub-0111282_ses-1_connectome.csv,103,3082,0.587,2.608,242,242,242,102,102,102,0.061,0.06,0.135,0.059,0.058,0.147
Undirected,N/A,sub-0113013_ses-1_connectome.csv,103,2857,0.544,2.698,226,226,226,102,102,102,0.056,0.058,0.126,0.058,0.058,0.132
Undirected,N/A,sub-0113030_ses-1_connectome.csv,101,2459,0.487,2.959,225,225,225,102,102,102,0.051,0.05,0.112,0.049,0.049,0.112
Undirected,N/A,sub-0115321_ses-1_connectome.csv,102,2667,0.518,2.647,222,222,222,102,102,102,0.053,0.054,0.135,0.053,0.052,0.122
Undirected,N/A,sub-0103714_ses-1_connectome.csv,98,2422,0.51,3.08,218,218,218,106,106,106,0.059,0.05,0.102,0.049,0.049,0.106
Undirected,N/A,sub-0112249_ses-1_connectome.csv,101,3620,0.717,2.924,244,244,244,100,100,100,0.06,0.06,0.164,0.061,0.06,0.165
Undirected,N/A,sub-0110809_ses-1_connectome.csv,99,2404,0.496,2.996,214,214,214,106,106,106,0.049,0.048,0.103,0.048,0.049,0.108
Undirected,N/A,sub-0116039_ses-1_connectome.csv,101,2841,0.563,2.955,207,207,207,100,100,100,0.054,0.057,0.128,0.054,0.052,0.126
Undirected,N/A,sub-0115564_ses-1_connectome.csv,99,2332,0.481,2.404,235,235,235,103,103,103,0.049,0.049,0.099,0.047,0.047,0.103
Undirected,N/A,sub-0116834_ses-1_connectome.csv,102,2911,0.565,3.263,234,234,234,106,106,106,0.057,0.06,0.127,0.054,0.057,0.131
Undirected,N/A,sub-0112828_ses-1_connectome.csv,102,3390,0.658,2.819,223,223,223,101,101,101,0.172,0.062,0.151,0.061,0.06,0.156
Undirected,N/A,sub-0114232_ses-1_connectome.csv,102,2266,0.44,2.702,207,207,207,101,101,101,0.047,0.047,0.103,0.045,0.046,0.107
Undirected,N/A,sub-0116842_ses-1_connectome.csv,102,3322,0.645,2.923,218,218,218,102,102,102,0.06,0.061,0.144,0.061,0.062,0.157
Undirected,N/A,sub-0115824_ses-1_connectome.csv,103,2552,0.486,2.675,231,231,231,104,104,104,0.053,0.054,0.116,0.055,0.054,0.119
Undirected,N/A,sub-0116415_ses-1_connectome.csv,103,2692,0.512,3.146,225,225,225,102,102,102,0.053,0.053,0.122,0.053,0.052,0.127
Undirected,N/A,sub-0116065_ses-1_connectome.csv,102,2939,0.571,2.788,216,216,216,101,101,101,0.064,0.056,0.133,0.055,0.055,0.134
Undirected,N/A,sub-0117168_ses-1_connectome.csv,102,2938,0.57,2.881,217,217,217,101,101,101,0.058,0.058,0.134,0.056,0.056,0.135
Undirected,N/A,sub-0119866_ses-1_connectome.csv,100,2390,0.483,3.318,221,221,221,101,101,101,0.045,0.045,0.103,0.045,0.046,0.111
Undirected,N/A,sub-0118051_ses-1_connectome.csv,102,3149,0.611,3.037,201,201,201,101,101,101,0.058,0.058,0.137,0.057,0.058,0.146
Undirected,N/A,sub-0127800_ses-1_connectome.csv,100,2301,0.465,2.91,219,219,219,101,101,101,0.047,0.048,0.101,0.046,0.046,0.108
Undirected,N/A,sub-0122816_ses-1_connectome.csv,94,2454,0.561,3.179,221,221,221,95,95,95,0.044,0.047,0.102,0.042,0.044,0.109
Undirected,N/A,sub-0122844_ses-1_connectome.csv,99,2226,0.459,2.669,192,192,192,100,100,100,0.045,0.046,0.101,0.044,0.045,0.104
Undirected,N/A,sub-0123429_ses-1_connectome.csv,103,2630,0.501,2.751,214,214,214,103,103,103,0.052,0.053,0.117,0.053,0.053,0.121
Undirected,N/A,sub-0132717_ses-1_connectome.csv,103,2577,0.491,2.923,192,192,192,104,104,104,0.052,0.053,0.121,0.051,0.052,0.12
Undirected,N/A,sub-0122169_ses-1_connectome.csv,103,3478,0.662,3.243,241,241,241,103,103,103,0.06,0.06,0.168,0.059,0.06,0.154
Undirected,N/A,sub-0126919_ses-1_connectome.csv,101,3099,0.614,2.839,238,238,238,101,101,101,0.058,0.058,0.134,0.057,0.058,0.137
Undirected,N/A,sub-0125762_ses-1_connectome.csv,102,2216,0.43,2.982,210,210,210,103,103,103,0.047,0.049,0.102,0.046,0.047,0.105
Undirected,N/A,sub-0123173_ses-1_connectome.csv,100,3184,0.643,2.779,229,229,229,101,101,101,0.058,0.061,0.135,0.057,0.059,0.152
Undirected,N/A,sub-0131832_ses-1_connectome.csv,101,2412,0.478,2.865,226,226,226,104,104,104,0.048,0.05,0.105,0.049,0.049,0.11
Undirected,N/A,sub-0120538_ses-1_connectome.csv,101,3318,0.657,3.664,223,223,223,103,103,103,0.062,0.06,0.147,0.058,0.061,0.151
Undirected,N/A,sub-0135671_ses-1_connectome.csv,101,2643,0.523,3.067,224,224,224,103,103,103,0.053,0.053,0.115,0.054,0.053,0.134
Undirected,N/A,sub-0133436_ses-1_connectome.csv,102,2189,0.425,2.823,203,203,203,104,104,104,0.048,0.047,0.097,0.046,0.048,0.103
Undirected,N/A,sub-0133894_ses-1_connectome.csv,101,2442,0.484,2.79,216,216,216,101,101,101,0.049,0.052,0.108,0.046,0.066,0.113
Undirected,N/A,sub-0136303_ses-1_connectome.csv,103,3020,0.575,3.028,230,230,230,102,102,102,0.057,0.061,0.131,0.057,0.059,0.137
Undirected,N/A,sub-0141473_ses-1_connectome.csv,100,2745,0.555,2.979,206,206,206,99,99,99,0.051,0.056,0.118,0.05,0.058,0.125
Undirected,N/A,sub-0137073_ses-1_connectome.csv,103,2925,0.557,2.98,189,189,189,102,102,102,0.057,0.059,0.128,0.056,0.06,0.136
Undirected,N/A,sub-0132850_ses-1_connectome.csv,102,3574,0.694,2.857,202,202,202,101,101,101,0.059,0.063,0.153,0.065,0.062,0.162
Undirected,N/A,sub-0144495_ses-1_connectome.csv,101,2690,0.533,2.975,210,210,210,101,101,101,0.05,0.054,0.117,0.053,0.053,0.124
Undirected,N/A,sub-0139212_ses-1_connectome.csv,99,2745,0.566,3.166,214,214,214,100,100,100,0.054,0.054,0.121,0.054,0.054,0.122
