type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0102157_ses-1_connectome.csv,66,1685,0.786,4.003,91,91,91,65,65,65,0.017,0.018,0.049,0.018,0.019,0.047
Undirected,N/A,sub-0105290_ses-1_connectome.csv,66,1754,0.818,4.133,95,95,95,65,65,65,0.018,0.018,0.046,0.018,0.019,0.05
Undirected,N/A,sub-0103714_ses-1_connectome.csv,66,1684,0.785,3.858,92,92,92,65,65,65,0.017,0.018,0.044,0.017,0.019,0.05
Undirected,N/A,sub-0110809_ses-1_connectome.csv,66,1686,0.786,3.749,92,92,92,65,65,65,0.017,0.017,0.044,0.017,0.018,0.047
Undirected,N/A,sub-0112249_ses-1_connectome.csv,66,1923,0.897,4.964,102,102,102,65,65,65,0.02,0.021,0.051,0.02,0.02,0.052
Undirected,N/A,sub-0103645_ses-1_connectome.csv,66,1888,0.88,4.917,83,83,83,65,65,65,0.018,0.02,0.051,0.019,0.02,0.051
Undirected,N/A,sub-0108355_ses-1_connectome.csv,66,1783,0.831,3.844,95,95,95,65,65,65,0.018,0.018,0.05,0.019,0.019,0.049
Undirected,N/A,sub-0113030_ses-1_connectome.csv,66,1600,0.746,3.698,79,79,79,65,65,65,0.016,0.017,0.042,0.017,0.019,0.048
Undirected,N/A,sub-0113013_ses-1_connectome.csv,66,1770,0.825,3.759,88,88,88,65,65,65,0.017,0.018,0.21,0.019,0.02,0.051
Undirected,N/A,sub-0116415_ses-1_connectome.csv,66,1624,0.757,3.39,92,92,92,65,65,65,0.017,0.018,0.043,0.018,0.018,0.048
Undirected,N/A,sub-0109819_ses-1_connectome.csv,66,1716,0.8,3.631,91,91,91,65,65,65,0.017,0.018,0.045,0.018,0.018,0.051
Undirected,N/A,sub-0112828_ses-1_connectome.csv,66,1891,0.882,5.139,84,84,84,65,65,65,0.019,0.02,0.052,0.019,0.02,0.052
Undirected,N/A,sub-0111282_ses-1_connectome.csv,66,1842,0.859,4.174,88,88,88,65,65,65,0.018,0.02,0.051,0.018,0.019,0.051
Undirected,N/A,sub-0116039_ses-1_connectome.csv,66,1575,0.734,3.266,94,94,94,65,65,65,0.017,0.017,0.042,0.018,0.019,0.046
Undirected,N/A,sub-0114232_ses-1_connectome.csv,66,1645,0.767,3.457,96,96,96,66,66,66,0.017,0.017,0.044,0.018,0.019,0.049
Undirected,N/A,sub-0115564_ses-1_connectome.csv,66,1595,0.744,3.692,80,80,80,66,66,66,0.017,0.017,0.042,0.017,0.017,0.045
Undirected,N/A,sub-0106780_ses-1_connectome.csv,66,1578,0.736,3.486,92,92,92,65,65,65,0.018,0.019,0.045,0.017,0.018,0.044
Undirected,N/A,sub-0116834_ses-1_connectome.csv,66,1866,0.87,4.391,92,92,92,65,65,65,0.018,0.019,0.052,0.02,0.02,0.051
Undirected,N/A,sub-0120538_ses-1_connectome.csv,66,1789,0.834,4.177,96,96,96,65,65,65,0.018,0.019,0.047,0.019,0.02,0.051
Undirected,N/A,sub-0117168_ses-1_connectome.csv,66,1749,0.815,4.196,98,98,98,65,65,65,0.018,0.018,0.046,0.018,0.019,0.053
Undirected,N/A,sub-0115824_ses-1_connectome.csv,66,1560,0.727,3.345,90,90,90,65,65,65,0.016,0.017,0.042,0.016,0.017,0.044
Undirected,N/A,sub-0116065_ses-1_connectome.csv,66,1771,0.826,4.177,91,91,91,65,65,65,0.018,0.019,0.048,0.018,0.018,0.049
Undirected,N/A,sub-0119866_ses-1_connectome.csv,66,1337,0.623,3.838,83,83,83,65,65,65,0.015,0.016,0.039,0.016,0.016,0.039
Undirected,N/A,sub-0115321_ses-1_connectome.csv,66,1649,0.769,3.815,87,87,87,65,65,65,0.017,0.017,0.045,0.018,0.019,0.051
Undirected,N/A,sub-0116842_ses-1_connectome.csv,66,1888,0.88,4.184,101,101,101,65,65,65,0.019,0.019,0.05,0.019,0.021,0.054
Undirected,N/A,sub-0125762_ses-1_connectome.csv,66,1595,0.744,3.385,106,106,106,65,65,65,0.016,0.017,0.043,0.017,0.017,0.048
Undirected,N/A,sub-0122844_ses-1_connectome.csv,66,1549,0.722,3.807,84,84,84,65,65,65,0.016,0.017,0.043,0.016,0.017,0.044
Undirected,N/A,sub-0132717_ses-1_connectome.csv,66,1626,0.758,3.731,87,87,87,65,65,65,0.017,0.017,0.047,0.018,0.019,0.049
Undirected,N/A,sub-0122816_ses-1_connectome.csv,66,1469,0.685,3.498,88,88,88,65,65,65,0.016,0.016,0.041,0.017,0.017,0.043
Undirected,N/A,sub-0127800_ses-1_connectome.csv,66,1365,0.636,3.281,101,101,101,65,65,65,0.015,0.016,0.037,0.016,0.016,0.04
Undirected,N/A,sub-0118051_ses-1_connectome.csv,66,1747,0.814,4.058,86,86,86,65,65,65,0.018,0.019,0.049,0.018,0.019,0.048
Undirected,N/A,sub-0126919_ses-1_connectome.csv,66,1792,0.835,4.226,102,102,102,65,65,65,0.018,0.019,0.05,0.018,0.019,0.049
Undirected,N/A,sub-0123173_ses-1_connectome.csv,66,1793,0.836,4.137,93,93,93,65,65,65,0.018,0.018,0.047,0.019,0.02,0.052
Undirected,N/A,sub-0131832_ses-1_connectome.csv,66,1625,0.758,4.23,90,90,90,65,65,65,0.017,0.018,0.044,0.018,0.019,0.049
Undirected,N/A,sub-0122169_ses-1_connectome.csv,66,1883,0.878,4.599,91,91,91,65,65,65,0.019,0.02,0.05,0.019,0.02,0.052
Undirected,N/A,sub-0133436_ses-1_connectome.csv,66,1605,0.748,3.471,88,88,88,65,65,65,0.017,0.018,0.045,0.017,0.018,0.046
Undirected,N/A,sub-0132995_ses-1_connectome.csv,66,1493,0.696,3.367,90,90,90,65,65,65,0.016,0.017,0.046,0.017,0.017,0.042
Undirected,N/A,sub-0123429_ses-1_connectome.csv,65,1606,0.772,3.442,90,90,90,64,64,64,0.016,0.017,0.044,0.017,0.018,0.046
Undirected,N/A,sub-0137073_ses-1_connectome.csv,66,1737,0.81,4.09,89,89,89,65,65,65,0.018,0.018,0.045,0.018,0.019,0.05
Undirected,N/A,sub-0132850_ses-1_connectome.csv,66,1904,0.888,4.838,95,95,95,65,65,65,0.019,0.02,0.053,0.02,0.02,0.052
Undirected,N/A,sub-0137496_ses-1_connectome.csv,66,1776,0.828,3.911,98,98,98,65,65,65,0.019,0.019,0.048,0.018,0.019,0.049
Undirected,N/A,sub-0139212_ses-1_connectome.csv,66,1805,0.841,4.151,98,98,98,65,65,65,0.018,0.02,0.053,0.02,0.02,0.051
Undirected,N/A,sub-0135671_ses-1_connectome.csv,66,1660,0.774,4.059,94,94,94,65,65,65,0.017,0.017,0.047,0.018,0.018,0.047
Undirected,N/A,sub-0136303_ses-1_connectome.csv,66,1636,0.763,3.507,89,89,89,65,65,65,0.018,0.018,0.045,0.018,0.019,0.048
Undirected,N/A,sub-0142673_ses-1_connectome.csv,66,1762,0.821,4.362,103,103,103,65,65,65,0.019,0.018,0.047,0.018,0.019,0.053
Undirected,N/A,sub-0139480_ses-1_connectome.csv,66,1910,0.89,4.752,80,80,80,65,65,65,0.019,0.02,0.05,0.019,0.02,0.052
Undirected,N/A,sub-0144344_ses-1_connectome.csv,66,1701,0.793,3.749,92,92,92,65,65,65,0.018,0.019,0.047,0.018,0.018,0.047
Undirected,N/A,sub-0133894_ses-1_connectome.csv,66,1691,0.788,3.451,87,87,87,65,65,65,0.018,0.019,0.049,0.018,0.019,0.047
