type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0105290_ses-1_connectome.csv,27,257,0.732,3.881,40,40,40,26,26,26,0.002,0.002,0.004,0.002,0.002,0.005
Undirected,N/A,sub-0112828_ses-1_connectome.csv,21,169,0.805,3.79,24,24,24,23,23,23,0.001,0.001,0.002,0.001,0.002,0.003
Undirected,N/A,sub-0106780_ses-1_connectome.csv,24,193,0.699,4.809,39,39,39,23,23,23,0.001,0.002,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0103645_ses-1_connectome.csv,41,543,0.662,4.064,58,58,58,41,41,41,0.005,0.005,0.012,0.005,0.005,0.012
Undirected,N/A,sub-0115824_ses-1_connectome.csv,5,7,0.7,1.581,5,5,5,5,5,5,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0109819_ses-1_connectome.csv,31,312,0.671,2.859,40,40,40,30,30,30,0.002,0.003,0.006,0.002,0.003,0.006
Undirected,N/A,sub-0108355_ses-1_connectome.csv,23,222,0.877,8.544,31,31,31,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0111282_ses-1_connectome.csv,22,182,0.788,6.671,36,36,36,25,25,25,0.001,0.001,0.003,0.001,0.002,0.003
Undirected,N/A,sub-0113030_ses-1_connectome.csv,8,28,1.0,5.196,8,8,8,7,7,7,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0114232_ses-1_connectome.csv,22,173,0.749,2.847,33,33,33,22,22,22,0.001,0.001,0.003,0.001,0.001,0.003
Undirected,N/A,sub-0115321_ses-1_connectome.csv,20,166,0.874,7.371,27,27,27,23,23,23,0.001,0.001,0.002,0.001,0.001,0.002
