type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0102157_ses-1_connectome.csv,300,15957,0.356,2.388,759,759,759,312,312,312,0.91,0.916,2.008,0.916,0.942,2.063
Undirected,N/A,sub-0103645_ses-1_connectome.csv,299,17482,0.392,2.369,714,714,714,300,300,300,0.981,1.004,2.254,0.976,1.023,2.272
Undirected,N/A,sub-0108355_ses-1_connectome.csv,300,16465,0.367,2.384,744,744,744,299,299,299,0.907,0.963,2.066,0.923,0.933,2.169
Undirected,N/A,sub-0105290_ses-1_connectome.csv,300,14486,0.323,2.341,612,612,612,300,300,300,0.816,0.866,1.833,0.828,0.846,1.924
Undirected,N/A,sub-0110809_ses-1_connectome.csv,298,15754,0.356,2.437,742,742,742,298,298,298,0.894,0.931,1.969,0.889,0.922,2.045
Undirected,N/A,sub-0109819_ses-1_connectome.csv,300,15582,0.347,2.559,808,808,808,300,300,300,0.861,0.916,1.96,0.869,0.874,2.088
Undirected,N/A,sub-0103714_ses-1_connectome.csv,298,15819,0.357,2.446,748,748,748,297,297,297,0.891,0.933,1.97,0.901,0.925,2.31
Undirected,N/A,sub-0111282_ses-1_connectome.csv,300,15512,0.346,2.451,781,781,781,302,302,302,0.881,0.943,1.97,0.876,0.878,2.08
Undirected,N/A,sub-0112249_ses-1_connectome.csv,299,17560,0.394,2.276,691,691,691,307,307,307,0.984,1.032,2.271,0.986,1.007,2.313
Undirected,N/A,sub-0112828_ses-1_connectome.csv,300,15552,0.347,2.257,778,778,778,303,303,303,0.945,0.995,2.042,0.921,0.936,2.065
Undirected,N/A,sub-0113013_ses-1_connectome.csv,300,12383,0.276,2.229,697,697,697,303,303,303,0.763,0.797,1.622,0.767,0.789,1.655
Undirected,N/A,sub-0113030_ses-1_connectome.csv,300,12146,0.271,2.517,744,744,744,314,314,314,0.726,0.749,1.576,0.698,0.716,1.652
Undirected,N/A,sub-0106780_ses-1_connectome.csv,296,11237,0.257,2.42,689,689,689,302,302,302,0.666,0.704,1.445,0.655,0.676,1.495
Undirected,N/A,sub-0115321_ses-1_connectome.csv,300,13244,0.295,2.459,722,722,722,307,307,307,0.782,0.804,1.685,0.785,0.78,1.739
Undirected,N/A,sub-0116415_ses-1_connectome.csv,300,15719,0.35,2.615,664,664,664,299,299,299,0.811,0.844,2.017,0.801,0.834,2.061
Undirected,N/A,sub-0115824_ses-1_connectome.csv,300,12723,0.284,2.417,773,773,773,303,303,303,0.729,0.764,1.618,0.714,0.744,1.674
Undirected,N/A,sub-0114232_ses-1_connectome.csv,300,12953,0.289,2.277,753,753,753,304,304,304,0.755,0.798,1.666,0.751,0.784,1.719
Undirected,N/A,sub-0116834_ses-1_connectome.csv,300,14061,0.314,2.271,648,648,648,303,303,303,0.841,0.881,1.809,0.838,0.869,1.854
Undirected,N/A,sub-0115564_ses-1_connectome.csv,300,12406,0.277,2.441,722,722,722,307,307,307,0.726,0.755,1.604,0.724,0.742,1.659
Undirected,N/A,sub-0116039_ses-1_connectome.csv,299,13938,0.313,2.407,737,737,737,299,299,299,0.807,0.833,1.768,0.787,0.807,1.856
Undirected,N/A,sub-0118051_ses-1_connectome.csv,300,13020,0.29,2.336,786,786,786,306,306,306,0.774,0.816,1.684,0.773,0.793,1.734
Undirected,N/A,sub-0117168_ses-1_connectome.csv,300,12852,0.287,2.32,668,668,668,317,317,317,0.809,0.836,1.692,0.795,0.807,1.746
