type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0103645_ses-1_connectome.csv,997,96818,0.195,1.851,2538,2538,2538,1124,1124,1124,28.82,29.801,57.263,29.0,30.488,58.199
Undirected,N/A,sub-0109819_ses-1_connectome.csv,977,69869,0.147,1.804,2382,2382,2382,1109,1109,1109,19.295,19.754,38.431,19.203,19.978,38.346
Undirected,N/A,sub-0108355_ses-1_connectome.csv,1002,77786,0.155,1.825,2364,2364,2364,1122,1122,1122,22.872,23.39,45.081,22.452,23.417,44.56
Undirected,N/A,sub-0102157_ses-1_connectome.csv,958,70248,0.153,1.87,2274,2274,2274,1058,1058,1058,19.25,20.097,37.513,19.232,20.406,38.335
Undirected,N/A,sub-0103714_ses-1_connectome.csv,957,69677,0.152,1.873,2275,2275,2275,1059,1059,1059,19.734,20.194,36.928,19.321,20.216,37.527
Undirected,N/A,sub-0110809_ses-1_connectome.csv,959,69938,0.152,1.872,2282,2282,2282,1064,1064,1064,19.251,20.107,37.673,19.401,20.133,37.838
Undirected,N/A,sub-0106780_ses-1_connectome.csv,919,46150,0.109,1.863,2095,2095,2095,1069,1069,1069,11.663,11.944,21.186,11.56,11.678,21.397
Undirected,N/A,sub-0111282_ses-1_connectome.csv,941,60153,0.136,1.841,2139,2139,2139,1051,1051,1051,15.775,16.284,29.66,15.58,16.086,30.035
Undirected,N/A,sub-0105290_ses-1_connectome.csv,958,63828,0.139,1.814,2330,2330,2330,1104,1104,1104,16.693,17.448,32.734,16.676,17.483,32.722
Undirected,N/A,sub-0112249_ses-1_connectome.csv,962,85015,0.184,1.819,2214,2214,2214,1127,1127,1127,25.377,26.227,47.88,25.182,26.216,47.709
Undirected,N/A,sub-0112828_ses-1_connectome.csv,983,75235,0.156,1.752,2448,2448,2448,1110,1110,1110,21.415,22.037,41.54,21.204,22.228,41.713
