type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0102157_ses-1_connectome.csv,650,61159,0.29,2.337,1416,1416,1416,797,797,797,9.192,9.319,19.241,9.349,9.574,19.797
Undirected,N/A,sub-0103645_ses-1_connectome.csv,682,90309,0.389,2.356,1378,1378,1378,820,820,820,13.153,13.786,33.947,14.001,14.526,34.695
Undirected,N/A,sub-0106780_ses-1_connectome.csv,672,54755,0.243,2.191,1543,1543,1543,881,881,881,8.902,9.141,17.624,9.012,9.146,18.221
Undirected,N/A,sub-0105290_ses-1_connectome.csv,646,60649,0.291,2.293,1471,1471,1471,880,880,880,9.022,9.209,18.355,9.268,9.543,19.3
Undirected,N/A,sub-0103714_ses-1_connectome.csv,651,61122,0.289,2.303,1420,1420,1420,817,817,817,9.215,9.338,19.091,9.309,9.493,19.507
Undirected,N/A,sub-0108355_ses-1_connectome.csv,682,75209,0.324,2.241,1399,1399,1399,851,851,851,12.018,12.188,26.284,11.855,12.24,26.84
Undirected,N/A,sub-0112828_ses-1_connectome.csv,655,78772,0.368,2.317,1370,1370,1370,816,816,816,11.069,11.429,26.417,11.323,11.752,26.959
Undirected,N/A,sub-0112249_ses-1_connectome.csv,682,91580,0.394,2.403,1438,1438,1438,869,869,869,13.338,13.739,33.797,13.497,14.268,34.453
Undirected,N/A,sub-0113013_ses-1_connectome.csv,653,59779,0.281,2.23,1537,1537,1537,906,906,906,9.044,9.25,18.835,9.11,9.483,19.042
Undirected,N/A,sub-0111282_ses-1_connectome.csv,660,64725,0.298,2.266,1390,1390,1390,865,865,865,9.841,10.148,21.149,9.974,10.39,21.222
Undirected,N/A,sub-0109819_ses-1_connectome.csv,663,63371,0.289,2.209,1353,1353,1353,866,866,866,9.94,10.348,21.368,10.716,10.296,20.712
Undirected,N/A,sub-0113030_ses-1_connectome.csv,685,61646,0.263,2.175,1459,1459,1459,909,909,909,9.861,10.205,20.596,9.961,10.389,20.823
Undirected,N/A,sub-0110809_ses-1_connectome.csv,655,61229,0.286,2.328,1460,1460,1460,859,859,859,9.37,9.453,19.581,9.421,9.718,20.022
Undirected,N/A,sub-0115564_ses-1_connectome.csv,624,49699,0.256,2.212,1366,1366,1366,841,841,841,7.236,7.383,14.224,7.275,7.526,14.563
Undirected,N/A,sub-0114232_ses-1_connectome.csv,660,55055,0.253,2.143,1458,1458,1458,886,886,886,8.437,8.737,17.015,8.626,8.866,17.469
Undirected,N/A,sub-0115824_ses-1_connectome.csv,658,51131,0.237,2.203,1489,1489,1489,863,863,863,7.804,7.98,15.314,7.985,8.175,15.827
Undirected,N/A,sub-0116039_ses-1_connectome.csv,664,57566,0.262,2.174,1504,1504,1504,912,912,912,8.826,9.118,17.972,9.097,9.3,18.61
Undirected,N/A,sub-0115321_ses-1_connectome.csv,658,59678,0.276,2.208,1424,1424,1424,847,847,847,9.029,9.237,18.566,9.179,9.483,19.111
Undirected,N/A,sub-0116842_ses-1_connectome.csv,631,65215,0.328,2.309,1376,1376,1376,804,804,804,9.174,9.45,20.125,9.295,9.681,20.751
Undirected,N/A,sub-0116415_ses-1_connectome.csv,694,64267,0.267,2.188,1386,1386,1386,814,814,814,9.811,10.266,21.855,9.979,10.299,22.397
Undirected,N/A,sub-0116834_ses-1_connectome.csv,674,68216,0.301,2.248,1275,1275,1275,831,831,831,10.567,10.912,22.367,10.811,11.204,23.107
Undirected,N/A,sub-0116065_ses-1_connectome.csv,636,62035,0.307,2.288,1467,1467,1467,844,844,844,8.965,9.265,19.02,9.237,9.463,20.19
Undirected,N/A,sub-0117168_ses-1_connectome.csv,673,63645,0.281,2.213,1577,1577,1577,886,886,886,10.155,10.445,20.662,10.362,10.55,21.258
Undirected,N/A,sub-0120538_ses-1_connectome.csv,678,73895,0.322,2.396,1402,1402,1402,843,843,843,11.487,11.714,25.626,11.587,11.938,26.141
Undirected,N/A,sub-0118051_ses-1_connectome.csv,676,67880,0.298,2.296,1454,1454,1454,840,840,840,10.553,10.9,22.83,10.822,11.116,23.364
Undirected,N/A,sub-0119866_ses-1_connectome.csv,688,49249,0.208,2.261,1555,1555,1555,903,903,903,7.848,8.045,15.537,7.944,8.12,16.127
Undirected,N/A,sub-0122169_ses-1_connectome.csv,668,71857,0.323,2.354,1422,1422,1422,841,841,841,10.684,11.023,23.981,10.877,11.32,24.528
Undirected,N/A,sub-0122844_ses-1_connectome.csv,619,43866,0.229,2.154,1430,1430,1430,951,951,951,6.566,6.563,12.041,6.53,6.757,12.343
Undirected,N/A,sub-0122816_ses-1_connectome.csv,607,49675,0.27,2.305,1379,1379,1379,872,872,872,6.987,7.142,13.658,7.028,7.226,13.845
Undirected,N/A,sub-0123173_ses-1_connectome.csv,675,68909,0.303,2.232,1504,1504,1504,919,919,919,11.012,11.63,23.86,11.006,11.596,24.103
Undirected,N/A,sub-0123429_ses-1_connectome.csv,665,59117,0.268,2.156,1514,1514,1514,860,860,860,9.389,9.519,18.666,9.456,9.681,19.302
Undirected,N/A,sub-0126919_ses-1_connectome.csv,689,72393,0.305,2.21,1540,1540,1540,881,881,881,11.671,12.046,25.774,11.844,12.205,25.864
Undirected,N/A,sub-0125762_ses-1_connectome.csv,620,47805,0.249,2.117,1475,1475,1475,834,834,834,6.774,6.878,13.523,6.942,7.093,13.827
Undirected,N/A,sub-0132995_ses-1_connectome.csv,651,49868,0.236,2.202,1556,1556,1556,959,959,959,7.567,7.703,14.732,7.701,7.878,15.055
Undirected,N/A,sub-0127800_ses-1_connectome.csv,639,42361,0.208,2.208,1497,1497,1497,878,878,878,6.293,6.526,12.257,6.267,6.51,12.322
Undirected,N/A,sub-0133436_ses-1_connectome.csv,654,54036,0.253,2.194,1379,1379,1379,782,782,782,8.163,8.334,16.324,8.245,8.51,16.738
Undirected,N/A,sub-0132850_ses-1_connectome.csv,690,84187,0.354,2.26,1336,1336,1336,872,872,872,13.448,13.734,30.848,13.507,13.828,31.562
Undirected,N/A,sub-0133894_ses-1_connectome.csv,662,55160,0.252,2.121,1504,1504,1504,916,916,916,8.425,8.614,17.161,8.545,8.84,17.613
Undirected,N/A,sub-0131832_ses-1_connectome.csv,675,57729,0.254,2.256,1563,1563,1563,964,964,964,8.977,9.326,18.323,9.168,9.459,18.719
Undirected,N/A,sub-0135671_ses-1_connectome.csv,661,56845,0.261,2.267,1573,1573,1573,944,944,944,8.82,9.695,17.947,8.96,9.121,17.999
Undirected,N/A,sub-0132717_ses-1_connectome.csv,668,61070,0.274,2.254,1604,1604,1604,929,929,929,9.652,9.975,20.022,9.934,10.219,20.174
Undirected,N/A,sub-0137073_ses-1_connectome.csv,664,67394,0.306,2.247,1433,1433,1433,842,842,842,10.146,10.42,22.025,10.301,10.668,22.43
Undirected,N/A,sub-0136303_ses-1_connectome.csv,666,64130,0.29,2.273,1477,1477,1477,914,914,914,9.76,10.077,20.389,10.316,10.357,21.203
Undirected,N/A,sub-0139212_ses-1_connectome.csv,626,59109,0.302,2.309,1366,1366,1366,815,815,815,8.345,8.494,17.159,8.668,8.785,17.751
Undirected,N/A,sub-0137496_ses-1_connectome.csv,648,60186,0.287,2.168,1471,1471,1471,938,938,938,9.079,9.303,18.367,9.209,9.492,18.825
Undirected,N/A,sub-0137714_ses-1_connectome.csv,654,43909,0.206,2.312,1588,1588,1588,909,909,909,6.555,6.708,12.72,6.599,6.746,13.194
Undirected,N/A,sub-0141473_ses-1_connectome.csv,665,59939,0.271,2.172,1437,1437,1437,893,893,893,9.188,9.398,18.776,9.183,9.562,19.166
Undirected,N/A,sub-0144495_ses-1_connectome.csv,684,68845,0.295,2.181,1476,1476,1476,822,822,822,10.452,10.81,23.471,10.648,11.151,23.874
Undirected,N/A,sub-0144344_ses-1_connectome.csv,650,60991,0.289,2.318,1399,1399,1399,789,789,789,9.084,9.45,19.401,9.375,9.901,19.26
Undirected,N/A,sub-0142673_ses-1_connectome.csv,677,73136,0.32,2.301,1369,1369,1369,888,888,888,11.576,11.798,25.257,11.854,12.202,25.851
Undirected,N/A,sub-0139480_ses-1_connectome.csv,671,75948,0.338,2.329,1452,1452,1452,920,920,920,11.414,11.766,25.968,11.589,11.991,26.732
Undirected,N/A,sub-0146714_ses-1_connectome.csv,667,65523,0.295,2.332,1554,1554,1554,906,906,906,10.218,10.581,21.496,10.332,10.567,21.813
Undirected,N/A,sub-0149794_ses-1_connectome.csv,665,59163,0.268,2.194,1606,1606,1606,941,941,941,8.938,9.197,18.654,9.093,9.372,19.06
Undirected,N/A,sub-0144667_ses-1_connectome.csv,685,59663,0.255,2.278,1570,1570,1570,958,958,958,9.722,10.01,19.646,9.826,10.093,20.052
Undirected,N/A,sub-0146865_ses-1_connectome.csv,636,41853,0.207,2.258,1598,1598,1598,985,985,985,6.531,6.669,11.781,6.632,6.725,12.325
