type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0102157_ses-1_connectome.csv,7,21,1.0,4.472,7,7,7,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0105290_ses-1_connectome.csv,7,21,1.0,4.472,8,8,8,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0103645_ses-1_connectome.csv,7,21,1.0,4.472,8,8,8,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0108355_ses-1_connectome.csv,7,21,1.0,4.472,7,7,7,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0109819_ses-1_connectome.csv,7,21,1.0,4.472,8,8,8,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0103714_ses-1_connectome.csv,7,21,1.0,4.472,7,7,7,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0112249_ses-1_connectome.csv,7,21,1.0,4.472,6,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0106780_ses-1_connectome.csv,7,21,1.0,4.472,7,7,7,6,6,6,0.0,0.0,0.001,0.0,0.0,0.0
Undirected,N/A,sub-0110809_ses-1_connectome.csv,7,21,1.0,4.472,7,7,7,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0111282_ses-1_connectome.csv,7,21,1.0,4.472,6,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0112828_ses-1_connectome.csv,7,21,1.0,4.472,6,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0115564_ses-1_connectome.csv,7,21,1.0,4.472,8,8,8,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0113030_ses-1_connectome.csv,7,21,1.0,4.472,7,7,7,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0114232_ses-1_connectome.csv,7,21,1.0,4.472,8,8,8,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0115824_ses-1_connectome.csv,7,21,1.0,4.472,6,6,6,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0115321_ses-1_connectome.csv,7,21,1.0,4.472,7,7,7,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0116415_ses-1_connectome.csv,7,21,1.0,4.472,8,8,8,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0116039_ses-1_connectome.csv,7,21,1.0,4.472,8,8,8,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0122816_ses-1_connectome.csv,7,21,1.0,4.472,8,8,8,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0113013_ses-1_connectome.csv,7,21,1.0,4.472,7,7,7,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0116065_ses-1_connectome.csv,7,21,1.0,4.472,8,8,8,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
Undirected,N/A,sub-0116842_ses-1_connectome.csv,7,21,1.0,4.472,7,7,7,6,6,6,0.0,0.0,0.0,0.0,0.0,0.0
