type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-1_connectome.csv,116,4919,0.737,3.091,289,289,289,115,115,115,0.091,0.093,0.246,0.09,0.09,0.263
Undirected,N/A,sub-0025630_ses-1_connectome.csv,116,4794,0.719,3.166,292,292,292,115,115,115,0.085,0.088,0.237,0.085,0.088,0.264
Undirected,N/A,sub-0025631_ses-2_connectome.csv,116,5294,0.794,3.407,279,279,279,116,116,116,0.088,0.089,0.253,0.088,0.089,0.263
Undirected,N/A,sub-0025629_ses-2_connectome.csv,116,4744,0.711,3.204,277,277,277,115,115,115,0.101,0.088,0.231,0.105,0.087,0.243
Undirected,N/A,sub-0025634_ses-2_connectome.csv,116,4950,0.742,3.234,294,294,294,115,115,115,0.084,0.087,0.241,0.086,0.087,0.251
Undirected,N/A,sub-0025632_ses-2_connectome.csv,116,5681,0.852,3.751,264,264,264,115,115,115,0.091,0.094,0.27,0.093,0.111,0.626
Undirected,N/A,sub-0025634_ses-1_connectome.csv,116,5147,0.772,3.445,296,296,296,115,115,115,0.088,0.091,0.252,0.087,0.089,0.257
Undirected,N/A,sub-0025630_ses-2_connectome.csv,116,4877,0.731,3.258,276,276,276,115,115,115,0.086,0.088,0.235,0.089,0.088,0.246
Undirected,N/A,sub-0025631_ses-1_connectome.csv,116,5417,0.812,3.605,272,272,272,115,115,115,0.089,0.091,0.261,0.092,0.093,0.271
Undirected,N/A,sub-0025632_ses-1_connectome.csv,116,5421,0.813,3.695,286,286,286,115,115,115,0.089,0.092,0.258,0.09,0.092,0.272
Undirected,N/A,sub-0025633_ses-2_connectome.csv,116,5125,0.768,3.267,244,244,244,115,115,115,0.087,0.089,0.251,0.09,0.09,0.262
Undirected,N/A,sub-0025635_ses-1_connectome.csv,116,5528,0.829,3.66,266,266,266,115,115,115,0.094,0.094,0.276,0.096,0.095,0.287
Undirected,N/A,sub-0025639_ses-1_connectome.csv,111,4049,0.663,2.971,214,214,214,110,110,110,0.074,0.077,0.192,0.076,0.075,0.201
Undirected,N/A,sub-0025633_ses-1_connectome.csv,116,5314,0.797,3.163,281,281,281,115,115,115,0.091,0.093,0.252,0.092,0.093,0.264
Undirected,N/A,sub-0025636_ses-2_connectome.csv,114,5287,0.821,3.369,263,263,263,114,114,114,0.086,0.087,0.25,0.087,0.088,0.256
Undirected,N/A,sub-0025637_ses-2_connectome.csv,116,4975,0.746,3.293,259,259,259,115,115,115,0.086,0.089,0.238,0.088,0.089,0.251
Undirected,N/A,sub-0025635_ses-2_connectome.csv,116,5861,0.879,4.351,259,259,259,115,115,115,0.094,0.097,0.283,0.1,0.102,0.288
Undirected,N/A,sub-0025637_ses-1_connectome.csv,116,4814,0.722,3.058,240,240,240,115,115,115,0.084,0.086,0.232,0.087,0.087,0.241
Undirected,N/A,sub-0025636_ses-1_connectome.csv,116,5453,0.818,3.603,270,270,270,115,115,115,0.09,0.092,0.257,0.091,0.092,0.274
Undirected,N/A,sub-0025639_ses-2_connectome.csv,116,4535,0.68,3.442,268,268,268,115,115,115,0.087,0.088,0.223,0.087,0.088,0.233
Undirected,N/A,sub-0025640_ses-1_connectome.csv,116,4594,0.689,3.053,276,276,276,120,120,120,0.093,0.084,0.223,0.083,0.084,0.228
Undirected,N/A,sub-0025638_ses-1_connectome.csv,116,5474,0.821,3.862,257,257,257,115,115,115,0.089,0.091,0.262,0.092,0.092,0.272
Undirected,N/A,sub-0025638_ses-2_connectome.csv,116,4888,0.733,3.415,313,313,313,115,115,115,0.087,0.088,0.239,0.088,0.087,0.245
Undirected,N/A,sub-0025641_ses-2_connectome.csv,116,5100,0.765,3.351,271,271,271,115,115,115,0.086,0.088,0.243,0.092,0.089,0.254
Undirected,N/A,sub-0025641_ses-1_connectome.csv,116,5190,0.778,3.327,276,276,276,115,115,115,0.088,0.089,0.249,0.089,0.091,0.258
Undirected,N/A,sub-0025643_ses-1_connectome.csv,116,5232,0.784,3.443,263,263,263,116,116,116,0.085,0.087,0.247,0.087,0.088,0.262
Undirected,N/A,sub-0025640_ses-2_connectome.csv,116,5103,0.765,3.264,269,269,269,115,115,115,0.088,0.09,0.242,0.089,0.09,0.26
Undirected,N/A,sub-0025643_ses-2_connectome.csv,116,4657,0.698,3.394,268,268,268,116,116,116,0.082,0.084,0.22,0.083,0.084,0.233
Undirected,N/A,sub-0025642_ses-2_connectome.csv,116,4642,0.696,2.941,283,283,283,115,115,115,0.084,0.089,0.227,0.084,0.085,0.24
Undirected,N/A,sub-0025645_ses-1_connectome.csv,111,4953,0.811,3.863,215,215,215,110,110,110,0.079,0.081,0.23,0.081,0.083,0.235
Undirected,N/A,sub-0025645_ses-2_connectome.csv,115,5046,0.77,3.184,246,246,246,114,114,114,0.084,0.086,0.238,0.09,0.09,0.248
Undirected,N/A,sub-0025646_ses-1_connectome.csv,116,5062,0.759,3.044,281,281,281,115,115,115,0.087,0.091,0.241,0.088,0.089,0.259
Undirected,N/A,sub-0025644_ses-2_connectome.csv,116,4869,0.73,3.263,266,266,266,115,115,115,0.084,0.086,0.232,0.085,0.087,0.248
Undirected,N/A,sub-0025644_ses-1_connectome.csv,115,5039,0.769,3.448,276,276,276,114,114,114,0.086,0.088,0.234,0.086,0.087,0.248
Undirected,N/A,sub-0025648_ses-1_connectome.csv,115,4986,0.761,3.23,242,242,242,114,114,114,0.082,0.089,0.237,0.083,0.085,0.246
Undirected,N/A,sub-0025647_ses-1_connectome.csv,114,5561,0.863,3.74,241,241,241,113,113,113,0.087,0.091,0.269,0.092,0.092,0.279
Undirected,N/A,sub-0025646_ses-2_connectome.csv,116,5163,0.774,3.305,275,275,275,115,115,115,0.092,0.093,0.251,0.093,0.093,0.258
Undirected,N/A,sub-0025642_ses-1_connectome.csv,116,4827,0.724,3.235,280,280,280,115,115,115,0.086,0.089,0.232,0.091,0.088,0.245
