type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-1_connectome.csv,374,33324,0.478,2.389,980,980,980,384,384,384,2.207,2.223,5.152,2.22,2.277,5.385
Undirected,N/A,sub-0025631_ses-1_connectome.csv,381,33471,0.462,2.429,908,908,908,400,400,400,2.376,2.368,5.404,2.386,2.457,5.58
Undirected,N/A,sub-0025631_ses-2_connectome.csv,384,37292,0.507,2.524,1075,1075,1075,390,390,390,2.493,2.505,6.005,2.503,2.571,6.251
Undirected,N/A,sub-0025629_ses-2_connectome.csv,382,28812,0.396,2.376,1053,1053,1053,395,395,395,2.21,2.219,4.618,2.184,2.218,4.84
Undirected,N/A,sub-0025630_ses-2_connectome.csv,382,28327,0.389,2.34,1040,1040,1040,397,397,397,2.176,2.192,4.836,2.186,2.236,4.757
Undirected,N/A,sub-0025633_ses-2_connectome.csv,384,35140,0.478,2.38,1092,1092,1092,401,401,401,2.476,2.493,5.765,2.509,2.554,5.953
Undirected,N/A,sub-0025634_ses-2_connectome.csv,381,29907,0.413,2.4,1033,1033,1033,389,389,389,2.21,2.216,4.777,2.17,2.255,4.935
Undirected,N/A,sub-0025635_ses-1_connectome.csv,381,36484,0.504,2.525,991,991,991,386,386,386,2.411,2.434,5.776,2.413,2.466,6.055
Undirected,N/A,sub-0025636_ses-1_connectome.csv,384,38073,0.518,2.534,1068,1068,1068,392,392,392,2.493,2.516,6.221,2.523,2.543,6.414
Undirected,N/A,sub-0025632_ses-2_connectome.csv,382,36922,0.507,2.493,1101,1101,1101,385,385,385,2.434,2.449,5.908,2.449,2.489,6.153
Undirected,N/A,sub-0025636_ses-2_connectome.csv,384,38330,0.521,2.511,1011,1011,1011,388,388,388,2.511,2.517,6.183,2.529,2.545,6.469
Undirected,N/A,sub-0025633_ses-1_connectome.csv,382,33307,0.458,2.324,1042,1042,1042,398,398,398,2.389,2.366,5.371,2.362,2.419,5.539
Undirected,N/A,sub-0025632_ses-1_connectome.csv,383,35231,0.482,2.57,1070,1070,1070,389,389,389,2.418,2.43,5.686,2.389,2.455,5.849
Undirected,N/A,sub-0025637_ses-2_connectome.csv,384,32369,0.44,2.388,1053,1053,1053,386,386,386,2.308,2.326,5.24,2.3,2.391,5.471
Undirected,N/A,sub-0025637_ses-1_connectome.csv,382,29419,0.404,2.275,955,955,955,400,400,400,2.191,2.197,4.741,2.159,2.252,4.924
Undirected,N/A,sub-0025635_ses-2_connectome.csv,381,41058,0.567,2.624,1044,1044,1044,396,396,396,2.448,2.445,6.552,2.454,2.488,6.776
Undirected,N/A,sub-0025638_ses-2_connectome.csv,382,33145,0.455,2.602,997,997,997,382,382,382,2.297,2.294,5.33,2.279,2.292,5.511
