type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025630_ses-1_connectome.csv,41,805,0.982,8.916,63,63,63,40,40,40,0.006,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-0025630_ses-2_connectome.csv,41,797,0.972,8.088,67,67,67,40,40,40,0.007,0.007,0.015,0.006,0.006,0.016
Undirected,N/A,sub-0025629_ses-2_connectome.csv,41,794,0.968,8.073,61,61,61,40,40,40,0.006,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-0025631_ses-2_connectome.csv,41,813,0.991,10.031,60,60,60,40,40,40,0.007,0.007,0.016,0.007,0.007,0.019
Undirected,N/A,sub-0025632_ses-1_connectome.csv,41,804,0.98,10.67,60,60,60,40,40,40,0.007,0.007,0.015,0.006,0.007,0.016
Undirected,N/A,sub-0025633_ses-1_connectome.csv,41,807,0.984,7.526,57,57,57,40,40,40,0.006,0.007,0.015,0.006,0.006,0.016
Undirected,N/A,sub-0025629_ses-1_connectome.csv,41,810,0.988,10.012,70,70,70,40,40,40,0.007,0.007,0.016,0.007,0.007,0.017
Undirected,N/A,sub-0025632_ses-2_connectome.csv,41,799,0.974,7.776,55,55,55,40,40,40,0.006,0.008,0.016,0.007,0.007,0.016
Undirected,N/A,sub-0025631_ses-1_connectome.csv,41,814,0.993,14.23,63,63,63,40,40,40,0.006,0.007,0.015,0.007,0.008,0.017
Undirected,N/A,sub-0025635_ses-1_connectome.csv,41,810,0.988,11.576,58,58,58,40,40,40,0.006,0.007,0.016,0.007,0.007,0.016
Undirected,N/A,sub-0025637_ses-2_connectome.csv,41,801,0.977,8.894,59,59,59,40,40,40,0.007,0.007,0.016,0.007,0.007,0.016
