type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-2_connectome.csv,331,12818,0.235,1.935,662,662,662,338,338,338,0.94,0.985,1.899,0.951,0.988,1.964
Undirected,N/A,sub-0025629_ses-1_connectome.csv,327,15435,0.29,1.925,629,629,629,331,331,331,1.112,1.147,2.277,1.101,1.16,2.335
Undirected,N/A,sub-0025630_ses-1_connectome.csv,333,12515,0.226,1.964,619,619,619,337,337,337,0.921,0.953,1.906,0.922,0.957,1.948
Undirected,N/A,sub-0025633_ses-1_connectome.csv,324,12665,0.242,1.814,619,619,619,340,340,340,0.936,0.989,1.924,0.949,0.997,1.929
Undirected,N/A,sub-0025630_ses-2_connectome.csv,331,10869,0.199,2.021,655,655,655,346,346,346,0.832,0.869,1.798,0.818,0.855,1.698
Undirected,N/A,sub-0025632_ses-1_connectome.csv,331,14024,0.257,1.953,634,634,634,339,339,339,1.034,1.1,2.135,1.055,1.121,2.236
Undirected,N/A,sub-0025633_ses-2_connectome.csv,332,12869,0.234,1.827,653,653,653,340,340,340,0.99,1.029,2.056,0.973,1.014,2.039
Undirected,N/A,sub-0025635_ses-1_connectome.csv,332,16150,0.294,2.026,685,685,685,355,355,355,1.127,1.217,2.467,1.14,1.221,2.508
Undirected,N/A,sub-0025635_ses-2_connectome.csv,332,17385,0.316,1.942,652,652,652,344,344,344,1.244,1.321,2.621,1.235,1.319,2.697
Undirected,N/A,sub-0025636_ses-1_connectome.csv,332,15919,0.29,1.96,632,632,632,334,334,334,1.167,1.247,2.479,1.16,1.242,2.512
Undirected,N/A,sub-0025637_ses-1_connectome.csv,328,11593,0.216,1.935,628,628,628,342,342,342,0.902,0.94,1.781,0.897,0.931,1.816
Undirected,N/A,sub-0025631_ses-1_connectome.csv,333,15693,0.284,1.974,691,691,691,338,338,338,1.135,1.22,2.445,1.116,1.189,2.471
Undirected,N/A,sub-0025636_ses-2_connectome.csv,333,16931,0.306,2.089,649,649,649,333,333,333,1.201,1.285,2.579,1.198,1.262,2.688
Undirected,N/A,sub-0025638_ses-1_connectome.csv,329,16664,0.309,1.997,639,639,639,334,334,334,1.135,1.227,2.483,1.146,1.215,2.635
Undirected,N/A,sub-0025634_ses-1_connectome.csv,333,15474,0.28,1.953,692,692,692,340,340,340,1.175,1.221,2.363,1.163,1.225,2.485
Undirected,N/A,sub-0025634_ses-2_connectome.csv,332,13062,0.238,1.968,643,643,643,350,350,350,0.964,1.012,1.979,0.968,1.023,2.045
Undirected,N/A,sub-0025640_ses-1_connectome.csv,328,12188,0.227,1.895,655,655,655,337,337,337,0.904,0.94,1.815,0.903,0.948,1.873
Undirected,N/A,sub-0025632_ses-2_connectome.csv,329,16045,0.297,1.894,618,618,618,332,332,332,1.174,1.24,2.442,1.172,1.249,2.516
Undirected,N/A,sub-0025641_ses-2_connectome.csv,332,13608,0.248,1.87,644,644,644,338,338,338,1.021,1.072,2.076,1.025,1.052,2.188
Undirected,N/A,sub-0025639_ses-1_connectome.csv,333,12472,0.226,2.074,666,666,666,341,341,341,0.891,0.929,1.891,0.899,0.944,1.988
Undirected,N/A,sub-0025631_ses-2_connectome.csv,329,15125,0.28,1.978,659,659,659,334,334,334,1.096,1.175,2.319,1.087,1.171,2.359
Undirected,N/A,sub-0025638_ses-2_connectome.csv,333,15952,0.289,2.046,778,778,778,351,351,351,1.155,1.229,2.446,1.177,1.259,2.55
Undirected,N/A,sub-0025641_ses-1_connectome.csv,333,15349,0.278,1.994,669,669,669,337,337,337,1.109,1.162,2.332,1.105,1.182,2.41
Undirected,N/A,sub-0025642_ses-1_connectome.csv,333,13782,0.249,2.008,663,663,663,337,337,337,0.975,1.036,2.089,0.984,1.023,2.215
Undirected,N/A,sub-0025639_ses-2_connectome.csv,332,11190,0.204,1.974,641,641,641,347,347,347,0.859,0.91,1.744,0.854,0.892,1.788
Undirected,N/A,sub-0025640_ses-2_connectome.csv,331,14783,0.271,1.944,624,624,624,344,344,344,1.05,1.111,2.178,1.047,1.132,2.291
Undirected,N/A,sub-0025642_ses-2_connectome.csv,333,12946,0.234,2.122,653,653,653,340,340,340,0.912,0.949,2.005,0.92,0.969,2.068
