type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-1_connectome.csv,199,11204,0.569,2.582,437,437,437,199,199,199,0.366,0.389,0.938,0.372,0.406,0.989
Undirected,N/A,sub-0025629_ses-2_connectome.csv,200,10517,0.528,2.744,469,469,469,200,200,200,0.367,0.38,0.898,0.361,0.379,0.927
Undirected,N/A,sub-0025630_ses-1_connectome.csv,200,9744,0.49,2.654,444,444,444,199,199,199,0.358,0.359,0.838,0.354,0.353,0.867
Undirected,N/A,sub-0025630_ses-2_connectome.csv,200,9878,0.496,2.723,449,449,449,200,200,200,0.362,0.366,0.844,0.365,0.374,0.861
Undirected,N/A,sub-0025631_ses-2_connectome.csv,199,10070,0.511,2.751,401,401,401,202,202,202,0.331,0.341,0.854,0.331,0.344,0.867
Undirected,N/A,sub-0025631_ses-1_connectome.csv,200,11146,0.56,2.807,398,398,398,201,201,201,0.367,0.369,0.936,0.364,0.377,0.967
Undirected,N/A,sub-0025633_ses-1_connectome.csv,200,10414,0.523,2.504,423,423,423,202,202,202,0.362,0.358,0.89,0.355,0.358,0.917
Undirected,N/A,sub-0025634_ses-1_connectome.csv,200,10793,0.542,2.736,448,448,448,199,199,199,0.365,0.365,0.924,0.353,0.366,0.956
Undirected,N/A,sub-0025632_ses-2_connectome.csv,200,11775,0.592,2.756,411,411,411,199,199,199,0.363,0.369,1.009,0.367,0.386,1.056
Undirected,N/A,sub-0025633_ses-2_connectome.csv,199,10149,0.515,2.571,412,412,412,199,199,199,0.345,0.354,0.865,0.34,0.353,0.903
Undirected,N/A,sub-0025634_ses-2_connectome.csv,200,10888,0.547,2.719,449,449,449,199,199,199,0.357,0.376,0.925,0.362,0.373,0.939
Undirected,N/A,sub-0025632_ses-1_connectome.csv,200,10796,0.543,2.877,412,412,412,200,200,200,0.349,0.351,0.924,0.353,0.374,0.922
Undirected,N/A,sub-0025635_ses-2_connectome.csv,200,12365,0.621,2.876,402,402,402,199,199,199,0.357,0.362,1.034,0.374,0.379,1.076
Undirected,N/A,sub-0025635_ses-1_connectome.csv,200,11521,0.579,2.782,439,439,439,199,199,199,0.356,0.37,0.979,0.352,0.376,0.992
Undirected,N/A,sub-0025636_ses-2_connectome.csv,200,12972,0.652,2.861,443,443,443,199,199,199,0.374,0.382,1.084,0.441,0.403,1.129
Undirected,N/A,sub-0025638_ses-1_connectome.csv,200,12495,0.628,2.83,490,490,490,200,200,200,0.369,0.368,1.05,0.39,0.376,1.09
Undirected,N/A,sub-0025637_ses-2_connectome.csv,199,10031,0.509,2.646,379,379,379,200,200,200,0.354,0.371,0.843,0.349,0.365,0.875
Undirected,N/A,sub-0025637_ses-1_connectome.csv,200,10210,0.513,2.609,442,442,442,199,199,199,0.351,0.382,0.874,0.354,0.365,0.879
Undirected,N/A,sub-0025639_ses-2_connectome.csv,200,9419,0.473,2.729,399,399,399,200,200,200,0.33,0.341,0.812,0.342,0.336,0.841
Undirected,N/A,sub-0025639_ses-1_connectome.csv,190,8424,0.469,2.663,361,361,361,190,190,190,0.277,0.293,0.689,0.28,0.303,0.701
Undirected,N/A,sub-0025640_ses-1_connectome.csv,199,9816,0.498,2.506,387,387,387,201,201,201,0.342,0.338,0.823,0.328,0.342,0.837
Undirected,N/A,sub-0025636_ses-1_connectome.csv,200,11357,0.571,2.7,400,400,400,199,199,199,0.366,0.371,0.978,0.369,0.383,0.975
Undirected,N/A,sub-0025640_ses-2_connectome.csv,200,12117,0.609,2.907,455,455,455,200,200,200,0.364,0.367,1.024,0.363,0.378,1.045
Undirected,N/A,sub-0025638_ses-2_connectome.csv,200,10494,0.527,2.771,485,485,485,199,199,199,0.369,0.371,0.895,0.365,0.375,0.927
Undirected,N/A,sub-0025641_ses-1_connectome.csv,199,10607,0.538,2.633,424,424,424,199,199,199,0.344,0.349,0.89,0.342,0.35,0.925
Undirected,N/A,sub-0025643_ses-1_connectome.csv,200,10297,0.517,2.714,394,394,394,199,199,199,0.356,0.343,0.881,0.335,0.348,0.888
Undirected,N/A,sub-0025642_ses-1_connectome.csv,200,10899,0.548,2.736,477,477,477,199,199,199,0.36,0.37,0.931,0.367,0.374,0.966
Undirected,N/A,sub-0025641_ses-2_connectome.csv,200,12225,0.614,2.775,467,467,467,199,199,199,0.374,0.374,1.03,0.387,0.39,1.082
Undirected,N/A,sub-0025643_ses-2_connectome.csv,200,10872,0.546,2.795,451,451,451,199,199,199,0.375,0.369,0.921,0.362,0.385,0.937
Undirected,N/A,sub-0025642_ses-2_connectome.csv,200,10356,0.52,2.743,457,457,457,199,199,199,0.365,0.368,0.891,0.357,0.384,0.897
Undirected,N/A,sub-0025645_ses-1_connectome.csv,196,10802,0.565,2.719,417,417,417,203,203,203,0.341,0.353,0.889,0.346,0.359,0.913
Undirected,N/A,sub-0025644_ses-1_connectome.csv,200,11795,0.593,2.744,479,479,479,200,200,200,0.376,0.379,1.005,0.388,0.397,1.039
Undirected,N/A,sub-0025644_ses-2_connectome.csv,200,9868,0.496,2.65,450,450,450,204,204,204,0.358,0.374,0.846,0.355,0.363,0.867
Undirected,N/A,sub-0025646_ses-1_connectome.csv,200,11357,0.571,2.771,473,473,473,201,201,201,0.372,0.375,0.969,0.37,0.384,0.985
Undirected,N/A,sub-0025645_ses-2_connectome.csv,200,11419,0.574,2.661,430,430,430,199,199,199,0.36,0.37,0.958,0.366,0.377,0.986
Undirected,N/A,sub-0025647_ses-1_connectome.csv,200,13029,0.655,2.9,451,451,451,201,201,201,0.368,0.375,1.093,0.397,0.382,1.139
Undirected,N/A,sub-0025646_ses-2_connectome.csv,200,11648,0.585,2.85,433,433,433,199,199,199,0.381,0.377,0.991,0.376,0.384,1.025
Undirected,N/A,sub-0025650_ses-1_connectome.csv,175,8185,0.538,2.723,356,356,356,176,176,176,0.241,0.272,0.625,0.243,0.254,0.644
Undirected,N/A,sub-0025649_ses-1_connectome.csv,199,9872,0.501,2.563,406,406,406,198,198,198,0.333,0.331,0.839,0.329,0.336,0.868
Undirected,N/A,sub-0025647_ses-2_connectome.csv,200,11481,0.577,2.832,360,360,360,199,199,199,0.347,0.367,0.97,0.352,0.378,0.995
Undirected,N/A,sub-0025648_ses-2_connectome.csv,199,10506,0.533,2.573,423,423,423,198,198,198,0.366,0.367,0.894,0.363,0.393,0.921
Undirected,N/A,sub-0025648_ses-1_connectome.csv,200,11679,0.587,2.76,443,443,443,199,199,199,0.363,0.368,0.996,0.366,0.395,1.039
Undirected,N/A,sub-0025651_ses-1_connectome.csv,200,10087,0.507,2.583,380,380,380,199,199,199,0.356,0.348,0.871,0.347,0.354,0.893
Undirected,N/A,sub-0025650_ses-2_connectome.csv,193,9620,0.519,2.677,419,419,419,196,196,196,0.304,0.316,0.797,0.304,0.321,0.814
Undirected,N/A,sub-0025649_ses-2_connectome.csv,200,10315,0.518,2.705,422,422,422,199,199,199,0.341,0.352,0.878,0.347,0.358,0.898
Undirected,N/A,sub-0025652_ses-2_connectome.csv,200,11971,0.602,2.847,488,488,488,200,200,200,0.363,0.361,0.998,0.354,0.37,1.028
Undirected,N/A,sub-0025651_ses-2_connectome.csv,199,10299,0.523,2.664,411,411,411,199,199,199,0.367,0.351,0.863,0.346,0.355,0.893
Undirected,N/A,sub-0025652_ses-1_connectome.csv,200,11957,0.601,2.846,478,478,478,199,199,199,0.368,0.374,1.007,0.376,0.379,1.051
Undirected,N/A,sub-0025653_ses-1_connectome.csv,200,10606,0.533,2.856,425,425,425,200,200,200,0.371,0.365,0.911,0.36,0.37,0.944
Undirected,N/A,sub-0025654_ses-1_connectome.csv,200,11266,0.566,2.856,464,464,464,200,200,200,0.348,0.352,0.958,0.348,0.366,0.97
Undirected,N/A,sub-0025655_ses-1_connectome.csv,200,11559,0.581,2.746,433,433,433,199,199,199,0.352,0.373,0.992,0.356,0.374,0.993
