type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-1_connectome.csv,83,2617,0.769,3.439,196,196,196,82,82,82,0.035,0.037,0.095,0.035,0.038,0.113
Undirected,N/A,sub-0025630_ses-1_connectome.csv,83,2562,0.753,3.66,178,178,178,85,85,85,0.036,0.037,0.095,0.035,0.038,0.102
Undirected,N/A,sub-0025629_ses-2_connectome.csv,83,2551,0.75,3.419,170,170,170,82,82,82,0.036,0.036,0.091,0.035,0.049,0.099
Undirected,N/A,sub-0025630_ses-2_connectome.csv,83,2369,0.696,3.311,175,175,175,82,82,82,0.034,0.036,0.092,0.033,0.034,0.09
Undirected,N/A,sub-0025633_ses-1_connectome.csv,83,2741,0.805,3.739,183,183,183,83,83,83,0.037,0.037,0.097,0.037,0.038,0.116
Undirected,N/A,sub-0025633_ses-2_connectome.csv,83,2670,0.785,3.884,183,183,183,82,82,82,0.036,0.037,0.097,0.036,0.037,0.099
Undirected,N/A,sub-0025632_ses-2_connectome.csv,83,2900,0.852,4.007,169,169,169,82,82,82,0.037,0.038,0.113,0.038,0.039,0.107
Undirected,N/A,sub-0025634_ses-1_connectome.csv,83,2667,0.784,3.642,167,167,167,82,82,82,0.034,0.037,0.1,0.034,0.035,0.102
Undirected,N/A,sub-0025631_ses-2_connectome.csv,83,2815,0.827,3.645,176,176,176,82,82,82,0.038,0.038,0.098,0.038,0.04,0.107
Undirected,N/A,sub-0025632_ses-1_connectome.csv,83,2723,0.8,3.523,172,172,172,82,82,82,0.034,0.036,0.098,0.034,0.035,0.099
Undirected,N/A,sub-0025635_ses-1_connectome.csv,83,2909,0.855,4.131,166,166,166,82,82,82,0.037,0.039,0.104,0.038,0.04,0.107
Undirected,N/A,sub-0025631_ses-1_connectome.csv,83,2778,0.816,3.691,182,182,182,82,82,82,0.036,0.037,0.102,0.036,0.038,0.104
Undirected,N/A,sub-0025635_ses-2_connectome.csv,83,3029,0.89,4.277,170,170,170,82,82,82,0.04,0.039,0.105,0.038,0.041,0.114
