type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025630_ses-1_connectome.csv,66,1203,0.561,3.358,91,91,91,69,69,69,0.015,0.016,0.036,0.015,0.016,0.039
Undirected,N/A,sub-0025629_ses-2_connectome.csv,65,1177,0.566,3.146,83,83,83,65,65,65,0.015,0.016,0.035,0.015,0.016,0.036
Undirected,N/A,sub-0025632_ses-1_connectome.csv,64,1298,0.644,3.6,91,91,91,70,70,70,0.015,0.016,0.039,0.015,0.027,0.042
Undirected,N/A,sub-0025629_ses-1_connectome.csv,65,1206,0.58,3.381,87,87,87,67,67,67,0.015,0.016,0.036,0.016,0.016,0.038
Undirected,N/A,sub-0025631_ses-2_connectome.csv,65,1301,0.625,3.242,95,95,95,68,68,68,0.016,0.016,0.038,0.016,0.016,0.039
Undirected,N/A,sub-0025633_ses-2_connectome.csv,63,1175,0.602,3.243,83,83,83,63,63,63,0.014,0.015,0.035,0.014,0.014,0.034
Undirected,N/A,sub-0025633_ses-1_connectome.csv,66,1216,0.567,3.171,97,97,97,73,73,73,0.024,0.016,0.037,0.016,0.016,0.038
Undirected,N/A,sub-0025632_ses-2_connectome.csv,62,1288,0.681,3.648,83,83,83,66,66,66,0.014,0.014,0.035,0.014,0.015,0.036
Undirected,N/A,sub-0025630_ses-2_connectome.csv,61,1082,0.591,3.261,77,77,77,60,60,60,0.013,0.013,0.032,0.013,0.013,0.046
Undirected,N/A,sub-0025635_ses-2_connectome.csv,66,1395,0.65,3.699,83,83,83,66,66,66,0.016,0.016,0.042,0.017,0.017,0.045
Undirected,N/A,sub-0025635_ses-1_connectome.csv,66,1315,0.613,3.23,90,90,90,67,67,67,0.015,0.016,0.038,0.015,0.016,0.041
Undirected,N/A,sub-0025634_ses-1_connectome.csv,62,1174,0.621,3.513,92,92,92,65,65,65,0.014,0.015,0.048,0.014,0.014,0.034
Undirected,N/A,sub-0025636_ses-1_connectome.csv,64,1300,0.645,3.445,86,86,86,65,65,65,0.015,0.016,0.037,0.016,0.016,0.039
Undirected,N/A,sub-0025634_ses-2_connectome.csv,65,1185,0.57,3.095,94,94,94,66,66,66,0.015,0.015,0.035,0.015,0.015,0.036
Undirected,N/A,sub-0025636_ses-2_connectome.csv,61,1232,0.673,3.562,84,84,84,61,61,61,0.013,0.022,0.042,0.014,0.014,0.035
