type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-1_connectome.csv,29,377,0.929,4.913,47,47,47,28,28,28,0.003,0.003,0.006,0.003,0.003,0.006
Undirected,N/A,sub-0025629_ses-2_connectome.csv,31,418,0.899,5.582,47,47,47,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025631_ses-1_connectome.csv,30,432,0.993,11.958,55,55,55,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025632_ses-1_connectome.csv,30,431,0.991,10.332,46,46,46,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025632_ses-2_connectome.csv,31,449,0.966,10.548,48,48,48,30,30,30,0.003,0.003,0.007,0.004,0.003,0.008
Undirected,N/A,sub-0025633_ses-2_connectome.csv,30,416,0.956,6.372,43,43,43,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025630_ses-1_connectome.csv,30,405,0.931,7.045,59,59,59,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025630_ses-2_connectome.csv,31,430,0.925,7.263,59,59,59,30,30,30,0.004,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025634_ses-1_connectome.csv,31,433,0.931,6.504,42,42,42,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0025633_ses-1_connectome.csv,30,408,0.938,20.174,57,57,57,29,29,29,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025631_ses-2_connectome.csv,31,454,0.976,8.641,62,62,62,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025638_ses-1_connectome.csv,31,445,0.957,8.554,65,65,65,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0025635_ses-2_connectome.csv,30,421,0.968,8.317,47,47,47,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025634_ses-2_connectome.csv,31,432,0.929,8.426,57,57,57,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0025635_ses-1_connectome.csv,31,437,0.94,9.295,53,53,53,30,30,30,0.003,0.003,0.008,0.003,0.003,0.009
Undirected,N/A,sub-0025636_ses-1_connectome.csv,29,402,0.99,11.533,50,50,50,28,28,28,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0025637_ses-2_connectome.csv,31,434,0.933,6.201,50,50,50,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025637_ses-1_connectome.csv,31,421,0.905,7.185,52,52,52,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025638_ses-2_connectome.csv,30,388,0.892,5.598,41,41,41,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025639_ses-2_connectome.csv,30,402,0.924,5.079,51,51,51,29,29,29,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025636_ses-2_connectome.csv,30,431,0.991,20.736,53,53,53,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025640_ses-2_connectome.csv,31,445,0.957,6.96,53,53,53,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025640_ses-1_connectome.csv,29,400,0.985,8.888,52,52,52,28,28,28,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0025641_ses-1_connectome.csv,31,419,0.901,4.353,51,51,51,30,30,30,0.003,0.003,0.014,0.005,0.005,0.008
Undirected,N/A,sub-0025645_ses-1_connectome.csv,30,433,0.995,11.972,45,45,45,29,29,29,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025639_ses-1_connectome.csv,30,398,0.915,6.229,43,43,43,29,29,29,0.003,0.003,0.008,0.003,0.003,0.007
Undirected,N/A,sub-0025641_ses-2_connectome.csv,31,441,0.948,5.738,47,47,47,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0025642_ses-1_connectome.csv,31,424,0.912,5.623,56,56,56,31,31,31,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025643_ses-2_connectome.csv,30,420,0.966,6.403,59,59,59,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025642_ses-2_connectome.csv,31,425,0.914,5.418,59,59,59,30,30,30,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025644_ses-2_connectome.csv,31,425,0.914,5.418,61,61,61,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0025646_ses-1_connectome.csv,30,424,0.975,7.211,49,49,49,29,29,29,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025646_ses-2_connectome.csv,30,429,0.986,5.445,42,42,42,29,29,29,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025644_ses-1_connectome.csv,30,414,0.952,8.246,54,54,54,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025647_ses-1_connectome.csv,29,406,1.0,20.125,54,54,54,28,28,28,0.003,0.003,0.006,0.003,0.003,0.007
Undirected,N/A,sub-0025645_ses-2_connectome.csv,31,457,0.983,7.055,53,53,53,30,30,30,0.003,0.003,0.008,0.004,0.003,0.008
Undirected,N/A,sub-0025651_ses-1_connectome.csv,31,451,0.97,7.964,57,57,57,30,30,30,0.003,0.004,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0025649_ses-1_connectome.csv,30,410,0.943,7.089,47,47,47,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025647_ses-2_connectome.csv,30,434,0.998,20.809,53,53,53,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025648_ses-2_connectome.csv,31,435,0.935,9.274,55,55,55,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
Undirected,N/A,sub-0025649_ses-2_connectome.csv,29,400,0.985,11.504,55,55,55,28,28,28,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025648_ses-1_connectome.csv,30,420,0.966,9.11,52,52,52,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025652_ses-2_connectome.csv,30,412,0.947,8.226,59,59,59,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025650_ses-1_connectome.csv,29,406,1.0,20.125,50,50,50,28,28,28,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025652_ses-1_connectome.csv,30,428,0.984,10.296,50,50,50,29,29,29,0.003,0.003,0.007,0.003,0.003,0.007
Undirected,N/A,sub-0025651_ses-2_connectome.csv,31,445,0.957,7.391,57,57,57,30,30,30,0.003,0.003,0.007,0.003,0.003,0.008
Undirected,N/A,sub-0025643_ses-1_connectome.csv,31,443,0.953,10.476,57,57,57,30,30,30,0.003,0.003,0.008,0.003,0.003,0.008
