type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-1_connectome.csv,70,2152,0.891,4.815,178,178,178,69,69,69,0.025,0.026,0.064,0.026,0.027,0.068
Undirected,N/A,sub-0025630_ses-2_connectome.csv,70,2012,0.833,4.262,154,154,154,69,69,69,0.023,0.024,0.059,0.024,0.024,0.064
Undirected,N/A,sub-0025629_ses-2_connectome.csv,70,2067,0.856,3.942,135,135,135,69,69,69,0.023,0.024,0.064,0.025,0.026,0.065
Undirected,N/A,sub-0025631_ses-1_connectome.csv,70,2202,0.912,4.537,152,152,152,69,69,69,0.024,0.025,0.064,0.026,0.027,0.068
Undirected,N/A,sub-0025632_ses-1_connectome.csv,70,2185,0.905,5.622,127,127,127,69,69,69,0.023,0.025,0.063,0.025,0.026,0.07
Undirected,N/A,sub-0025635_ses-2_connectome.csv,70,2319,0.96,7.109,133,133,133,69,69,69,0.026,0.027,0.067,0.027,0.028,0.071
Undirected,N/A,sub-0025633_ses-1_connectome.csv,70,2176,0.901,4.96,142,142,142,69,69,69,0.025,0.025,0.063,0.025,0.026,0.069
Undirected,N/A,sub-0025632_ses-2_connectome.csv,70,2216,0.918,6.046,144,144,144,69,69,69,0.024,0.024,0.064,0.025,0.026,0.067
Undirected,N/A,sub-0025636_ses-2_connectome.csv,70,2274,0.942,5.973,163,163,163,69,69,69,0.025,0.026,0.066,0.027,0.027,0.069
Undirected,N/A,sub-0025634_ses-2_connectome.csv,70,2179,0.902,5.19,152,152,152,69,69,69,0.024,0.025,0.064,0.026,0.026,0.068
Undirected,N/A,sub-0025631_ses-2_connectome.csv,70,2190,0.907,4.548,145,145,145,69,69,69,0.025,0.026,0.064,0.026,0.026,0.07
Undirected,N/A,sub-0025630_ses-1_connectome.csv,70,2091,0.866,4.349,147,147,147,69,69,69,0.024,0.024,0.061,0.025,0.025,0.065
Undirected,N/A,sub-0025635_ses-1_connectome.csv,70,2257,0.935,4.965,133,133,133,69,69,69,0.025,0.027,0.067,0.026,0.028,0.071
Undirected,N/A,sub-0025637_ses-1_connectome.csv,70,2126,0.88,4.035,154,154,154,69,69,69,0.024,0.024,0.062,0.024,0.025,0.067
Undirected,N/A,sub-0025636_ses-1_connectome.csv,70,2276,0.942,5.14,156,156,156,69,69,69,0.025,0.026,0.064,0.026,0.027,0.07
Undirected,N/A,sub-0025633_ses-2_connectome.csv,70,2200,0.911,5.36,139,139,139,69,69,69,0.025,0.025,0.063,0.026,0.026,0.07
Undirected,N/A,sub-0025637_ses-2_connectome.csv,70,2148,0.889,4.224,141,141,141,69,69,69,0.024,0.025,0.064,0.026,0.027,0.066
Undirected,N/A,sub-0025638_ses-1_connectome.csv,70,2223,0.92,5.11,149,149,149,69,69,69,0.025,0.025,0.065,0.026,0.026,0.07
Undirected,N/A,sub-0025639_ses-2_connectome.csv,70,1873,0.776,3.632,129,129,129,70,70,70,0.022,0.023,0.055,0.023,0.023,0.059
Undirected,N/A,sub-0025634_ses-1_connectome.csv,70,2188,0.906,6.409,191,191,191,69,69,69,0.025,0.027,0.068,0.027,0.031,0.067
Undirected,N/A,sub-0025641_ses-1_connectome.csv,70,2240,0.928,4.975,160,160,160,69,69,69,0.025,0.025,0.065,0.027,0.027,0.071
Undirected,N/A,sub-0025642_ses-1_connectome.csv,70,2061,0.853,4.549,149,149,149,69,69,69,0.023,0.025,0.061,0.025,0.027,0.063
Undirected,N/A,sub-0025639_ses-1_connectome.csv,70,1954,0.809,3.656,116,116,116,69,69,69,0.022,0.023,0.059,0.024,0.024,0.063
Undirected,N/A,sub-0025640_ses-2_connectome.csv,70,2235,0.925,5.603,137,137,137,69,69,69,0.024,0.025,0.065,0.026,0.026,0.081
Undirected,N/A,sub-0025643_ses-1_connectome.csv,70,2190,0.907,5.169,158,158,158,69,69,69,0.024,0.024,0.064,0.026,0.025,0.078
Undirected,N/A,sub-0025642_ses-2_connectome.csv,70,2009,0.832,3.771,155,155,155,69,69,69,0.023,0.024,0.06,0.025,0.027,0.063
Undirected,N/A,sub-0025641_ses-2_connectome.csv,70,2180,0.903,4.585,147,147,147,69,69,69,0.024,0.025,0.062,0.025,0.026,0.071
Undirected,N/A,sub-0025644_ses-1_connectome.csv,70,2230,0.923,5.682,147,147,147,69,69,69,0.025,0.026,0.065,0.026,0.027,0.07
Undirected,N/A,sub-0025638_ses-2_connectome.csv,70,2200,0.911,5.824,163,163,163,69,69,69,0.025,0.026,0.064,0.026,0.027,0.07
Undirected,N/A,sub-0025643_ses-2_connectome.csv,70,2091,0.866,4.534,159,159,159,69,69,69,0.023,0.023,0.061,0.024,0.025,0.067
Undirected,N/A,sub-0025644_ses-2_connectome.csv,70,2061,0.853,4.273,164,164,164,69,69,69,0.023,0.024,0.061,0.023,0.024,0.071
Undirected,N/A,sub-0025645_ses-2_connectome.csv,70,2213,0.916,5.616,134,134,134,69,69,69,0.025,0.025,0.065,0.026,0.026,0.07
Undirected,N/A,sub-0025640_ses-1_connectome.csv,70,2117,0.877,4.491,135,135,135,69,69,69,0.023,0.024,0.061,0.025,0.025,0.067
Undirected,N/A,sub-0025648_ses-2_connectome.csv,70,2152,0.891,3.865,134,134,134,69,69,69,0.024,0.025,0.063,0.026,0.026,0.068
