type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-2_connectome.csv,74,2148,0.795,3.846,163,163,163,73,73,73,0.027,0.028,0.071,0.028,0.028,0.075
Undirected,N/A,sub-0025630_ses-2_connectome.csv,74,2099,0.777,3.829,145,145,145,73,73,73,0.027,0.028,0.069,0.028,0.03,0.072
Undirected,N/A,sub-0025630_ses-1_connectome.csv,74,2256,0.835,4.482,149,149,149,73,73,73,0.027,0.028,0.073,0.031,0.03,0.076
Undirected,N/A,sub-0025631_ses-1_connectome.csv,74,2324,0.86,4.142,157,157,157,73,73,73,0.028,0.029,0.077,0.03,0.031,0.079
Undirected,N/A,sub-0025629_ses-1_connectome.csv,74,2224,0.823,4.063,141,141,141,73,73,73,0.028,0.028,0.075,0.029,0.03,0.077
Undirected,N/A,sub-0025634_ses-1_connectome.csv,74,2179,0.807,4.236,158,158,158,73,73,73,0.029,0.03,0.071,0.027,0.028,0.074
Undirected,N/A,sub-0025632_ses-2_connectome.csv,74,2406,0.891,4.327,155,155,155,73,73,73,0.03,0.031,0.079,0.03,0.03,0.084
Undirected,N/A,sub-0025633_ses-2_connectome.csv,74,2245,0.831,3.778,157,157,157,73,73,73,0.029,0.029,0.073,0.028,0.029,0.076
Undirected,N/A,sub-0025634_ses-2_connectome.csv,74,2190,0.811,3.611,138,138,138,73,73,73,0.027,0.028,0.075,0.029,0.029,0.074
Undirected,N/A,sub-0025631_ses-2_connectome.csv,74,2315,0.857,4.203,173,173,173,73,73,73,0.027,0.028,0.073,0.029,0.03,0.08
Undirected,N/A,sub-0025632_ses-1_connectome.csv,74,2281,0.845,4.421,165,165,165,73,73,73,0.028,0.028,0.074,0.029,0.031,0.079
Undirected,N/A,sub-0025635_ses-2_connectome.csv,74,2436,0.902,4.62,173,173,173,73,73,73,0.029,0.03,0.079,0.029,0.029,0.083
Undirected,N/A,sub-0025636_ses-2_connectome.csv,74,2378,0.88,4.396,160,160,160,74,74,74,0.03,0.031,0.078,0.029,0.029,0.085
Undirected,N/A,sub-0025635_ses-1_connectome.csv,74,2395,0.887,3.954,163,163,163,73,73,73,0.029,0.03,0.077,0.03,0.031,0.082
Undirected,N/A,sub-0025633_ses-1_connectome.csv,74,2239,0.829,3.786,152,152,152,74,74,74,0.027,0.027,0.076,0.028,0.028,0.075
Undirected,N/A,sub-0025636_ses-1_connectome.csv,74,2298,0.851,4.738,154,154,154,73,73,73,0.029,0.031,0.076,0.028,0.028,0.083
Undirected,N/A,sub-0025637_ses-2_connectome.csv,74,2265,0.839,3.926,143,143,143,73,73,73,0.028,0.028,0.075,0.029,0.03,0.078
Undirected,N/A,sub-0025642_ses-1_connectome.csv,74,2174,0.805,3.741,168,168,168,73,73,73,0.027,0.028,0.072,0.028,0.028,0.077
Undirected,N/A,sub-0025640_ses-2_connectome.csv,74,2385,0.883,4.484,158,158,158,74,74,74,0.028,0.029,0.077,0.03,0.03,0.082
Undirected,N/A,sub-0025639_ses-2_connectome.csv,74,2112,0.782,3.337,157,157,157,73,73,73,0.026,0.027,0.071,0.028,0.027,0.071
Undirected,N/A,sub-0025638_ses-1_connectome.csv,74,2418,0.895,4.265,160,160,160,73,73,73,0.03,0.031,0.08,0.029,0.03,0.093
Undirected,N/A,sub-0025638_ses-2_connectome.csv,74,2199,0.814,4.297,168,168,168,73,73,73,0.029,0.029,0.07,0.026,0.028,0.076
Undirected,N/A,sub-0025639_ses-1_connectome.csv,74,2242,0.83,3.583,148,148,148,73,73,73,0.03,0.044,0.089,0.027,0.031,0.082
Undirected,N/A,sub-0025642_ses-2_connectome.csv,74,2142,0.793,3.796,196,196,196,73,73,73,0.027,0.029,0.07,0.029,0.029,0.076
Undirected,N/A,sub-0025641_ses-2_connectome.csv,74,2390,0.885,4.489,155,155,155,73,73,73,0.029,0.029,0.079,0.03,0.031,0.095
Undirected,N/A,sub-0025640_ses-1_connectome.csv,74,2191,0.811,3.872,143,143,143,73,73,73,0.027,0.028,0.074,0.035,0.033,0.073
Undirected,N/A,sub-0025641_ses-1_connectome.csv,74,2338,0.866,4.318,174,174,174,73,73,73,0.029,0.03,0.075,0.027,0.043,0.094
Undirected,N/A,sub-0025643_ses-2_connectome.csv,74,2106,0.78,3.836,152,152,152,73,73,73,0.028,0.028,0.069,0.028,0.038,0.076
Undirected,N/A,sub-0025637_ses-1_connectome.csv,74,2245,0.831,4.118,141,141,141,73,73,73,0.027,0.028,0.077,0.028,0.028,0.075
Undirected,N/A,sub-0025645_ses-2_connectome.csv,74,2329,0.862,4.096,150,150,150,73,73,73,0.029,0.035,0.075,0.029,0.03,0.088
Undirected,N/A,sub-0025644_ses-1_connectome.csv,74,2250,0.833,4.711,158,158,158,73,73,73,0.027,0.028,0.073,0.029,0.03,0.078
Undirected,N/A,sub-0025646_ses-1_connectome.csv,74,2139,0.792,3.578,170,170,170,73,73,73,0.027,0.028,0.072,0.028,0.029,0.073
Undirected,N/A,sub-0025643_ses-1_connectome.csv,74,2193,0.812,4.0,150,150,150,73,73,73,0.027,0.028,0.071,0.028,0.037,0.077
Undirected,N/A,sub-0025644_ses-2_connectome.csv,74,2141,0.793,3.519,158,158,158,73,73,73,0.027,0.028,0.072,0.029,0.028,0.074
Undirected,N/A,sub-0025646_ses-2_connectome.csv,74,2176,0.806,3.756,176,176,176,73,73,73,0.028,0.03,0.072,0.027,0.027,0.078
Undirected,N/A,sub-0025648_ses-2_connectome.csv,74,2302,0.852,4.038,160,160,160,73,73,73,0.028,0.029,0.074,0.028,0.029,0.081
Undirected,N/A,sub-0025645_ses-1_connectome.csv,74,2427,0.899,4.385,162,162,162,73,73,73,0.029,0.03,0.08,0.029,0.029,0.086
Undirected,N/A,sub-0025648_ses-1_connectome.csv,74,2385,0.883,4.131,150,150,150,73,73,73,0.042,0.029,0.081,0.029,0.03,0.081
Undirected,N/A,sub-0025647_ses-2_connectome.csv,74,2372,0.878,5.065,142,142,142,73,73,73,0.028,0.029,0.079,0.029,0.029,0.096
Undirected,N/A,sub-0025650_ses-1_connectome.csv,74,2357,0.873,4.106,170,170,170,73,73,73,0.03,0.033,0.078,0.029,0.03,0.098
Undirected,N/A,sub-0025650_ses-2_connectome.csv,74,2247,0.832,4.306,139,139,139,73,73,73,0.027,0.028,0.074,0.029,0.03,0.088
Undirected,N/A,sub-0025647_ses-1_connectome.csv,74,2325,0.861,3.595,168,168,168,73,73,73,0.028,0.029,0.083,0.028,0.029,0.084
Undirected,N/A,sub-0025649_ses-2_connectome.csv,74,2167,0.802,3.834,161,161,161,73,73,73,0.042,0.029,0.072,0.027,0.028,0.077
Undirected,N/A,sub-0025652_ses-1_connectome.csv,74,2300,0.852,3.928,169,169,169,73,73,73,0.028,0.044,0.075,0.029,0.03,0.079
Undirected,N/A,sub-0025651_ses-2_connectome.csv,74,2346,0.869,4.307,167,167,167,73,73,73,0.028,0.034,0.094,0.029,0.03,0.082
Undirected,N/A,sub-0025653_ses-2_connectome.csv,74,2401,0.889,4.418,180,180,180,73,73,73,0.03,0.032,0.078,0.029,0.031,0.084
Undirected,N/A,sub-0025652_ses-2_connectome.csv,74,2296,0.85,4.15,156,156,156,73,73,73,0.029,0.03,0.076,0.03,0.032,0.08
Undirected,N/A,sub-0025651_ses-1_connectome.csv,74,2344,0.868,3.745,163,163,163,73,73,73,0.027,0.028,0.076,0.029,0.029,0.079
Undirected,N/A,sub-0025649_ses-1_connectome.csv,74,2177,0.806,3.757,135,135,135,73,73,73,0.027,0.027,0.075,0.028,0.03,0.075
Undirected,N/A,sub-0025657_ses-2_connectome.csv,74,2430,0.9,4.139,170,170,170,73,73,73,0.029,0.03,0.079,0.031,0.032,0.082
Undirected,N/A,sub-0025656_ses-1_connectome.csv,74,2102,0.778,3.773,146,146,146,73,73,73,0.026,0.027,0.069,0.029,0.028,0.072
Undirected,N/A,sub-0025654_ses-1_connectome.csv,74,2299,0.851,3.883,159,159,159,73,73,73,0.027,0.029,0.074,0.029,0.031,0.078
Undirected,N/A,sub-0025656_ses-2_connectome.csv,74,2148,0.795,3.787,159,159,159,73,73,73,0.027,0.027,0.07,0.028,0.028,0.073
Undirected,N/A,sub-0025655_ses-2_connectome.csv,74,2243,0.83,4.282,142,142,142,73,73,73,0.028,0.029,0.073,0.029,0.03,0.078
