type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-2_connectome.csv,180,9480,0.588,2.762,438,438,438,179,179,179,0.299,0.285,0.739,0.276,0.309,0.789
Undirected,N/A,sub-0025631_ses-2_connectome.csv,180,10756,0.668,2.804,455,455,455,179,179,179,0.293,0.313,0.804,0.297,0.313,0.839
Undirected,N/A,sub-0025630_ses-1_connectome.csv,180,10337,0.642,2.88,416,416,416,179,179,179,0.303,0.306,0.798,0.299,0.321,0.824
Undirected,N/A,sub-0025630_ses-2_connectome.csv,180,9261,0.575,2.56,440,440,440,181,181,181,0.295,0.292,0.729,0.282,0.309,0.741
Undirected,N/A,sub-0025631_ses-1_connectome.csv,180,10393,0.645,2.724,448,448,448,179,179,179,0.278,0.308,0.78,0.284,0.3,0.813
Undirected,N/A,sub-0025634_ses-1_connectome.csv,180,9390,0.583,2.8,468,468,468,179,179,179,0.275,0.279,0.74,0.275,0.277,0.762
Undirected,N/A,sub-0025629_ses-1_connectome.csv,180,11216,0.696,3.01,409,409,409,179,179,179,0.308,0.316,0.843,0.313,0.326,0.892
Undirected,N/A,sub-0025633_ses-1_connectome.csv,180,9380,0.582,2.592,420,420,420,180,180,180,0.276,0.291,0.734,0.283,0.299,0.74
Undirected,N/A,sub-0025632_ses-1_connectome.csv,180,10382,0.644,2.728,415,415,415,179,179,179,0.279,0.295,0.788,0.283,0.292,0.828
Undirected,N/A,sub-0025632_ses-2_connectome.csv,180,10711,0.665,2.717,407,407,407,180,180,180,0.298,0.301,0.823,0.294,0.32,0.842
Undirected,N/A,sub-0025633_ses-2_connectome.csv,180,9705,0.602,2.669,431,431,431,179,179,179,0.279,0.303,0.74,0.281,0.295,0.773
Undirected,N/A,sub-0025635_ses-1_connectome.csv,180,11024,0.684,2.806,463,463,463,179,179,179,0.298,0.312,0.835,0.298,0.303,0.864
Undirected,N/A,sub-0025636_ses-1_connectome.csv,180,11156,0.692,2.818,470,470,470,181,181,181,0.31,0.313,0.83,0.302,0.313,0.888
Undirected,N/A,sub-0025634_ses-2_connectome.csv,180,9608,0.596,2.861,428,428,428,180,180,180,0.278,0.282,0.749,0.28,0.299,0.763
Undirected,N/A,sub-0025635_ses-2_connectome.csv,180,11670,0.724,2.858,453,453,453,181,181,181,0.319,0.309,0.883,0.312,0.326,0.916
Undirected,N/A,sub-0025637_ses-1_connectome.csv,180,9550,0.593,2.582,447,447,447,179,179,179,0.283,0.324,0.72,0.293,0.3,0.774
Undirected,N/A,sub-0025638_ses-2_connectome.csv,180,10436,0.648,2.913,480,480,480,180,180,180,0.286,0.307,0.795,0.297,0.296,0.829
Undirected,N/A,sub-0025639_ses-2_connectome.csv,180,8527,0.529,2.493,428,428,428,181,181,181,0.264,0.279,0.674,0.26,0.282,0.695
Undirected,N/A,sub-0025636_ses-2_connectome.csv,180,11813,0.733,2.91,449,449,449,179,179,179,0.306,0.328,0.89,0.321,0.312,0.937
Undirected,N/A,sub-0025639_ses-1_connectome.csv,180,9222,0.572,2.472,423,423,423,179,179,179,0.28,0.31,0.7,0.277,0.303,0.742
Undirected,N/A,sub-0025638_ses-1_connectome.csv,180,10998,0.683,2.932,433,433,433,179,179,179,0.296,0.304,0.835,0.295,0.326,0.869
Undirected,N/A,sub-0025640_ses-1_connectome.csv,180,9328,0.579,2.418,423,423,423,184,184,184,0.284,0.282,0.729,0.276,0.286,0.752
Undirected,N/A,sub-0025641_ses-1_connectome.csv,180,10799,0.67,2.846,442,442,442,179,179,179,0.307,0.316,0.815,0.311,0.305,0.852
Undirected,N/A,sub-0025641_ses-2_connectome.csv,180,10984,0.682,2.849,435,435,435,179,179,179,0.306,0.301,0.827,0.288,0.311,0.875
Undirected,N/A,sub-0025640_ses-2_connectome.csv,180,11422,0.709,2.855,461,461,461,180,180,180,0.298,0.303,0.864,0.299,0.301,0.898
Undirected,N/A,sub-0025637_ses-2_connectome.csv,180,9809,0.609,2.763,426,426,426,179,179,179,0.286,0.297,0.751,0.289,0.309,0.773
Undirected,N/A,sub-0025645_ses-1_connectome.csv,180,10542,0.654,2.619,435,435,435,179,179,179,0.287,0.297,0.785,0.288,0.3,0.841
Undirected,N/A,sub-0025643_ses-1_connectome.csv,180,9734,0.604,2.689,428,428,428,179,179,179,0.283,0.31,0.735,0.28,0.301,0.78
Undirected,N/A,sub-0025644_ses-1_connectome.csv,180,10393,0.645,2.949,464,464,464,179,179,179,0.294,0.311,0.778,0.288,0.304,0.816
Undirected,N/A,sub-0025642_ses-2_connectome.csv,180,9737,0.604,2.83,419,419,419,180,180,180,0.292,0.288,0.75,0.284,0.293,0.775
Undirected,N/A,sub-0025644_ses-2_connectome.csv,180,9890,0.614,2.742,453,453,453,179,179,179,0.293,0.312,0.776,0.3,0.307,0.797
Undirected,N/A,sub-0025643_ses-2_connectome.csv,180,9462,0.587,2.698,418,418,418,180,180,180,0.284,0.304,0.725,0.279,0.301,0.76
Undirected,N/A,sub-0025645_ses-2_connectome.csv,180,10521,0.653,2.686,448,448,448,179,179,179,0.302,0.325,0.809,0.3,0.319,0.841
Undirected,N/A,sub-0025642_ses-1_connectome.csv,180,10062,0.625,2.841,430,430,430,181,181,181,0.29,0.301,0.778,0.291,0.303,0.828
Undirected,N/A,sub-0025647_ses-2_connectome.csv,180,10842,0.673,2.802,428,428,428,179,179,179,0.288,0.332,0.815,0.299,0.305,0.86
Undirected,N/A,sub-0025649_ses-1_connectome.csv,180,9192,0.571,2.586,415,415,415,179,179,179,0.268,0.301,0.694,0.266,0.289,0.74
Undirected,N/A,sub-0025648_ses-1_connectome.csv,180,10952,0.68,2.809,438,438,438,179,179,179,0.289,0.31,0.829,0.296,0.308,0.883
Undirected,N/A,sub-0025646_ses-1_connectome.csv,180,9295,0.577,2.586,449,449,449,180,180,180,0.278,0.298,0.721,0.294,0.293,0.75
Undirected,N/A,sub-0025647_ses-1_connectome.csv,180,10313,0.64,2.607,412,412,412,180,180,180,0.283,0.298,0.779,0.281,0.3,0.82
Undirected,N/A,sub-0025648_ses-2_connectome.csv,180,9870,0.613,2.74,425,425,425,180,180,180,0.299,0.294,0.761,0.279,0.298,0.789
Undirected,N/A,sub-0025646_ses-2_connectome.csv,180,9772,0.607,2.706,459,459,459,179,179,179,0.289,0.3,0.75,0.289,0.304,0.786
Undirected,N/A,sub-0025649_ses-2_connectome.csv,180,9387,0.583,2.738,439,439,439,179,179,179,0.278,0.305,0.718,0.275,0.297,0.752
Undirected,N/A,sub-0025650_ses-2_connectome.csv,180,10478,0.65,2.695,422,422,422,179,179,179,0.302,0.304,0.812,0.296,0.336,0.819
Undirected,N/A,sub-0025651_ses-2_connectome.csv,180,10262,0.637,2.515,435,435,435,179,179,179,0.295,0.301,0.796,0.292,0.324,0.813
Undirected,N/A,sub-0025650_ses-1_connectome.csv,180,10636,0.66,2.682,431,431,431,179,179,179,0.294,0.301,0.797,0.286,0.311,0.847
Undirected,N/A,sub-0025655_ses-1_connectome.csv,180,10253,0.636,2.778,414,414,414,179,179,179,0.281,0.297,0.779,0.284,0.308,0.806
Undirected,N/A,sub-0025651_ses-1_connectome.csv,180,10383,0.645,2.756,427,427,427,179,179,179,0.284,0.295,0.785,0.283,0.301,0.824
Undirected,N/A,sub-0025653_ses-1_connectome.csv,180,10404,0.646,2.746,470,470,470,179,179,179,0.289,0.299,0.792,0.285,0.323,0.822
Undirected,N/A,sub-0025652_ses-2_connectome.csv,180,10746,0.667,2.886,469,469,469,179,179,179,0.294,0.307,0.826,0.297,0.307,0.859
Undirected,N/A,sub-0025652_ses-1_connectome.csv,180,10289,0.639,2.703,429,429,429,183,183,183,0.287,0.302,0.774,0.282,0.31,0.811
Undirected,N/A,sub-0025653_ses-2_connectome.csv,180,11171,0.693,2.753,477,477,477,179,179,179,0.305,0.303,0.858,0.305,0.308,0.877
Undirected,N/A,sub-0025654_ses-1_connectome.csv,180,10014,0.622,2.753,428,428,428,181,181,181,0.292,0.292,0.786,0.282,0.313,0.804
Undirected,N/A,sub-0025657_ses-1_connectome.csv,180,10843,0.673,2.744,461,461,461,179,179,179,0.294,0.306,0.807,0.296,0.318,0.845
Undirected,N/A,sub-0025655_ses-2_connectome.csv,180,10103,0.627,2.443,404,404,404,179,179,179,0.287,0.321,0.758,0.29,0.312,0.788
Undirected,N/A,sub-0025656_ses-1_connectome.csv,180,9639,0.598,2.636,440,440,440,180,180,180,0.278,0.287,0.737,0.278,0.295,0.772
Undirected,N/A,sub-0025656_ses-2_connectome.csv,180,9203,0.571,2.574,373,373,373,179,179,179,0.269,0.281,0.713,0.267,0.283,0.745
Undirected,N/A,sub-0025658_ses-2_connectome.csv,180,9920,0.616,2.724,449,449,449,181,181,181,0.287,0.314,0.762,0.291,0.298,0.795
Undirected,N/A,sub-0025657_ses-2_connectome.csv,180,10867,0.675,2.746,452,452,452,179,179,179,0.301,0.323,0.811,0.3,0.304,0.864
Undirected,N/A,sub-0025658_ses-1_connectome.csv,180,10770,0.669,2.731,459,459,459,179,179,179,0.296,0.311,0.825,0.294,0.305,0.847
Undirected,N/A,sub-0025659_ses-1_connectome.csv,180,8570,0.532,2.748,466,466,466,180,180,180,0.267,0.279,0.672,0.261,0.28,0.692
Undirected,N/A,sub-0025661_ses-2_connectome.csv,180,9738,0.604,2.522,405,405,405,180,180,180,0.267,0.295,0.739,0.274,0.292,0.771
Undirected,N/A,sub-0025662_ses-1_connectome.csv,180,10447,0.648,2.626,414,414,414,179,179,179,0.297,0.296,0.799,0.293,0.306,0.819
Undirected,N/A,sub-0025661_ses-1_connectome.csv,180,9864,0.612,2.683,420,420,420,180,180,180,0.299,0.29,0.748,0.275,0.294,0.78
Undirected,N/A,sub-0025659_ses-2_connectome.csv,180,9156,0.568,2.596,424,424,424,180,180,180,0.282,0.287,0.714,0.274,0.286,0.736
Undirected,N/A,sub-0025660_ses-2_connectome.csv,179,9630,0.604,2.763,391,391,391,182,182,182,0.274,0.295,0.732,0.289,0.598,0.756
Undirected,N/A,sub-0025660_ses-1_connectome.csv,180,10758,0.668,2.846,488,488,488,179,179,179,0.305,0.32,0.826,0.296,0.327,0.865
Undirected,N/A,sub-0025667_ses-1_connectome.csv,180,10590,0.657,2.747,432,432,432,181,181,181,0.313,0.305,0.796,0.294,0.302,0.843
Undirected,N/A,sub-0025664_ses-1_connectome.csv,180,10201,0.633,2.625,423,423,423,180,180,180,0.28,0.301,0.78,0.282,0.296,0.821
Undirected,N/A,sub-0025663_ses-2_connectome.csv,180,11284,0.7,2.78,430,430,430,179,179,179,0.293,0.313,0.868,0.294,0.319,0.905
Undirected,N/A,sub-0025662_ses-2_connectome.csv,180,9146,0.568,2.624,432,432,432,179,179,179,0.27,0.293,0.72,0.272,0.291,0.742
Undirected,N/A,sub-0025663_ses-1_connectome.csv,180,11695,0.726,2.877,436,436,436,179,179,179,0.299,0.301,0.879,0.298,0.315,0.919
Undirected,N/A,sub-0025665_ses-1_connectome.csv,180,10226,0.635,2.708,475,475,475,180,180,180,0.295,0.297,0.782,0.287,0.314,0.805
Undirected,N/A,sub-0025665_ses-2_connectome.csv,180,9083,0.564,2.679,440,440,440,179,179,179,0.299,0.289,0.709,0.278,0.301,0.718
Undirected,N/A,sub-0025666_ses-2_connectome.csv,180,10504,0.652,2.94,458,458,458,179,179,179,0.29,0.303,0.79,0.291,0.326,0.836
Undirected,N/A,sub-0025666_ses-1_connectome.csv,180,10416,0.647,2.86,438,438,438,180,180,180,0.294,0.31,0.808,0.294,0.315,0.824
Undirected,N/A,sub-0025664_ses-2_connectome.csv,180,8945,0.555,2.554,443,443,443,180,180,180,0.276,0.281,0.695,0.27,0.301,0.709
Undirected,N/A,sub-0025668_ses-1_connectome.csv,180,10800,0.67,2.738,430,430,430,181,181,181,0.31,0.298,0.812,0.299,0.303,0.863
Undirected,N/A,sub-0025668_ses-2_connectome.csv,180,10159,0.631,2.52,424,424,424,180,180,180,0.285,0.298,0.769,0.281,0.313,0.798
Undirected,N/A,sub-0025670_ses-2_connectome.csv,180,10926,0.678,2.897,426,426,426,179,179,179,0.296,0.304,0.82,0.298,0.301,0.88
Undirected,N/A,sub-0025671_ses-1_connectome.csv,180,10581,0.657,2.891,457,457,457,179,179,179,0.287,0.317,0.8,0.285,0.328,0.851
Undirected,N/A,sub-0025669_ses-2_connectome.csv,180,11055,0.686,2.643,465,465,465,179,179,179,0.295,0.326,0.833,0.292,0.312,0.878
Undirected,N/A,sub-0025669_ses-1_connectome.csv,180,11408,0.708,2.903,443,443,443,179,179,179,0.3,0.327,0.854,0.297,0.317,0.899
Undirected,N/A,sub-0025667_ses-2_connectome.csv,180,10071,0.625,2.723,441,441,441,181,181,181,0.272,0.292,0.768,0.275,0.291,0.806
Undirected,N/A,sub-0025672_ses-1_connectome.csv,180,9593,0.595,2.737,447,447,447,186,186,186,0.274,0.295,0.738,0.282,0.298,0.763
Undirected,N/A,sub-0025672_ses-2_connectome.csv,180,10068,0.625,2.669,420,420,420,179,179,179,0.28,0.29,0.759,0.286,0.292,0.796
Undirected,N/A,sub-0025671_ses-2_connectome.csv,180,10609,0.659,2.72,453,453,453,179,179,179,0.296,0.313,0.818,0.296,0.336,0.837
Undirected,N/A,sub-0025674_ses-2_connectome.csv,179,10500,0.659,2.95,431,431,431,178,178,178,0.297,0.304,0.798,0.294,0.313,0.827
Undirected,N/A,sub-0025670_ses-1_connectome.csv,180,11781,0.731,3.097,433,433,433,180,180,180,0.301,0.309,0.889,0.3,0.343,0.919
Undirected,N/A,sub-0025673_ses-2_connectome.csv,180,10730,0.666,2.827,431,431,431,179,179,179,0.3,0.324,0.811,0.314,0.304,0.85
Undirected,N/A,sub-0025674_ses-1_connectome.csv,180,10693,0.664,2.725,433,433,433,180,180,180,0.304,0.314,0.8,0.295,0.324,0.834
Undirected,N/A,sub-0025677_ses-1_connectome.csv,180,10498,0.652,2.665,405,405,405,179,179,179,0.284,0.335,0.785,0.285,0.328,0.822
Undirected,N/A,sub-0025676_ses-1_connectome.csv,180,8873,0.551,2.41,406,406,406,180,180,180,0.277,0.292,0.693,0.271,0.292,0.714
Undirected,N/A,sub-0025675_ses-2_connectome.csv,180,10058,0.624,2.611,417,417,417,180,180,180,0.279,0.296,0.778,0.283,0.304,0.801
Undirected,N/A,sub-0025673_ses-1_connectome.csv,180,10967,0.681,2.856,412,412,412,179,179,179,0.282,0.297,0.832,0.288,0.311,0.852
Undirected,N/A,sub-0025676_ses-2_connectome.csv,180,9240,0.574,2.593,422,422,422,179,179,179,0.275,0.282,0.717,0.269,0.321,0.737
Undirected,N/A,sub-0025675_ses-1_connectome.csv,180,9521,0.591,2.571,412,412,412,181,181,181,0.288,0.289,0.729,0.282,0.3,0.759
Undirected,N/A,sub-0025680_ses-2_connectome.csv,180,11501,0.714,2.914,458,458,458,179,179,179,0.306,0.32,0.865,0.303,0.321,0.897
Undirected,N/A,sub-0025679_ses-2_connectome.csv,180,9735,0.604,2.57,428,428,428,179,179,179,0.274,0.284,0.745,0.271,0.293,0.777
Undirected,N/A,sub-0025677_ses-2_connectome.csv,180,11198,0.695,2.827,488,488,488,179,179,179,0.298,0.31,0.847,0.301,0.303,0.886
Undirected,N/A,sub-0025678_ses-2_connectome.csv,180,10539,0.654,2.628,433,433,433,179,179,179,0.286,0.303,0.795,0.289,0.307,0.823
Undirected,N/A,sub-0025682_ses-2_connectome.csv,180,10743,0.667,2.785,444,444,444,180,180,180,0.292,0.294,0.809,0.611,0.318,0.836
Undirected,N/A,sub-0025678_ses-1_connectome.csv,180,10338,0.642,2.769,413,413,413,179,179,179,0.31,0.32,0.804,0.297,0.325,0.812
Undirected,N/A,sub-0025679_ses-1_connectome.csv,180,9182,0.57,2.553,429,429,429,179,179,179,0.282,0.286,0.71,0.276,0.306,0.736
Undirected,N/A,sub-0025682_ses-1_connectome.csv,180,10295,0.639,2.685,416,416,416,180,180,180,0.286,0.298,0.794,0.284,0.305,0.822
Undirected,N/A,sub-0025684_ses-2_connectome.csv,180,9243,0.574,2.649,437,437,437,179,179,179,0.282,0.294,0.735,0.28,0.307,0.745
Undirected,N/A,sub-0025681_ses-2_connectome.csv,180,10893,0.676,2.777,463,463,463,180,180,180,0.291,0.297,0.842,0.284,0.307,0.867
Undirected,N/A,sub-0025683_ses-1_connectome.csv,180,10109,0.627,2.692,450,450,450,179,179,179,0.282,0.308,0.769,0.285,0.3,0.8
Undirected,N/A,sub-0025684_ses-1_connectome.csv,179,9558,0.6,2.674,411,411,411,180,180,180,0.275,0.291,0.723,0.273,0.292,0.747
Undirected,N/A,sub-0025686_ses-2_connectome.csv,180,10240,0.636,2.718,436,436,436,179,179,179,0.297,0.308,0.776,0.294,0.321,0.831
Undirected,N/A,sub-0025681_ses-1_connectome.csv,180,9423,0.585,2.528,457,457,457,180,180,180,0.28,0.298,0.716,0.275,0.292,0.76
Undirected,N/A,sub-0025683_ses-2_connectome.csv,180,10602,0.658,2.744,447,447,447,179,179,179,0.294,0.301,0.8,0.292,0.309,0.823
Undirected,N/A,sub-0025680_ses-1_connectome.csv,180,11091,0.688,2.947,417,417,417,179,179,179,0.296,0.3,0.847,0.308,0.315,0.872
Undirected,N/A,sub-0025685_ses-2_connectome.csv,180,9478,0.588,2.665,428,428,428,182,182,182,0.272,0.296,0.746,0.274,0.296,0.754
Undirected,N/A,sub-0025690_ses-1_connectome.csv,180,9830,0.61,2.677,415,415,415,180,180,180,0.279,0.304,0.741,0.282,0.317,0.786
Undirected,N/A,sub-0025687_ses-1_connectome.csv,180,10598,0.658,2.663,399,399,399,180,180,180,0.284,0.292,0.806,0.284,0.307,0.841
Undirected,N/A,sub-0025685_ses-1_connectome.csv,180,8686,0.539,2.484,461,461,461,180,180,180,0.275,0.288,0.669,0.272,0.293,0.707
Undirected,N/A,sub-0025688_ses-2_connectome.csv,180,9740,0.605,2.624,455,455,455,179,179,179,0.284,0.302,0.746,0.284,0.317,0.783
Undirected,N/A,sub-0025689_ses-2_connectome.csv,179,10498,0.659,2.956,442,442,442,178,178,178,0.293,0.299,0.791,0.298,0.313,0.814
Undirected,N/A,sub-0025688_ses-1_connectome.csv,180,9614,0.597,2.588,441,441,441,181,181,181,0.294,0.31,0.734,0.29,0.303,0.775
Undirected,N/A,sub-0025689_ses-1_connectome.csv,180,9515,0.591,2.685,467,467,467,179,179,179,0.295,0.315,0.736,0.287,0.317,0.753
Undirected,N/A,sub-0025687_ses-2_connectome.csv,180,10643,0.661,2.778,432,432,432,179,179,179,0.294,0.298,0.803,0.282,0.324,0.847
Undirected,N/A,sub-0025686_ses-1_connectome.csv,180,10635,0.66,2.681,442,442,442,179,179,179,0.291,0.308,0.818,0.288,0.313,0.836
Undirected,N/A,sub-0025691_ses-2_connectome.csv,180,10699,0.664,2.88,448,448,448,179,179,179,0.301,0.313,0.832,0.302,0.315,0.85
Undirected,N/A,sub-0025690_ses-2_connectome.csv,180,9338,0.58,2.618,434,434,434,179,179,179,0.273,0.29,0.719,0.272,0.29,0.751
Undirected,N/A,sub-0025692_ses-2_connectome.csv,180,10494,0.651,2.659,426,426,426,180,180,180,0.296,0.307,0.799,0.297,0.329,0.818
Undirected,N/A,sub-0025693_ses-1_connectome.csv,180,10802,0.671,2.696,449,449,449,179,179,179,0.287,0.296,0.828,0.298,0.301,0.857
Undirected,N/A,sub-0025692_ses-1_connectome.csv,180,11389,0.707,3.021,446,446,446,183,183,183,0.312,0.311,0.855,0.301,0.324,0.899
Undirected,N/A,sub-0025691_ses-1_connectome.csv,180,10201,0.633,2.812,484,484,484,179,179,179,0.28,0.298,0.772,0.277,0.304,0.807
Undirected,N/A,sub-0025693_ses-2_connectome.csv,180,11065,0.687,2.835,417,417,417,179,179,179,0.285,0.298,0.835,0.29,0.306,0.868
Undirected,N/A,sub-0025694_ses-2_connectome.csv,180,10070,0.625,2.728,425,425,425,179,179,179,0.274,0.296,0.766,0.279,0.306,0.808
Undirected,N/A,sub-0025694_ses-1_connectome.csv,180,9081,0.564,2.555,444,444,444,180,180,180,0.276,0.291,0.706,0.275,0.302,0.732
Undirected,N/A,sub-0025695_ses-1_connectome.csv,180,10982,0.682,2.865,455,455,455,179,179,179,0.299,0.303,0.838,0.293,0.32,0.855
Undirected,N/A,sub-0025697_ses-1_connectome.csv,180,11837,0.735,2.964,443,443,443,179,179,179,0.3,0.304,0.884,0.301,0.328,0.922
Undirected,N/A,sub-0025696_ses-1_connectome.csv,180,10574,0.656,2.8,461,461,461,180,180,180,0.297,0.307,0.79,0.297,0.315,0.829
Undirected,N/A,sub-0025697_ses-2_connectome.csv,180,12445,0.773,3.146,460,460,460,179,179,179,0.312,0.318,0.921,0.321,0.325,0.966
Undirected,N/A,sub-0025698_ses-1_connectome.csv,180,12103,0.751,3.02,434,434,434,180,180,180,0.315,0.316,0.904,0.312,0.32,0.949
Undirected,N/A,sub-0025695_ses-2_connectome.csv,180,10432,0.648,2.72,482,482,482,179,179,179,0.302,0.3,1.115,0.298,0.334,0.823
Undirected,N/A,sub-0025696_ses-2_connectome.csv,180,10693,0.664,2.886,488,488,488,179,179,179,0.316,0.305,0.835,0.297,0.312,0.851
Undirected,N/A,sub-0025699_ses-2_connectome.csv,180,10547,0.655,2.805,450,450,450,179,179,179,0.295,0.315,0.803,0.29,0.319,0.843
