type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-2_connectome.csv,83,2873,0.844,4.064,166,166,166,82,82,82,0.036,0.038,0.1,0.037,0.04,0.125
Undirected,N/A,sub-0025630_ses-2_connectome.csv,83,2804,0.824,3.961,162,162,162,82,82,82,0.036,0.039,0.107,0.038,0.038,0.108
Undirected,N/A,sub-0025629_ses-1_connectome.csv,83,2913,0.856,4.467,168,168,168,82,82,82,0.038,0.041,0.104,0.051,0.04,0.121
Undirected,N/A,sub-0025630_ses-1_connectome.csv,83,2922,0.859,4.299,160,160,160,82,82,82,0.037,0.039,0.105,0.039,0.038,0.105
Undirected,N/A,sub-0025631_ses-1_connectome.csv,83,3217,0.945,5.417,185,185,185,82,82,82,0.042,0.064,0.113,0.042,0.044,0.126
Undirected,N/A,sub-0025634_ses-2_connectome.csv,83,3029,0.89,4.8,179,179,179,82,82,82,0.039,0.041,0.125,0.038,0.042,0.116
Undirected,N/A,sub-0025632_ses-1_connectome.csv,83,3094,0.909,5.558,179,179,179,82,82,82,0.039,0.041,0.126,0.04,0.04,0.115
Undirected,N/A,sub-0025631_ses-2_connectome.csv,83,3157,0.928,5.391,187,187,187,82,82,82,0.04,0.046,0.132,0.041,0.042,0.136
Undirected,N/A,sub-0025633_ses-1_connectome.csv,83,3077,0.904,4.65,171,171,171,82,82,82,0.039,0.04,0.131,0.039,0.042,0.118
Undirected,N/A,sub-0025635_ses-1_connectome.csv,83,3250,0.955,6.419,178,178,178,82,82,82,0.042,0.043,0.13,0.042,0.043,0.121
Undirected,N/A,sub-0025633_ses-2_connectome.csv,83,2904,0.853,4.494,165,165,165,82,82,82,0.05,0.04,0.121,0.037,0.037,0.109
Undirected,N/A,sub-0025632_ses-2_connectome.csv,83,3201,0.941,6.328,165,165,165,82,82,82,0.046,0.043,0.111,0.044,0.058,0.116
Undirected,N/A,sub-0025635_ses-2_connectome.csv,83,3334,0.98,7.651,184,184,184,82,82,82,0.057,0.049,0.115,0.048,0.046,0.121
Undirected,N/A,sub-0025637_ses-2_connectome.csv,83,2940,0.864,4.268,191,191,191,82,82,82,0.038,0.041,0.103,0.037,0.04,0.108
Undirected,N/A,sub-0025637_ses-1_connectome.csv,83,2912,0.856,3.979,164,164,164,82,82,82,0.039,0.038,0.106,0.037,0.038,0.106
