type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-2_connectome.csv,48,918,0.814,3.961,78,78,78,47,47,47,0.009,0.01,0.021,0.009,0.009,0.021
Undirected,N/A,sub-0025629_ses-1_connectome.csv,48,982,0.871,4.411,93,93,93,47,47,47,0.009,0.009,0.022,0.009,0.009,0.022
Undirected,N/A,sub-0025631_ses-2_connectome.csv,48,1006,0.892,4.08,83,83,83,47,47,47,0.009,0.009,0.022,0.009,0.009,0.024
Undirected,N/A,sub-0025630_ses-2_connectome.csv,48,953,0.845,4.08,97,97,97,47,47,47,0.01,0.01,0.022,0.009,0.009,0.022
Undirected,N/A,sub-0025632_ses-2_connectome.csv,48,1047,0.928,5.458,95,95,95,47,47,47,0.009,0.01,0.031,0.01,0.01,0.025
Undirected,N/A,sub-0025630_ses-1_connectome.csv,48,984,0.872,3.89,91,91,91,47,47,47,0.009,0.01,0.024,0.009,0.009,0.023
Undirected,N/A,sub-0025632_ses-1_connectome.csv,48,982,0.871,5.28,83,83,83,47,47,47,0.009,0.009,0.022,0.009,0.009,0.023
Undirected,N/A,sub-0025633_ses-1_connectome.csv,48,951,0.843,4.337,78,78,78,47,47,47,0.009,0.009,0.021,0.009,0.01,0.023
Undirected,N/A,sub-0025636_ses-1_connectome.csv,48,1001,0.887,4.778,100,100,100,47,47,47,0.009,0.01,0.022,0.009,0.009,0.023
Undirected,N/A,sub-0025631_ses-1_connectome.csv,48,1006,0.892,4.199,87,87,87,47,47,47,0.009,0.009,0.023,0.009,0.01,0.025
Undirected,N/A,sub-0025634_ses-2_connectome.csv,48,942,0.835,4.518,81,81,81,48,48,48,0.009,0.009,0.021,0.008,0.009,0.022
Undirected,N/A,sub-0025635_ses-1_connectome.csv,48,1041,0.923,5.527,88,88,88,47,47,47,0.01,0.01,0.023,0.01,0.01,0.026
Undirected,N/A,sub-0025637_ses-2_connectome.csv,48,988,0.876,3.968,76,76,76,47,47,47,0.01,0.01,0.024,0.009,0.009,0.023
Undirected,N/A,sub-0025638_ses-1_connectome.csv,48,1027,0.91,4.204,99,99,99,48,48,48,0.009,0.01,0.022,0.009,0.009,0.024
Undirected,N/A,sub-0025641_ses-2_connectome.csv,48,1017,0.902,4.759,86,86,86,47,47,47,0.009,0.011,0.026,0.009,0.009,0.023
Undirected,N/A,sub-0025640_ses-2_connectome.csv,48,1040,0.922,5.207,85,85,85,47,47,47,0.009,0.009,0.023,0.009,0.009,0.023
Undirected,N/A,sub-0025637_ses-1_connectome.csv,48,959,0.85,3.837,82,82,82,47,47,47,0.009,0.009,0.021,0.009,0.011,0.022
Undirected,N/A,sub-0025635_ses-2_connectome.csv,48,1079,0.957,5.72,90,90,90,47,47,47,0.01,0.01,0.023,0.01,0.011,0.026
Undirected,N/A,sub-0025634_ses-1_connectome.csv,48,943,0.836,3.871,113,113,113,47,47,47,0.009,0.01,0.022,0.009,0.009,0.024
Undirected,N/A,sub-0025638_ses-2_connectome.csv,48,1034,0.917,5.051,102,102,102,47,47,47,0.009,0.01,0.022,0.009,0.009,0.023
Undirected,N/A,sub-0025639_ses-1_connectome.csv,48,983,0.871,3.821,79,79,79,47,47,47,0.009,0.009,0.022,0.009,0.009,0.023
Undirected,N/A,sub-0025633_ses-2_connectome.csv,48,998,0.885,4.181,79,79,79,47,47,47,0.011,0.01,0.023,0.009,0.009,0.022
Undirected,N/A,sub-0025636_ses-2_connectome.csv,48,1075,0.953,5.533,83,83,83,47,47,47,0.009,0.01,0.024,0.009,0.01,0.025
