type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025632_ses-1_connectome.csv,48,848,0.752,3.53,72,72,72,47,47,47,0.008,0.009,0.02,0.008,0.009,0.021
Undirected,N/A,sub-0025630_ses-1_connectome.csv,48,745,0.66,3.155,69,69,69,47,47,47,0.007,0.008,0.022,0.008,0.008,0.019
Undirected,N/A,sub-0025629_ses-2_connectome.csv,48,701,0.621,2.847,64,64,64,47,47,47,0.007,0.008,0.018,0.007,0.008,0.021
Undirected,N/A,sub-0025631_ses-1_connectome.csv,48,772,0.684,2.983,67,67,67,47,47,47,0.01,0.008,0.019,0.008,0.008,0.021
Undirected,N/A,sub-0025631_ses-2_connectome.csv,48,828,0.734,2.745,66,66,66,47,47,47,0.014,0.011,0.02,0.008,0.008,0.02
Undirected,N/A,sub-0025632_ses-2_connectome.csv,48,935,0.829,3.515,76,76,76,47,47,47,0.008,0.009,0.021,0.008,0.009,0.022
Undirected,N/A,sub-0025637_ses-1_connectome.csv,48,781,0.692,3.264,73,73,73,47,47,47,0.008,0.009,0.021,0.008,0.008,0.021
Undirected,N/A,sub-0025629_ses-1_connectome.csv,48,832,0.738,3.325,76,76,76,47,47,47,0.008,0.008,0.019,0.008,0.009,0.02
Undirected,N/A,sub-0025633_ses-1_connectome.csv,48,818,0.725,3.269,71,71,71,47,47,47,0.008,0.008,0.019,0.008,0.008,0.021
Undirected,N/A,sub-0025630_ses-2_connectome.csv,48,804,0.713,3.008,70,70,70,47,47,47,0.008,0.008,0.019,0.008,0.008,0.019
Undirected,N/A,sub-0025635_ses-2_connectome.csv,48,827,0.733,3.056,66,66,66,47,47,47,0.008,0.008,0.019,0.008,0.008,0.02
Undirected,N/A,sub-0025635_ses-1_connectome.csv,48,867,0.769,2.834,68,68,68,47,47,47,0.008,0.009,0.021,0.009,0.009,0.021
Undirected,N/A,sub-0025636_ses-1_connectome.csv,48,941,0.834,3.798,84,84,84,47,47,47,0.009,0.009,0.021,0.009,0.01,0.024
Undirected,N/A,sub-0025634_ses-1_connectome.csv,48,883,0.783,3.408,88,88,88,47,47,47,0.008,0.009,0.02,0.009,0.008,0.029
Undirected,N/A,sub-0025633_ses-2_connectome.csv,48,854,0.757,3.11,69,69,69,47,47,47,0.009,0.009,0.02,0.008,0.008,0.02
Undirected,N/A,sub-0025634_ses-2_connectome.csv,48,722,0.64,3.153,69,69,69,47,47,47,0.008,0.008,0.017,0.008,0.008,0.018
Undirected,N/A,sub-0025636_ses-2_connectome.csv,44,753,0.796,3.399,60,60,60,43,43,43,0.007,0.007,0.019,0.007,0.007,0.018
Undirected,N/A,sub-0025638_ses-1_connectome.csv,48,917,0.813,3.17,82,82,82,47,47,47,0.008,0.009,0.021,0.008,0.008,0.022
Undirected,N/A,sub-0025637_ses-2_connectome.csv,48,773,0.685,2.64,72,72,72,47,47,47,0.008,0.008,0.019,0.008,0.009,0.02
Undirected,N/A,sub-0025638_ses-2_connectome.csv,48,832,0.738,3.274,88,88,88,47,47,47,0.01,0.009,0.02,0.008,0.008,0.02
Undirected,N/A,sub-0025640_ses-1_connectome.csv,48,851,0.754,4.69,76,76,76,47,47,47,0.008,0.008,0.02,0.008,0.008,0.02
Undirected,N/A,sub-0025643_ses-2_connectome.csv,48,829,0.735,3.457,76,76,76,47,47,47,0.008,0.009,0.02,0.008,0.009,0.02
Undirected,N/A,sub-0025642_ses-1_connectome.csv,48,731,0.648,3.002,74,74,74,47,47,47,0.016,0.008,0.017,0.007,0.007,0.018
Undirected,N/A,sub-0025642_ses-2_connectome.csv,48,740,0.656,3.0,77,77,77,47,47,47,0.008,0.008,0.017,0.007,0.008,0.019
Undirected,N/A,sub-0025639_ses-2_connectome.csv,48,735,0.652,2.677,63,63,63,47,47,47,0.009,0.012,0.02,0.009,0.008,0.018
Undirected,N/A,sub-0025639_ses-1_connectome.csv,45,573,0.579,3.556,62,62,62,44,44,44,0.006,0.006,0.013,0.006,0.006,0.014
Undirected,N/A,sub-0025640_ses-2_connectome.csv,47,733,0.678,3.233,63,63,63,46,46,46,0.008,0.007,0.017,0.007,0.008,0.018
Undirected,N/A,sub-0025641_ses-1_connectome.csv,48,887,0.786,3.47,76,76,76,47,47,47,0.008,0.009,0.021,0.009,0.008,0.021
Undirected,N/A,sub-0025647_ses-2_connectome.csv,45,731,0.738,3.406,69,69,69,44,44,44,0.006,0.007,0.016,0.007,0.007,0.018
Undirected,N/A,sub-0025643_ses-1_connectome.csv,48,877,0.777,3.449,67,67,67,47,47,47,0.008,0.008,0.02,0.008,0.008,0.022
Undirected,N/A,sub-0025644_ses-2_connectome.csv,48,773,0.685,3.12,68,68,68,47,47,47,0.008,0.009,0.02,0.008,0.008,0.019
Undirected,N/A,sub-0025647_ses-1_connectome.csv,48,907,0.804,3.237,72,72,72,47,47,47,0.008,0.009,0.02,0.008,0.008,0.021
Undirected,N/A,sub-0025645_ses-2_connectome.csv,36,496,0.787,4.168,56,56,56,35,35,35,0.004,0.004,0.01,0.004,0.004,0.01
