type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025629_ses-2_connectome.csv,98,2950,0.621,2.945,180,180,180,97,97,97,0.05,0.051,0.131,0.049,0.052,0.137
Undirected,N/A,sub-0025629_ses-1_connectome.csv,100,3158,0.638,2.994,210,210,210,99,99,99,0.055,0.059,0.142,0.054,0.067,0.145
Undirected,N/A,sub-0025632_ses-2_connectome.csv,102,3484,0.676,2.875,232,232,232,101,101,101,0.057,0.064,0.156,0.064,0.062,0.16
Undirected,N/A,sub-0025631_ses-2_connectome.csv,94,2896,0.663,3.069,208,208,208,95,95,95,0.05,0.052,0.118,0.058,0.053,0.123
Undirected,N/A,sub-0025633_ses-1_connectome.csv,97,2949,0.633,2.725,198,198,198,97,97,97,0.051,0.052,0.127,0.051,0.05,0.128
Undirected,N/A,sub-0025632_ses-1_connectome.csv,101,3624,0.718,3.317,233,233,233,101,101,101,0.061,0.062,0.158,0.069,0.06,0.17
Undirected,N/A,sub-0025630_ses-1_connectome.csv,98,3027,0.637,3.032,192,192,192,99,99,99,0.054,0.056,0.131,0.059,0.057,0.135
Undirected,N/A,sub-0025631_ses-1_connectome.csv,100,3534,0.714,3.026,191,191,191,99,99,99,0.06,0.062,0.16,0.063,0.063,0.166
Undirected,N/A,sub-0025630_ses-2_connectome.csv,98,2896,0.609,2.756,201,201,201,98,98,98,0.053,0.054,0.128,0.055,0.056,0.133
Undirected,N/A,sub-0025633_ses-2_connectome.csv,92,2243,0.536,3.017,206,206,206,95,95,95,0.041,0.044,0.092,0.039,0.048,0.097
Undirected,N/A,sub-0025635_ses-1_connectome.csv,102,3533,0.686,2.915,216,216,216,102,102,102,0.059,0.064,0.156,0.063,0.064,0.161
Undirected,N/A,sub-0025634_ses-2_connectome.csv,100,2901,0.586,3.141,210,210,210,99,99,99,0.058,0.055,0.131,0.069,0.054,0.129
Undirected,N/A,sub-0025634_ses-1_connectome.csv,98,2860,0.602,2.954,197,197,197,97,97,97,0.054,0.051,0.121,0.049,0.059,0.126
Undirected,N/A,sub-0025637_ses-2_connectome.csv,97,2780,0.597,3.411,183,183,183,96,96,96,0.194,0.051,0.121,0.049,0.051,0.123
Undirected,N/A,sub-0025635_ses-2_connectome.csv,98,2616,0.55,2.742,199,199,199,102,102,102,0.047,0.05,0.117,0.046,0.049,0.121
Undirected,N/A,sub-0025636_ses-1_connectome.csv,101,3742,0.741,3.168,244,244,244,100,100,100,0.063,0.068,0.164,0.064,0.065,0.173
Undirected,N/A,sub-0025636_ses-2_connectome.csv,92,2912,0.696,2.962,192,192,192,91,91,91,0.048,0.047,0.114,0.047,0.049,0.124
Undirected,N/A,sub-0025637_ses-1_connectome.csv,98,2815,0.592,2.624,190,190,190,97,97,97,0.053,0.055,0.123,0.053,0.055,0.127
Undirected,N/A,sub-0025639_ses-1_connectome.csv,86,1981,0.542,3.018,190,190,190,86,86,86,0.035,0.037,0.081,0.033,0.035,0.099
Undirected,N/A,sub-0025641_ses-2_connectome.csv,98,3274,0.689,2.841,214,214,214,97,97,97,0.055,0.056,0.148,0.053,0.055,0.163
Undirected,N/A,sub-0025639_ses-2_connectome.csv,102,2582,0.501,2.879,196,196,196,101,101,101,0.051,0.059,0.122,0.051,0.058,0.126
Undirected,N/A,sub-0025640_ses-1_connectome.csv,98,3029,0.637,2.989,212,212,212,97,97,97,0.052,0.057,0.147,0.052,0.061,0.138
Undirected,N/A,sub-0025638_ses-2_connectome.csv,100,3287,0.664,3.099,222,222,222,100,100,100,0.055,0.059,0.156,0.059,0.058,0.147
Undirected,N/A,sub-0025638_ses-1_connectome.csv,102,3705,0.719,3.091,226,226,226,101,101,101,0.067,0.066,0.177,0.065,0.064,0.183
Undirected,N/A,sub-0025640_ses-2_connectome.csv,101,3531,0.699,2.88,221,221,221,102,102,102,0.073,0.061,0.163,0.061,0.059,0.164
Undirected,N/A,sub-0025643_ses-1_connectome.csv,98,3529,0.742,3.42,191,191,191,97,97,97,0.053,0.058,0.147,0.057,0.056,0.156
Undirected,N/A,sub-0025642_ses-1_connectome.csv,98,3106,0.653,2.824,228,228,228,97,97,97,0.068,0.055,0.14,0.054,0.055,0.137
Undirected,N/A,sub-0025641_ses-1_connectome.csv,98,3404,0.716,3.027,191,191,191,97,97,97,0.058,0.056,0.146,0.058,0.059,0.153
Undirected,N/A,sub-0025645_ses-2_connectome.csv,79,2055,0.667,2.796,205,205,205,79,79,79,0.032,0.033,0.072,0.03,0.032,0.079
Undirected,N/A,sub-0025644_ses-1_connectome.csv,96,2699,0.592,3.05,186,186,186,99,99,99,0.047,0.048,0.116,0.051,0.048,0.119
Undirected,N/A,sub-0025642_ses-2_connectome.csv,100,3008,0.608,2.829,213,213,213,99,99,99,0.056,0.057,0.129,0.056,0.056,0.135
Undirected,N/A,sub-0025643_ses-2_connectome.csv,102,3162,0.614,3.247,202,202,202,101,101,101,0.058,0.058,0.155,0.059,0.057,0.145
