type,domain,name,nodes,edges,density,cv,iter_metric_edges,flag_metric_edges,clos_metric_edges,iter_ultrametric_edges,flag_ultrametric_edges,clos_ultrametric_edges,iter_metric_dt,flag_metric_dt,clos_metric_dt,iter_ultrametric_dt,flag_ultrametric_dt,clos_ultrametric_dt
Undirected,N/A,sub-0025630_ses-1_connectome.csv,66,1642,0.766,3.927,106,106,106,65,65,65,0.02,0.02,0.048,0.02,0.021,0.048
Undirected,N/A,sub-0025629_ses-1_connectome.csv,66,1738,0.81,4.182,95,95,95,65,65,65,0.019,0.021,0.05,0.019,0.021,0.05
Undirected,N/A,sub-0025630_ses-2_connectome.csv,66,1699,0.792,4.228,104,104,104,65,65,65,0.018,0.018,0.049,0.019,0.019,0.052
Undirected,N/A,sub-0025632_ses-2_connectome.csv,66,1965,0.916,5.02,101,101,101,65,65,65,0.02,0.021,0.053,0.021,0.023,0.058
Undirected,N/A,sub-0025629_ses-2_connectome.csv,66,1710,0.797,3.285,101,101,101,65,65,65,0.018,0.019,0.047,0.018,0.019,0.053
Undirected,N/A,sub-0025632_ses-1_connectome.csv,66,1892,0.882,5.102,98,98,98,65,65,65,0.019,0.02,0.051,0.02,0.02,0.056
Undirected,N/A,sub-0025631_ses-1_connectome.csv,66,1912,0.891,4.473,109,109,109,65,65,65,0.02,0.021,0.052,0.02,0.021,0.057
Undirected,N/A,sub-0025631_ses-2_connectome.csv,66,1932,0.901,4.498,105,105,105,65,65,65,0.032,0.02,0.051,0.02,0.02,0.054
Undirected,N/A,sub-0025636_ses-2_connectome.csv,66,1933,0.901,4.499,97,97,97,65,65,65,0.021,0.021,0.052,0.02,0.02,0.055
Undirected,N/A,sub-0025633_ses-1_connectome.csv,66,1842,0.859,4.438,104,104,104,65,65,65,0.023,0.02,0.052,0.02,0.02,0.052
Undirected,N/A,sub-0025635_ses-2_connectome.csv,66,1995,0.93,5.131,98,98,98,65,65,65,0.021,0.021,0.056,0.021,0.021,0.055
Undirected,N/A,sub-0025635_ses-1_connectome.csv,66,1931,0.9,4.874,103,103,103,65,65,65,0.022,0.022,0.057,0.02,0.021,0.054
Undirected,N/A,sub-0025634_ses-2_connectome.csv,66,1787,0.833,3.813,100,100,100,65,65,65,0.019,0.019,0.073,0.019,0.019,0.05
Undirected,N/A,sub-0025633_ses-2_connectome.csv,66,1797,0.838,4.055,94,94,94,65,65,65,0.018,0.019,0.051,0.019,0.02,0.05
Undirected,N/A,sub-0025636_ses-1_connectome.csv,66,1916,0.893,4.378,97,97,97,65,65,65,0.019,0.02,0.053,0.02,0.021,0.053
Undirected,N/A,sub-0025634_ses-1_connectome.csv,66,1760,0.821,4.412,104,104,104,65,65,65,0.018,0.018,0.05,0.02,0.02,0.05
Undirected,N/A,sub-0025638_ses-2_connectome.csv,66,1651,0.77,3.959,92,92,92,65,65,65,0.016,0.017,0.045,0.018,0.018,0.05
Undirected,N/A,sub-0025639_ses-1_connectome.csv,66,1643,0.766,3.77,85,85,85,65,65,65,0.017,0.018,0.044,0.017,0.018,0.049
Undirected,N/A,sub-0025639_ses-2_connectome.csv,66,1629,0.759,3.612,86,86,86,65,65,65,0.018,0.019,0.045,0.018,0.018,0.046
Undirected,N/A,sub-0025638_ses-1_connectome.csv,66,1908,0.89,4.749,98,98,98,65,65,65,0.02,0.02,0.054,0.019,0.02,0.053
Undirected,N/A,sub-0025637_ses-1_connectome.csv,66,1795,0.837,4.074,105,105,105,65,65,65,0.018,0.02,0.051,0.019,0.019,0.051
Undirected,N/A,sub-0025640_ses-2_connectome.csv,66,1863,0.869,4.387,105,105,105,65,65,65,0.019,0.02,0.051,0.021,0.021,0.053
Undirected,N/A,sub-0025640_ses-1_connectome.csv,66,1766,0.823,3.977,107,107,107,65,65,65,0.018,0.018,0.046,0.019,0.02,0.05
Undirected,N/A,sub-0025641_ses-2_connectome.csv,66,1789,0.834,4.046,99,99,99,65,65,65,0.019,0.02,0.048,0.018,0.019,0.052
Undirected,N/A,sub-0025637_ses-2_connectome.csv,66,1785,0.832,3.96,104,104,104,65,65,65,0.026,0.019,0.048,0.018,0.019,0.05
Undirected,N/A,sub-0025644_ses-2_connectome.csv,66,1737,0.81,3.903,109,109,109,65,65,65,0.019,0.019,0.048,0.019,0.02,0.051
Undirected,N/A,sub-0025642_ses-1_connectome.csv,66,1668,0.778,3.544,107,107,107,65,65,65,0.017,0.019,0.048,0.018,0.018,0.047
Undirected,N/A,sub-0025643_ses-1_connectome.csv,66,1924,0.897,4.437,105,105,105,65,65,65,0.02,0.02,0.052,0.021,0.022,0.068
Undirected,N/A,sub-0025644_ses-1_connectome.csv,66,1749,0.815,3.684,97,97,97,65,65,65,0.018,0.018,0.047,0.018,0.019,0.053
Undirected,N/A,sub-0025642_ses-2_connectome.csv,66,1690,0.788,3.538,101,101,101,65,65,65,0.018,0.018,0.045,0.017,0.018,0.048
